"","taxon.name"
"1","ASV_3"
"2","ASV_4"
"3","ASV_304"
"4","ASV_100"
"5","ASV_6"
"6","ASV_96"
"7","ASV_28"
"8","ASV_71"
"9","ASV_120"
"10","ASV_505"
"11","ASV_873"
"12","ASV_1830"
"13","ASV_2438"
"14","ASV_2"
"15","ASV_900"
"16","ASV_942"
"17","ASV_2841"
"18","ASV_18"
"19","ASV_46"
"20","ASV_115"
"21","ASV_415"
"22","ASV_376"
"23","ASV_1631"
"24","ASV_960"
"25","ASV_1896"
"26","ASV_2160"
"27","ASV_8"
"28","ASV_557"
"29","ASV_644"
"30","ASV_1105"
"31","ASV_2711"
"32","ASV_9"
"33","ASV_1367"
"34","ASV_10"
"35","ASV_185"
"36","ASV_417"
"37","ASV_424"
"38","ASV_1838"
"39","ASV_23"
"40","ASV_159"
"41","ASV_1195"
"42","ASV_2247"
"43","ASV_840"
"44","ASV_1462"
"45","ASV_2303"
"46","ASV_11"
"47","ASV_2825"
"48","ASV_12"
"49","ASV_2611"
"50","ASV_22"
"51","ASV_61"
"52","ASV_237"
"53","ASV_44"
"54","ASV_104"
"55","ASV_251"
"56","ASV_2717"
"57","ASV_946"
"58","ASV_1483"
"59","ASV_259"
"60","ASV_1250"
"61","ASV_1552"
"62","ASV_2616"
"63","ASV_13"
"64","ASV_215"
"65","ASV_14"
"66","ASV_2165"
"67","ASV_261"
"68","ASV_1328"
"69","ASV_2348"
"70","ASV_639"
"71","ASV_678"
"72","ASV_1873"
"73","ASV_538"
"74","ASV_1190"
"75","ASV_2157"
"76","ASV_236"
"77","ASV_662"
"78","ASV_1378"
"79","ASV_842"
"80","ASV_2278"
"81","ASV_1905"
"82","ASV_2047"
"83","ASV_2502"
"84","ASV_1066"
"85","ASV_15"
"86","ASV_99"
"87","ASV_220"
"88","ASV_78"
"89","ASV_17"
"90","ASV_62"
"91","ASV_150"
"92","ASV_160"
"93","ASV_2434"
"94","ASV_416"
"95","ASV_223"
"96","ASV_1282"
"97","ASV_1918"
"98","ASV_323"
"99","ASV_166"
"100","ASV_2528"
"101","ASV_394"
"102","ASV_1049"
"103","ASV_426"
"104","ASV_2780"
"105","ASV_43"
"106","ASV_20"
"107","ASV_92"
"108","ASV_164"
"109","ASV_533"
"110","ASV_296"
"111","ASV_106"
"112","ASV_556"
"113","ASV_263"
"114","ASV_610"
"115","ASV_706"
"116","ASV_1693"
"117","ASV_34"
"118","ASV_238"
"119","ASV_202"
"120","ASV_258"
"121","ASV_298"
"122","ASV_1168"
"123","ASV_1952"
"124","ASV_2621"
"125","ASV_21"
"126","ASV_856"
"127","ASV_1874"
"128","ASV_1349"
"129","ASV_87"
"130","ASV_208"
"131","ASV_985"
"132","ASV_2699"
"133","ASV_528"
"134","ASV_24"
"135","ASV_75"
"136","ASV_81"
"137","ASV_30"
"138","ASV_737"
"139","ASV_1063"
"140","ASV_1065"
"141","ASV_675"
"142","ASV_1193"
"143","ASV_2505"
"144","ASV_704"
"145","ASV_1258"
"146","ASV_1669"
"147","ASV_1930"
"148","ASV_1219"
"149","ASV_25"
"150","ASV_1055"
"151","ASV_26"
"152","ASV_63"
"153","ASV_56"
"154","ASV_414"
"155","ASV_1029"
"156","ASV_2568"
"157","ASV_2146"
