"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Coverage","PD"
"KO1",1247,1486.31818181818,34.7209363868269,1492.64680221969,17.9851241538204,5.85580683285476,0.989484323266538,95.0961146245478,359.036858948117,0.971023537803138,55.7968721775
"KO2",1257,1505.5175879397,36.6616720063871,1493.79969991792,18.0392779025582,5.91662897747243,0.991305351629691,115.013276835305,350.084827705418,0.974477394263491,56.8234149415
"KO3",1123,1375.32142857143,37.2360475845905,1401.45690874964,18.2672434544746,5.58246340973249,0.988403083286412,86.2298164846129,292.304108906488,0.976374409360234,53.6243167615
"KO4",1129,1358.29015544041,34.7613137457964,1362.28449966465,17.4054229449538,5.59702981678783,0.988706984277076,88.550306183502,296.614742602365,0.977157749501763,53.2823806205
"KO5",1044,1315.81818181818,41.2955261669639,1304.70299952563,17.8218282348137,5.37886437832049,0.985088435366637,67.0620437618343,262.635577442394,0.978140483823958,52.7617631035
"KO6",1188,1449.66666666667,38.6554408748611,1429.59784591912,17.7919330037886,5.78496546843587,0.990992420209377,111.017612193784,323.050847738915,0.974702858978477,54.8446276155
"OE1",1352,1532.20627802691,28.0031915565004,1523.72582505661,16.9914572052086,6.12594995789862,0.993064471334672,144.1851152601,392.405280832418,0.976158495634654,59.1879641785
"OE2",1325,1495.22846441948,25.7573098664631,1536.35578446234,17.6481873449219,5.97303684871112,0.991460179875213,117.098485142261,384.789383155074,0.974092819764948,58.1359589585
"OE3",1256,1456.11475409836,29.6137423118604,1484.25819962997,17.6390978109399,5.77073051690975,0.989582934782571,95.996327096707,355.234259818362,0.973555255153768,57.0560188905
"OE4",1268,1520.77727272727,36.1858826502225,1513.72733334328,17.8851623341154,5.88532105373507,0.991929506931163,123.908166634997,362.824347787745,0.971182053494392,56.8460610775
"OE5",1313,1498.18614718615,28.3333994465187,1506.00445466076,17.3591685766056,5.96280215357181,0.992312537487194,130.081935142332,369.80531694801,0.976580609064024,58.0942290755
"OE6",1347,1535.75409836066,28.3638960522504,1543.65253241049,17.0888622781111,6.10122795758321,0.992913960754968,141.122560208944,396.725423710101,0.973414954088325,57.8462473035
"WT1",1261,1492.57081545064,33.3870776742343,1508.45583535336,18.1258794791573,5.64104836995136,0.987847268520607,82.2860277704394,344.684930790876,0.974748637654463,56.3403642435
"WT2",1180,1431.41981132075,36.383902138575,1444.39673661324,17.9349172051845,5.45668999831625,0.985367970865468,68.343220943977,313.235901244173,0.975294650951949,56.460962981
"WT3",1295,1471.81434599156,27.2191241033789,1487.61419379811,17.1650839744688,5.95168462937617,0.991909532941474,123.602258406845,366.191031074198,0.976248976248976,58.7715994485
"WT4",1272,1506.91363636364,34.2383924063926,1508.60495426982,17.9838413829748,5.8371680695064,0.990662024630114,107.089594948478,352.558007953399,0.974551489765273,57.4608846755
"WT5",1199,1420.37931034483,32.3159893449976,1450.33589895112,17.8448081059638,5.53547595017204,0.987379432409982,79.2357390321286,320.515496968881,0.975652305825243,55.9881316185
"WT6",1299,1529.74025974026,33.3689613005538,1536.27385153884,17.9431858956477,5.88553611711983,0.991780628298442,121.66380062973,365.325413358395,0.973684210526316,58.532452814
