"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"KO1",0,0.166308600085992,0.168045269300371,0.111938842796932,0.202134313394447,0.0948112353630536,0.185663072029274,0.233048657861068,0.181938196251153,0.140264235896843,0.142392382350266,0.178384529921868,0.189309812585575,0.135550718799058,0.146306143582087,0.150753142897786,0.162696153692399,0.140048511374297
"KO2",0.166308600085992,0,0.201204831193076,0.193642181952016,0.331065112868434,0.214564462185389,0.188882699984097,0.162284067041394,0.192464050097067,0.173302424328933,0.149375313493405,0.179979829649953,0.163512731822223,0.22116004631184,0.142222204831987,0.152968366264782,0.163078738145024,0.140815595879944
"KO3",0.168045269300371,0.201204831193076,0,0.128495000653676,0.199870487021982,0.142415334231894,0.262028401638798,0.227247058457436,0.208025550085553,0.184872535786933,0.196098585406535,0.245794607653405,0.201224044422338,0.201152992258385,0.188541537638026,0.192085466008588,0.162582654896626,0.151118294792525
"KO4",0.111938842796932,0.193642181952016,0.128495000653676,0,0.179770459700748,0.107206927316198,0.235510790898435,0.241138484183785,0.219712152135299,0.180253587255258,0.175963269211425,0.23040369041778,0.186353679644349,0.160207780362784,0.171638169486033,0.169488405129398,0.154511145934447,0.152207976576642
"KO5",0.202134313394447,0.331065112868434,0.199870487021982,0.179770459700748,0,0.15785475014651,0.348650983893504,0.348351664871613,0.303974816589449,0.259348440091397,0.285796250142069,0.327667855207032,0.300242006549977,0.210679572519527,0.297932587278078,0.285766320720763,0.259499520143624,0.258069507246356
"KO6",0.0948112353630536,0.214564462185389,0.142415334231894,0.107206927316198,0.15785475014651,0,0.238455076391172,0.280840669255274,0.241367161990801,0.184839750306822,0.188797589104374,0.224154877963346,0.234474309551153,0.171552616829696,0.205239251949714,0.20285776683882,0.197914975756361,0.191524127294691
"OE1",0.185663072029274,0.188882699984097,0.262028401638798,0.235510790898435,0.348650983893504,0.238455076391172,0,0.169757234729722,0.195307587265258,0.165329690426336,0.122807065306753,0.0780332873128328,0.206780025849391,0.228081646853087,0.140208864867278,0.181194704981227,0.197288427444999,0.169373396416514
"OE2",0.233048657861068,0.162284067041394,0.227247058457436,0.241138484183785,0.348351664871613,0.280840669255274,0.169757234729722,0,0.157462120224984,0.15128683253118,0.144903921172249,0.157198966095664,0.151947226604692,0.213764826189407,0.149442560533771,0.178011991114268,0.155425542537992,0.148287822681646
"OE3",0.181938196251153,0.192464050097067,0.208025550085553,0.219712152135299,0.303974816589449,0.241367161990801,0.195307587265258,0.157462120224984,0,0.116338470935973,0.147958435001228,0.185001347058576,0.118409884707904,0.141476100816438,0.124190710153879,0.110042025957984,0.137069714703737,0.125236006907085
"OE4",0.140264235896843,0.173302424328933,0.184872535786933,0.180253587255258,0.259348440091397,0.184839750306822,0.165329690426336,0.15128683253118,0.116338470935973,0,0.13194458218619,0.154531264087421,0.135830751751102,0.145925984874018,0.109776364111196,0.129086857520873,0.130038543520346,0.102776863051396
"OE5",0.142392382350266,0.149375313493405,0.196098585406535,0.175963269211425,0.285796250142069,0.188797589104374,0.122807065306753,0.144903921172249,0.147958435001228,0.13194458218619,0,0.100658972192736,0.13631594890288,0.174323312028115,0.0860812269407925,0.111323086837633,0.114052864820598,0.0975780772051419
"OE6",0.178384529921868,0.179979829649953,0.245794607653405,0.23040369041778,0.327667855207032,0.224154877963346,0.0780332873128328,0.157198966095664,0.185001347058576,0.154531264087421,0.100658972192736,0,0.196693790953173,0.219145146372656,0.13338200478164,0.170040416246489,0.174207337964802,0.155681614071771
"WT1",0.189309812585575,0.163512731822223,0.201224044422338,0.186353679644349,0.300242006549977,0.234474309551153,0.206780025849391,0.151947226604692,0.118409884707904,0.135830751751102,0.13631594890288,0.196693790953173,0,0.12701629109376,0.106779497514788,0.105296431029537,0.0847122962858867,0.116458470477589
"WT2",0.135550718799058,0.22116004631184,0.201152992258385,0.160207780362784,0.210679572519527,0.171552616829696,0.228081646853087,0.213764826189407,0.141476100816438,0.145925984874018,0.174323312028115,0.219145146372656,0.12701629109376,0,0.154480619487907,0.125984351537007,0.116832079632773,0.151364036080946
"WT3",0.146306143582087,0.142222204831987,0.188541537638026,0.171638169486033,0.297932587278078,0.205239251949714,0.140208864867278,0.149442560533771,0.124190710153879,0.109776364111196,0.0860812269407925,0.13338200478164,0.106779497514788,0.154480619487907,0,0.094021829908267,0.116118269921785,0.0752383825556555
"WT4",0.150753142897786,0.152968366264782,0.192085466008588,0.169488405129398,0.285766320720763,0.20285776683882,0.181194704981227,0.178011991114268,0.110042025957984,0.129086857520873,0.111323086837633,0.170040416246489,0.105296431029537,0.125984351537007,0.094021829908267,0,0.104183889997525,0.102885528031829
"WT5",0.162696153692399,0.163078738145024,0.162582654896626,0.154511145934447,0.259499520143624,0.197914975756361,0.197288427444999,0.155425542537992,0.137069714703737,0.130038543520346,0.114052864820598,0.174207337964802,0.0847122962858867,0.116832079632773,0.116118269921785,0.104183889997525,0,0.0984564390227656
"WT6",0.140048511374297,0.140815595879944,0.151118294792525,0.152207976576642,0.258069507246356,0.191524127294691,0.169373396416514,0.148287822681646,0.125236006907085,0.102776863051396,0.0975780772051419,0.155681614071771,0.116458470477589,0.151364036080946,0.0752383825556555,0.102885528031829,0.0984564390227656,0
