"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae",0.264354493580599,0.167152811537838,0.234680867021676,0.23647094894987,0.3332118915768,0.246305814327016,0.147246474143721,0.131423179205628,0.190435958093951,0.203106125970664,0.188394213092479,0.15190205509401,0.192493667971448,0.249017830160169,0.193366093366093,0.207855844463764,0.213668082524272,0.197328182842427
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae",0.0563480741797432,0.108329282126074,0.086027150678767,0.0886861873371148,0.0512241329058584,0.0527626084163187,0.0559100067159167,0.0597066140516428,0.0442717134166948,0.0569456427955134,0.0635440812085365,0.0526453869698295,0.0862690920254816,0.0568902991840435,0.0706797706797707,0.0764245633446613,0.0872269417475728,0.0799935618863673
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae",0.0683844507845934,0.0469129800680603,0.0429010725268132,0.07987122489652,0.0808802098513553,0.0946032765820752,0.0440732034922767,0.0327700094363901,0.0533964177086854,0.0491803278688525,0.0402046199344577,0.0480979449059904,0.062859774349528,0.0763825929283772,0.048976248976249,0.0486841065359994,0.0519569174757282,0.0505391920167391
"k__Bacteria|p__Unassigned|c__Unassigned|o__Unassigned|f__Unassigned",0.0376248216833096,0.0445632798573975,0.024825620640516,0.0295109612141653,0.029146021568056,0.0314005782203662,0.0790799194089993,0.0742043407394698,0.0554241297735722,0.045297670405522,0.0797698025737351,0.0789680804547442,0.0719164939749789,0.0553037171350861,0.0677313677313677,0.0545325219315577,0.0644720873786408,0.0410429744084983
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae",0.0499286733238231,0.0716253443526171,0.0445511137778444,0.0403955235321171,0.0226610317691635,0.0431256023128815,0.0477669576897246,0.0663978725229476,0.0672524501520784,0.0481449525452977,0.0520342098952921,0.0487101005684303,0.0507329802747717,0.0413266847990329,0.0519246519246519,0.0441002133881293,0.0505916262135922,0.0555287300820859
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Thermomonosporaceae",0.0423502139800285,0.0631178091071139,0.0228755718892972,0.0472175379426644,0.0313319731856602,0.0371827818824285,0.0456682337139019,0.0601355408767264,0.0457080094626563,0.0389991371872304,0.0472384301814403,0.0378662002623524,0.0723002532811421,0.0751737685101239,0.0525798525798526,0.0624357859796096,0.0535497572815534,0.0486882343473362
"k__Bacteria|p__Proteobacteria|c__Unassigned|o__Unassigned|f__Unassigned",0.0444008559201141,0.0407551450332199,0.0324758118952974,0.0299708722980224,0.0330078694258234,0.0576614198522326,0.0540631296171927,0.0386891996225444,0.0375126732004055,0.0477135461604832,0.0470785708576453,0.0513336248360297,0.0425205311228797,0.0428377153218495,0.0564291564291564,0.0395953528807397,0.0393658980582524,0.0520682440045067
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae",0.0325427960057061,0.0295738129962729,0.0327758193954849,0.0230722060401656,0.0118770037889828,0.0190330870542885,0.0245130960376091,0.0359440679420091,0.0836431226765799,0.0495254529767041,0.0302134121972664,0.0313948404022737,0.0416762606493207,0.0352825627077667,0.0334971334971335,0.0629890144629732,0.0436134708737864,0.0341220022533398
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Unassigned|f__Unassigned",0.0357524964336662,0.0311942959001783,0.0270756768919223,0.026674842863713,0.0192363742349169,0.0257789913266945,0.0450805910006716,0.0298533070258214,0.0365833051706658,0.0319240724762727,0.0366877148109664,0.0417140358548317,0.0283214367948423,0.0298428528256271,0.0392301392301392,0.0369872757448826,0.0290503640776699,0.0421696442942218
"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae",0.0153352353780314,0.0167719980554205,0.0687767194179855,0.0236854208186417,0.0419702710580006,0.0180693864439447,0.0133478844862324,0.063738526207429,0.0608313619466036,0.0449525452976704,0.0182239629126369,0.0182772190642763,0.0340778263872899,0.0386068298579631,0.0248157248157248,0.0151742669722595,0.0330703883495146,0.0416063093513601
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae",0.0304921540656205,0.0213903743315508,0.0491262281557039,0.0411620420052123,0.0564704167881084,0.0383070992611629,0.0224983210208193,0.0276228875353865,0.0194322406218317,0.0302847282139776,0.0346095436016306,0.0307826847398338,0.0215672730063704,0.0320338470837111,0.0206388206388206,0.0270291630443373,0.036938713592233,0.0252695960083695
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae",0.0213088445078459,0.0317614649165451,0.0349508737718443,0.0254484133067607,0.0233168172544448,0.0277063925473819,0.0177971793149765,0.0320837265162563,0.0219668807029402,0.018809318377912,0.0266165774118775,0.0205509400961959,0.0190344615856935,0.0151103052281656,0.0262080262080262,0.0229194657393504,0.0204035194174757,0.023257685498149
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae",0.022913694721826,0.0274671852211959,0.0275256881422036,0.0238387245132608,0.020329350043719,0.0273048506264054,0.0303055742108798,0.0197306339538475,0.016728624535316,0.0186367558239862,0.0233394612740788,0.0241364232619152,0.0169621613324123,0.0155636143850106,0.0228501228501229,0.0243420532679997,0.0185072815533981,0.0234186383389667
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Unassigned",0.0224679029957204,0.0249554367201426,0.0271506787669692,0.019009658132761,0.0176333430486739,0.0256183745583039,0.0303895231699127,0.0185296388436133,0.0187563366002028,0.0201035375323555,0.0198225561505875,0.0235242675994753,0.0137385831606416,0.0148080991236023,0.0244881244881245,0.0169920177033115,0.013501213592233,0.0212457749879285
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae",0.0188124108416548,0.0141792254091719,0.0207005175129378,0.024605242986356,0.0241911979014864,0.0280276260841632,0.0144392209536602,0.0145835120528438,0.0179114565731666,0.017083692838654,0.0281352409879306,0.0213379973764757,0.013661831299409,0.0181323662737987,0.0203112203112203,0.0233146289417529,0.0187348300970874,0.0238210204410108
