Samples	Depth	Temperature	Salinity	Density	DO	Turbidity	PO4	SiO3	NO2	NO3	NH4
C_sw_41	3	21.3079	26.0646	1017.6401	7.61521	7.553	0.77	35.79	0.9	32.65	1.69
C_mw_42	10	21.7933	29.1307	1019.8647	7.58181	1.817	0.59	25.8	1.09	20.95	1.14
C_sw_44	2	22.4237	32.3979	1022.1328	7.38969	0.646	0.21	11.82	0.96	5.62	1.54
M_mw_45	30	22.6012	33.6201	1023.1313	6.30204	0.607	0.19	12.94	0.85	3.5	1.04
C_sw_47	2	21.8078	31.2943	1021.4663	8.17368	0.576	0.08	5.58	0.75	5.55	1.31
M_mw_48	30	22.8308	33.8802	1023.2631	7.07057	0.154	0.1	8.8	0.64	0.98	1.1
M_bw_49	66	21.5031	34.3717	1024.1654	4.28852	7.729	0.55	21.77	0.16	9.82	1
M_sw_50	3	23.0419	33.9418	1023.1323	7.31821	0.337	0.09	13.26	0.15	0.67	1.06
M_mw_51	30	22.9258	34.0016	1023.328	3.45674	0.237	0.18	13.17	0.44	1.55	0.91
M_sw_53	5	23.2389	33.845	1023.0108	7.13686	0.361	0.16	7.03	0.32	1.3	1.07
M_mw_54	30	23.256	33.8642	1023.1288	6.99194	0.473	0.1	7.6	0.48	1.58	1.25
M_bw_55	63	22.9848	33.9965	1023.4503	5.21924	4.805	0.34	13.08	0.52	5.41	1.12
M_sw_56	2	23.3447	33.7996	1022.9329	7.25427	0.293	0.09	10.38	0.24	0.91	0.99
M_mw_57	30	23.3333	33.8053	1023.0618	7.05677	0.405	0.14	10.82	0.74	1.45	1.09
M_bw_58	56	23.2678	33.8286	1023.2111	6.75203	1.593	0.13	7.46	0.74	1.44	1.01
M_sw_59	5	23.6875	34.0718	1023.0522	7.37935	0.298	0.04	6.61	0.29	0.31	1.05
M_mw_60	30	23.6139	34.0998	1023.2032	7.30635	0.285	0.04	8.34	0.35	0.31	1.01
M_sw_62	5	23.7965	34.1361	1023.069	7.05581	0.805	0.09	18.66	0.77	0.85	1.04
M_mw_63	30	23.7614	34.1462	1023.1952	6.98542	0.789	0.08	11.93	0.93	0.67	0.97
M_bw_64	67	22.62	34.324	1023.8206	5.29855	9.033	0.23	11.66	0.65	2.98	0.78
M_sw_65	5	23.6558	33.9124	1022.9408	7.20565	0.24	0.07	8.79	0.29	0.62	0.75
M_mw_66	30	23.7362	33.9874	1023.0824	7.14446	0.254	0.08	7.89	0.44	0.61	0.87
M_bw_67	75	23.4718	34.2187	1023.5295	4.9256	2.888	0.21	18.95	0.34	5.96	1.04
M_sw_68	6	23.4332	33.7348	1022.8755	7.2681	0.202	0.11	6.89	0.22	0.95	0.98
M_mw_69	30	23.6725	33.975	1023.0916	7.07115	0.199	0.08	6.59	0.33	0.82	0.91
M_bw_70	71	22.0264	34.3579	1024.0311	4.05548	1.992	0.66	21.58	0.09	9.64	0.76
T_sw_71	5	24.0534	34.0025	1022.8923	7.2204	0.24	0.08	5.94	0.21	1.76	1.13
M_mw_72	30	23.9956	33.9929	1023.0103	7.20867	0.2	0.07	5.95	0.15	0.51	1
KS_bw_73	81	20.0493	34.445	1024.6792	3.8899	1.709	0.69	23.09	0.08	11.64	0.81
M_sw_74	1	23.5406	32.984	1022.2542	7.27788	0.483	0.04	5.43	0.5	1.12	2.12
M_mw_75	20	23.9283	33.3642	1022.5112	7.20555	0.33	0.05	7.74	0.44	0.95	1.35
M_bw_76	46	22.8025	34.2457	1023.6177	3.97895	23.641	0.62	20.11	0.61	8.91	1.12
M_sw_77	2	23.8071	32.7251	1021.9852	7.25074	0.388	0.04	5.47	0.53	0.89	1.16
M_mw_78	30	24.5068	33.2595	1022.3042	6.7508	0.368	0.11	19.31	0.65	1.48	1.04
T_sw_80	2	24.6561	34.1667	1022.824	7.09207	0.371	0.07	6.3	0.31	1.71	1.77
T_mw_81	30	24.6626	34.1667	1022.943	7.08337	0.2	0.07	5.9	0.23	0.07	1.39
T_sw_83	2	24.7803	34.1277	1022.7571	7.14658	0.219	0.03	4.05	0.05	0.09	0.97
T_mw_84	30	24.7588	34.1301	1022.8864	7.11854	0.187	0.04	3.81	0.05	0.2	1.07
M_bw_85	73	22.7924	34.3348	1023.8051	5.09791	4.397	0.23	18.93	0.14	6.07	1.03
T_sw_86	2	24.8015	34.092	1022.7238	7.06306	0.289	0.06	9.43	0.11	0.47	1.06
T_mw_87	50	24.8199	34.0969	1022.9292	7.0448	0.158	0.05	7.23	0.08	0.23	0.97
KS_bw_88	85	20.3632	34.4492	1024.6165	4.95091	5.854	0.6	16.97	0.08	9.23	0.88
T_sw_89	2	25.0044	34.254	1022.7848	6.95276	0.287	0.04	3.98	0.05	0.51	1.1
T_mw_90	50	25.0167	34.2555	1022.9894	6.93417	0.144	0.05	4.7	0.04	0.02	0.95
KS_bw_91	95	19.5154	34.499	1024.9214	5.07482	5.262	0.57	18.28	0.06	9.62	0.89
C_sw_92	3	21.7518	31.3708	1021.544	6.8745	2.773	0.32	13.71	2.06	11.31	0.91
C_mw_93	20	22.1069	32.139	1022.1032	6.74706	2.303	0.26	11.23	1.81	7.91	0.95
M_bw_94	37	22.9704	33.4574	1022.9332	6.63934	6.255	0.22	9.49	1.85	5.28	0.96
M_sw_95	2	23.6534	33.9757	1022.9765	6.99805	0.487	0.11	5.62	0.9	1.06	0.82
M_mw_96	30	23.6543	33.9759	1023.0977	6.97004	0.399	0.11	9.19	0.92	1.14	1.04
KS_bw_97	61	20.6243	34.5001	1024.4807	5.34738	10.323	0.5	14.52	0.16	7.36	0.91
T_sw_98	2	24.135	34.1652	1022.9782	7.07629	0.211	0.08	3.84	0.54	0.4	0.84
T_mw_99	30	24.1559	34.1659	1023.0937	7.06705	0.167	0.07	3.61	0.6	0.14	1.14
M_bw_100	71	23.9156	34.3643	1023.4921	6.58225	0.505	0.09	5.74	0.44	1.28	0.85
T_sw_101	3	24.319	34.1595	1022.9236	6.96155	0.188	0.09	7.82	0.34	0.71	1.19
T_mw_102	50	24.3366	34.1603	1023.1221	6.94788	0.183	0.15	7.01	0.5	2.53	0.97
KS_bw_103	83	19.5547	34.5003	1024.8598	5.4739	1.274	0.28	9.12	0.45	4.05	0.98
T_sw_104	4	24.3261	34.3416	1023.0635	6.99437	0.183	0.1	9.69	0.32	0.54	0.78
T_mw_105	50	24.3435	34.3427	1023.258	6.98166	0.166	0.06	5.01	0.3	0.43	0.88
KS_bw_106	95	19.1761	34.507	1025.0153	5.522	1.015	0.6	16.47	0.12	9.17	0.9
M_sw_107	3	23.5294	33.8348	1022.9103	6.9721	1.123	0.17	6.28	1.03	1.59	1.19
M_mw_108	20	23.5285	33.8341	1022.9836	6.98053	1.073	0.13	6.09	1.06	1.8	0.97
M_bw_109	50	23.1065	34.3211	1023.6049	5.17588	13.343	0.31	20.24	0.68	6.06	0.98
T_sw_110	2	24.1517	34.1831	1022.9868	7.03854	0.282	0.06	7.98	0.49	0.81	0.96
T_mw_111	50	24.159	34.3389	1023.31	6.98954	0.157	0.03	7.87	0.38	0.32	0.93
KS_bw_112	79	19.6226	34.5113	1024.833	5.35996	6.542	0.49	16.66	0.12	8.16	1.03
T_sw_113	3	24.2176	34.3487	1023.0969	7.0153	0.204	0.08	6.73	0.33	0.72	0.9
T_mw_114	50	24.245	34.3501	1023.2929	6.96174	0.161	0.13	6.27	0.24	1.5	1.12
KS_bw_115	88	18.8518	34.5169	1025.0751	5.41077	1.927	0.6	18.75	0.09	8.91	1.04
T_sw_116	4	23.691	34.0329	1023.0175	7.15775	0.384	0.09	6.25	0.42	0.48	0.85
KS_mw_117	50	21.1863	34.4865	1024.27	5.91917	0.226	0.15	5.89	0.37	0.25	0.97
KS_bw_118	96	17.8687	34.5387	1025.3728	5.65547	1.012	0.47	11.25	0.45	8.38	0.95
C_sw_119	3	21.1758	29.0789	1019.9599	7.57501	6.123	0.4	19.67	1.9	22.48	1.31
C_mw_120	20	21.4209	29.3647	1020.186	7.42649	6.274	0.48	16.12	2.78	15.39	0.95
M_sw_122	6	23.5236	33.4989	1022.6707	6.94475	1.683	0.17	8.33	1.02	3.99	0.94
M_mw_123	30	23.5625	33.607	1022.8452	6.885	1.935	0.16	11.95	0.79	2.99	1.11
M_bw_124	54	24.1823	33.9621	1023.0354	6.83322	3.485	0.14	17.05	0.3	2.95	0.81
M_sw_125	5	24.2889	33.9842	1022.8087	7.0677	0.588	0.09	6.88	0.55	1.93	0.88
M_mw_126	50	24.2393	33.9977	1023.0282	6.99633	0.656	0.11	8.63	0.56	1.98	0.81
KS_bw_127	85	17.1217	34.5505	1025.5147	5.73839	3.483	0.36	19.45	0.21	10.53	1.17
T_sw_128	5	22.592	34.3848	1023.6054	7.68781	0.281	0.12	9.47	0.29	1.77	1.03
KS_mw_129	50	17.3262	34.6011	1025.3504	5.96934	0.389	0.56	16.43	0.23	9.28	0.82
KS_bw_130	99	17.2689	34.6036	1025.5817	5.94236	0.471	0.49	15	0.22	9.47	0.89
M_sw_131	5	23.2379	32.803	1022.2219	6.99959	2.636	0.22	9.49	0.9	5.13	1.12
M_mw_132	30	23.6888	33.1656	1022.4744	6.77724	6.146	0.18	9.15	0.52	5	0.94
M_sw_134	5	24.2867	33.5411	1022.4743	6.86647	1.092	0.14	5.56	1.13	2.05	1.1
M_mw_135	30	24.2966	33.5439	1022.5816	6.85416	1.146	0.1	9.36	1.18	2.11	1.06
T_bw_136	67	24.6046	34.0602	1023.0397	6.78944	3.209	0.13	5.92	0.6	2.2	1.65
M_sw_137	5	24.6359	33.9081	1022.6475	6.87053	1.094	0.14	9.7	0.35	3.08	1.23
M_mw_138	30	24.6094	33.9354	1022.7842	6.86894	0.971	0.13	8.99	0.35	2.87	1.36
T_bw_139	74	24.6329	34.0369	1023.0438	6.74492	2.674	0.1	6.92	0.22	2.67	1.55
T_sw_140	5	24.2304	34.2295	1023.0116	7.2118	0.505	0.1	7.56	0.46	1.04	1.01
KS_mw_141	50	18.5369	34.4907	1024.9682	6.05546	0.742	0.34	19.63	0.34	8.05	0.93
KS_bw_142	100	17.3307	34.5637	1025.5407	5.9444	0.833	0.52	15.82	0.28	9.19	1.01
T_sw_143	5	23.6618	34.4287	1023.33	7.39595	0.328	0.12	11.79	0.14	1.56	0.91
KS_mw_144	50	17.9907	34.7087	1025.2709	6.21766	0.17	0.38	13.99	0.12	6.94	0.91
KS_bw_145	97	17.9232	34.7103	1025.4951	6.20571	0.207	0.41	12.62	0.09	6.76	0.96
T_sw_146	4	24.4359	34.5237	1023.1685	7.06067	0.236	0.11	11.61	0.19	1.34	0.92
KS_mw_147	50	18.9685	34.5124	1024.8756	6.16235	0.326	0.43	17.23	0.23	7.2	0.95
KS_bw_148	100	17.6635	34.6881	1025.5551	6.24093	0.198	0.45	17.77	0.1	7.37	0.91
