	pH	TC	DOC	SOM	TN	NO3	NH4	AP	AK
A1	8.48	30.43	66.27	40.22	1.54	1.28	1.24	35.42	223.84
A2	8.39	31.3	47.99	40.95	1.63	1.33	1.67	35.42	239.64
A3	8.51	30	64.3	37.43	1.57	1.32	1.76	36.58	250.94
A4	8.54	55.84	90.46	81.63	1.87	2.09	1.38	47.42	489.94
A5	8.53	52.47	98.06	88.51	1.79	1.83	1.12	49.08	515.54
A6	8.54	52.86	82.01	83.2	1.76	1.62	1.26	55.08	543.44
A7	8.56	71.09	114.65	129.05	2.13	1.89	1.14	74.75	831.34
A8	8.55	84.96	108.79	135.03	2.23	2.35	1.28	71.42	808.74
A9	8.56	81.9	131.63	124.57	2.16	2.53	1.16	81.25	842.64
B1	8.38	29.76	34	34.93	1.6	6.72	4.42	26.4	130.4
B2	8.44	31.89	35	38.73	1.67	3.28	3.9	20.6	123.2
B3	8.42	31.5	36.82	38.57	1.67	2.85	4.48	19.4	109.3
B4	8.45	57.98	38.06	81.31	1.88	2.35	2.31	26.78	179.9
B5	8.43	55.82	36.21	82.72	1.91	2.25	3.22	27.45	183.5
B6	8.42	59.93	37.9	82.26	1.86	1.6	2.78	24.4	189.1
B7	8.66	77.56	74.37	131.66	2.09	2.04	2.56	36.3	429.8
B8	8.54	91.25	74.86	132.85	1.99	1.83	3.04	33	420.2
B9	8.59	92.59	63.54	132.28	2.07	1.76	2.45	35.5	404.5
C1	8.22	30.89	31.44	39.53	1.63	3.75	2.94	18.1	116
C2	8.27	29.47	30.69	35.53	1.57	3.51	1.74	19.9	112.4
C3	8.34	30.06	29.2	36.15	1.59	2.77	2.54	16.5	110
C4	8.3	59	26.65	88.74	1.87	3.49	2.77	29.6	257.9
C5	8.44	56.51	24.63	79.77	1.87	3.35	4.11	24.3	238.6
C6	8.38	53.33	30.42	73.96	1.82	2.36	4.18	21.5	246.1
C7	8.52	79.39	48.96	116.03	2.07	2.26	2.49	24.1	368.7
C8	8.59	81.99	46.43	122.32	2.11	4.28	2.46	33.2	385.3
C9	8.31	80.48	44.18	124.21	2.04	3.76	3.51	28.4	390.3
