SampleID	WaterMass	Layer	Depth
C_sw_41	C	sw	41
C_mw_42	C	mw	42
C_sw_44	C	sw	44
M_mw_45	M	mw	45
C_sw_47	C	sw	47
M_mw_48	M	mw	48
M_bw_49	M	bw	49
M_sw_50	M	sw	50
M_mw_51	M	mw	51
M_sw_53	M	sw	53
M_mw_54	M	mw	54
M_bw_55	M	bw	55
M_sw_56	M	sw	56
M_mw_57	M	mw	57
M_bw_58	M	bw	58
M_sw_59	M	sw	59
M_mw_60	M	mw	60
M_sw_62	M	sw	62
M_mw_63	M	mw	63
M_bw_64	M	bw	64
M_sw_65	M	sw	65
M_mw_66	M	mw	66
M_bw_67	M	bw	67
M_sw_68	M	sw	68
M_mw_69	M	mw	69
M_bw_70	M	bw	70
T_sw_71	T	sw	71
M_mw_72	M	mw	72
KS_bw_73	KS	bw	73
M_sw_74	M	sw	74
M_mw_75	M	mw	75
M_bw_76	M	bw	76
M_sw_77	M	sw	77
M_mw_78	M	mw	78
T_sw_80	T	sw	80
T_mw_81	T	mw	81
T_sw_83	T	sw	83
T_mw_84	T	mw	84
M_bw_85	M	bw	85
T_sw_86	T	sw	86
T_mw_87	T	mw	87
KS_bw_88	KS	bw	88
T_sw_89	T	sw	89
T_mw_90	T	mw	90
KS_bw_91	KS	bw	91
C_sw_92	C	sw	92
C_mw_93	C	mw	93
M_bw_94	M	bw	94
M_sw_95	M	sw	95
M_mw_96	M	mw	96
KS_bw_97	KS	bw	97
T_sw_98	T	sw	98
T_mw_99	T	mw	99
M_bw_100	M	bw	100
T_sw_101	T	sw	101
T_mw_102	T	mw	102
KS_bw_103	KS	bw	103
T_sw_104	T	sw	104
T_mw_105	T	mw	105
KS_bw_106	KS	bw	106
M_sw_107	M	sw	107
M_mw_108	M	mw	108
M_bw_109	M	bw	109
T_sw_110	T	sw	110
T_mw_111	T	mw	111
KS_bw_112	KS	bw	112
T_sw_113	T	sw	113
T_mw_114	T	mw	114
KS_bw_115	KS	bw	115
T_sw_116	T	sw	116
KS_mw_117	KS	mw	117
KS_bw_118	KS	bw	118
C_sw_119	C	sw	119
C_mw_120	C	mw	120
M_sw_122	M	sw	122
M_mw_123	M	mw	123
M_bw_124	M	bw	124
M_sw_125	M	sw	125
M_mw_126	M	mw	126
KS_bw_127	KS	bw	127
T_sw_128	T	sw	128
KS_mw_129	KS	mw	129
KS_bw_130	KS	bw	130
M_sw_131	M	sw	131
M_mw_132	M	mw	132
M_sw_134	M	sw	134
M_mw_135	M	mw	135
T_bw_136	T	bw	136
M_sw_137	M	sw	137
M_mw_138	M	mw	138
T_bw_139	T	bw	139
T_sw_140	T	sw	140
KS_mw_141	KS	mw	141
KS_bw_142	KS	bw	142
T_sw_143	T	sw	143
KS_mw_144	KS	mw	144
KS_bw_145	KS	bw	145
T_sw_146	T	sw	146
KS_mw_147	KS	mw	147
KS_bw_148	KS	bw	148
