Prevotella	Bacteroides	Peptoniphilus	Lactobacillus	Porphyromonas	Anaerococcus	Dialister	Streptococcus	Finegoldia	Faecalibacterium	Campylobacter	Gardnerella	Bifidobacterium	Fusobacterium	Dorea	Parabacteroides	Ruminococcus	Collinsella	Sutterella	Atopobium	Clostridium	Lachnospira	Coprococcus	Corynebacterium	Mobiluncus	Blautia	Roseburia	Oscillospira	Actinomyces	Sneathia	Peptostreptococcus	Megamonas	Phascolarctobacterium	Bilophila	Akkermansia	Megasphaera	Veillonella	Parvimonas	Desulfovibrio	Delftia	Anaerostipes	Butyricimonas	Gallicola	Moryella	Odoribacter	Peptococcus	Mitsuokella	Paraprevotella	Escherichia	Arcanobacterium	Haemophilus	Bulleidia	Catenibacterium	Eggerthella	Staphylococcus	Varibaculum	Pseudomonas	Neisseria	Coprobacillus	Mogibacterium	Rothia	Lachnobacterium	Slackia	Alloscardovia	Methanobrevibacter	Pyramidobacter	Ureaplasma	Shuttleworthia	Acinetobacter	Treponema	Facklamia	Lactococcus	Aerococcus	Synergistes	Gemella	Adlercreutzia	Alistipes	Leptotrichia	Anoxybacillus	Holdemania	Dermabacter	Actinobaculum	Aggregatibacter	Anaerotruncus
Prevotella	1	-0.506718245335555	0.22111346778765	-0.319878337821917	0.114846824870804	0.0466382018831741	0.606957165826316	0.252433067322704	0.149233315897655	-0.319513968112058	0.339348198069413	0.208247380015504	-0.316914907514471	-0.0280327695964019	-0.300037706730693	-0.223177125554619	-0.346734587520163	-0.202205417962126	-0.20176538200685	0.403568671641749	-0.165628557940407	-0.227307827576052	-0.207684900314365	-0.0149135638660205	0.292862001496885	-0.307003728502238	-0.253560847186583	-0.341373618991349	0.0624907734839333	0.10083225548476	0.304166198470676	-0.106834084665113	-0.356981679360683	-0.226549872965342	-0.177951201835107	-0.0104583402330881	0.296839640887697	-0.068357949494818	-0.108779393696956	-0.0330802118403139	-0.277637717481987	-0.277661833069395	-0.201899016284566	-0.00280907000455269	-0.211306967500869	0.0542097188961375	-0.111672764892163	-0.195450905669569	-0.0183478107091085	0.203912914211962	-0.156416182525603	0.168973720013225	0.174265941763575	-0.308802441114703	0.176055048912615	0.00198013796926133	-0.12477703614678	-0.23062501265198	-0.0485251051209885	0.175211662801753	-0.238987754682063	-0.106253163418157	0.381053868300771	0.195439301718921	0.0268622377942493	0.226997788059927	-0.03630875343632	-0.221814521727796	-0.0116527308645981	-0.0401987071574547	-0.253588020404128	0.0591497925211919	0.0356611191086902	-0.0762045312419142	-0.0323063222462045	0.0230543361878576	-0.176388081329769	-0.218229982424557	0.0686364728975316	-0.333443137978233	0.00551031795131587	0.0893098606996588	-0.230095238135291	-0.237953306559511
Bacteroides	-0.506718245335555	1	-0.451446108366811	-0.254902169372146	-0.234527497404064	-0.339872106133581	-0.487698326806966	-0.290087593468471	-0.3445606173641	0.575067546514813	-0.0831601540784368	-0.233176899511459	0.337369429833646	-0.0701048328351652	0.514603125499459	0.310470616697336	0.48551270712086	0.206040601536646	0.455677966663157	-0.20128321071669	0.20065041603807	0.408516449631039	0.335989804784615	-0.284224423965153	-0.239928219344404	0.384554403002725	0.461693652013648	0.619422107295926	-0.22169978366861	-0.163328792656692	-0.162749731043372	0.138301493309211	0.785898721099379	0.58878683001134	0.0529853880287577	0.0521320202112953	-0.185989710251094	-0.162794764981523	0.192692857132115	-0.222193239854775	0.484158632948999	0.6943606574514	-0.10267412402647	0.0766942488506571	0.455067304676073	-0.247462984471576	0.221862280737849	0.312507920635314	0.246082518416534	-0.165838254222778	0.169872709036311	-0.110198852598098	-0.104848632939686	0.492941874159224	-0.173391086766005	-0.101255735525909	-0.132017612702408	0.247817622693195	0.0956215660049149	-0.136286748726824	0.273406424398103	0.197973854681564	-0.231569922756841	-0.0390819170850562	-0.0811347649468614	-0.00283068113524311	-0.0058386061974477	0.258142325595038	-0.132805470188747	0.153924847587329	0.0649034980290697	-0.146127420006867	-0.119660007682327	0.307906832347104	-0.108462881981231	0.127896861189009	0.428465860675035	0.257304344435968	-0.081221190541051	0.621879249740268	-0.154107110574677	-0.147527258378248	0.272303915037861	0.543069624980855
Peptoniphilus	0.22111346778765	-0.451446108366811	1	-0.330551537518904	0.288774608845479	0.595872589143669	0.503829005877265	0.178718551836747	0.574316261324719	-0.42448996310957	-0.0102510716600049	0.0212044385008442	-0.0725996562629487	-0.0202141277319326	-0.290158627799036	-0.177818406627862	-0.389578495062227	-0.0367739331659727	-0.205611704783668	0.0124901493651055	-0.146682316155525	-0.271651267844292	-0.350023349597849	0.409748662747724	0.122397905858852	0.192225325163264	-0.146203649257904	-0.44639476576701	0.0658394401059152	0.0148852438491553	0.000779074767033526	-0.219683839052803	-0.233201011585919	-0.370037839223602	-0.199228526980095	-0.105328051403557	0.10604662243424	0.0174722443489988	-0.258250781720725	0.469389084443916	-0.171221890603105	-0.40613133776722	0.279957503356684	0.0198815517998922	-0.307883718043157	0.0694164263017247	-0.193524476191591	-0.280251645710216	-0.245172614209302	-0.0130447342465159	0.0492183782220556	0.0367894629756613	-0.00958273246596342	-0.117774158855879	0.15072436299113	0.25670837038603	0.427203334831646	0.0395997314452248	-0.117525988515362	-0.0581784138234093	-0.012257361475311	-0.159167750679303	0.0377613924152232	0.0153962147607172	-0.13742643477571	-0.0223686856210919	-0.0102310422849672	-0.017649863451905	0.341291970835223	-0.187287016864077	0.211992088143351	0.196835695192759	0.161846886804729	-0.261583598487572	0.00412894378078704	-0.0833856839299711	-0.162675237001907	-0.000845246977223749	0.0928427978121496	-0.258770475913181	0.229247888284531	-0.0949511887866221	-0.0186385690917285	-0.210003205674382
Lactobacillus	-0.319878337821917	-0.254902169372146	-0.330551537518904	1	-0.245826061966065	-0.260858633869235	-0.327417843102088	-0.135361243119464	-0.190408835410791	-0.223989318448812	-0.202879998509734	-0.117551086332717	-0.173116718310727	-0.140935951949771	-0.142752577906175	-0.10597150495684	-0.173007193932335	-0.182099045535656	-0.238472385237848	-0.167734126826015	-0.0679295495635431	-0.15165796599407	-0.194923782110509	-0.139750430441335	-0.120282645327033	-0.253147644118083	-0.202717486996915	-0.250269507663863	-0.0512367692389482	-0.0748904724742359	-0.141597762662508	-0.083051947882568	-0.20706045358479	-0.25564398601951	-0.0582737396727427	-0.0617617669685687	-0.0960942955752048	-0.084272592915012	-0.102657505999647	-0.156740727200178	-0.139551677378111	-0.172926300228308	-0.0480564944069031	-0.0650042089956155	-0.15787136966482	-0.0917778659130948	-0.0437718834612565	-0.131306105772604	-0.136491134484648	-0.117306647173482	-0.125869226449686	-0.0498375867798467	-0.0501857914687041	-0.188928635064369	-0.0494682735890423	-0.144188793166695	0.0254760543830593	-0.079937066817449	-0.0897955410309344	-0.113570500785088	-0.0885458858137824	-0.0768493531859854	-0.119997990377793	-0.0776211325483786	-0.0695677352466829	-0.0721760584452212	-0.0664860538717211	-0.0752509332629318	-0.00284170486051666	-0.0534852291299347	-0.0201454514224853	0.0384034451916714	0.0122795813548002	-0.116368863996497	-0.060934347100777	-0.164185771635933	-0.144085126223242	-0.0791750119990439	-0.0370784294385417	-0.164842974619653	-0.0747744332895865	-0.0649751685495857	-0.0820956179809548	-0.0835538676692579
Porphyromonas	0.114846824870804	-0.234527497404064	0.288774608845479	-0.245826061966065	1	0.130936714451726	0.0527205535383871	-0.0688678664910699	-0.121799532443923	-0.0615383272765186	0.112028877227392	0.0565606722218249	-0.336070965637434	0.068604365551229	-0.115286787639303	-0.0993001180780577	-0.0582567562099939	-0.176340788721615	-0.213903807860235	-0.010885112894738	0.253996992026901	-0.0227132291508918	-0.0576139186473999	-0.0514754616709825	0.545051527674492	-0.164918160478197	0.0475355190054428	-0.0821445576944422	0.159684444681043	0.325734215453082	0.102345752608431	-0.125560592238364	-0.166602150625518	-0.0854622769262161	-0.143251605931053	-0.0017425198788318	-0.192537029636956	0.357660661925965	-0.0273896171012334	-0.14267353561959	-0.0852853154792914	-0.113164298452878	0.183383329073923	0.122613309719661	-0.0816421934445526	0.531980019150252	-0.173527670547135	-0.174153808744759	0.0755281403860323	0.297876584794876	-0.165671940327529	0.104298929587062	0.225518496284128	-0.15466739067467	-0.239741974867614	0.312896344481281	-0.037303507607889	-0.0780681926989594	0.0957130905731875	0.375534063978241	-0.0985584363307361	0.0565369363743099	0.0321874420060371	0.0187268357404698	-0.00359721558115155	-0.0799739395037683	0.0399039940314223	-0.0849072869811948	0.0957890429777771	-0.0312113985604047	-0.0247106345150935	0.246588295349121	0.0726407396364512	-0.059371667936432	0.387085819617475	0.0872270647303032	0.00758039378245721	-0.0867467716148551	-0.150553757626409	-0.0993665331036141	-0.128969101788248	-0.0209006615786319	-0.0868023702083923	-0.0705575246124721
Anaerococcus	0.0466382018831741	-0.339872106133581	0.595872589143669	-0.260858633869235	0.130936714451726	1	0.178125775253496	0.0714170115124886	0.649415084127788	-0.286253887581948	-0.0642073815011037	0.195303786414509	-0.118022956075776	0.0624752420134078	-0.21626026327501	-0.184601238780726	-0.246788349131451	-0.0164003148159917	-0.10953454969592	0.0567636588688626	-0.102239023802931	-0.207938067658655	-0.205055244770602	0.569247996949665	-0.0965685113637585	0.0648648614738555	-0.0888771875425853	-0.399330391196005	0.184198451843847	-0.0719600595494656	0.216399613613929	-0.192957017318135	-0.164360597071451	-0.33331167828969	-0.132777829027276	-0.16585188675834	0.145585517667058	0.194575679042527	-0.178972406525731	0.500526283348046	-0.113097459736278	-0.361061775952504	0.481181449165561	0.0544281527186879	-0.256627430171153	0.160492664331716	-0.149888131131163	-0.248364925877489	-0.270573266618354	0.126577091049741	0.103222730668636	-0.137734844430808	-0.0278754462203168	-0.187277124053218	0.0668894354665726	0.187282274492544	0.069547288542695	0.0346438220522457	-0.105023347442615	-0.071861641236966	-0.0255344594825078	-0.103624238018506	-0.0148331640249591	-0.0313659829733325	-0.109989907882686	-0.104753727938102	-0.0808163376257102	-0.0311910758659614	-0.0365220326743353	-0.0729670193159143	0.33051128116226	-0.0734967060274549	0.082308921333263	-0.215950921898679	-0.0840701470637841	-0.0989012036326274	-0.203753488891458	-0.0231829828182756	0.102000081296446	-0.205035104460769	0.366259791727316	0.0996571046725462	-0.0166808581522774	-0.184088033688327
Dialister	0.606957165826316	-0.487698326806966	0.503829005877265	-0.327417843102088	0.0527205535383871	0.178125775253496	1	0.202149073937176	0.21663566546143	-0.30981808688174	0.122036032175885	0.256059293564872	0.014999813768898	0.00845479778296258	-0.242495500226556	-0.20232837363889	-0.211714192837796	-0.157750963406629	-0.167280087042446	0.400338481375097	-0.184464117806336	-0.319827306491616	-0.173282395774713	0.00904120018027951	0.168066865150037	-0.0201328253651303	-0.268623415117462	-0.276821268199694	-0.0211244954572628	0.121051652800712	0.0117663903634878	0.0731314761147476	-0.358700744601167	-0.203121353147721	0.174250774487927	0.0315728973471383	0.174608790544947	0.0118814513893938	-0.0547034388064645	0.0871164009524103	-0.269643634119831	-0.301376056964415	-0.102732242315201	-0.0188557190611879	-0.238088170227486	0.114667905587556	-0.0691103977669042	-0.10177294139475	-0.284071319206295	0.0880625780464941	-0.255471710549807	0.235244718917154	-0.15884754979783	-0.0983770031078353	0.0606692834527685	0.0546813962395019	0.280045805349304	-0.213425530442742	-0.0488772947348414	-0.0295030549576069	-0.206525564251813	-0.235558936338042	0.254553909715705	0.0719581592417829	0.199192739268585	0.113123189131223	-0.0860601066905874	-0.217386923811485	0.105639647315605	-0.145556943632897	-0.191754141776614	0.0250749853840083	0.238613340794082	-0.0223806380940429	0.0556241642869735	-0.0650547801176287	-0.165107033396292	-0.208374434622434	-0.0177219912279332	-0.320140467456267	0.0154110822381953	0.0196154891770348	-0.239433052170569	-0.157029092023795
Streptococcus	0.252433067322704	-0.290087593468471	0.178718551836747	-0.135361243119464	-0.0688678664910699	0.0714170115124886	0.202149073937176	1	0.0997966878253644	-0.276488332263952	0.0944155111509384	-0.0235053960869048	-0.21547759667416	0.155165274859905	-0.140715669329536	-0.0859850835613286	-0.227148730839244	-0.183939648178087	-0.19762199736578	-0.128342976538625	-0.185246104415042	-0.199263475784508	-0.222793856530623	0.256063138558482	-0.0455570147258185	-0.212495005889348	-0.174860165686981	-0.210798239050407	0.326179696567034	-0.0991703955157465	0.0615856220707275	-0.112231387673385	-0.158195755644991	-0.141977316472813	-0.0903298359165121	-0.12401475315401	0.375405984732732	-0.0020423276848438	-0.075281383364074	0.233686926662337	-0.188861733144606	-0.157226926091983	-0.00111285797752727	-0.161233668097018	-0.117654381057099	-0.101462054509434	-0.0774312803611055	-0.175567197232382	-0.0858678798297495	-0.0869657349463834	0.159368096203805	0.108857240552662	-0.082943964715356	-0.0997390934210899	0.459423280758238	0.0264103144474638	-0.0904977548250097	-0.0671212384935391	-0.07049156182397	0.175527585556075	-0.0785316028715679	-0.0896246291435886	0.165793976489883	-0.124419267346444	-0.0807332179003743	-0.150574376856984	0.432688035394453	-0.0655934441817042	0.013894076973118	-0.111628242998558	0.0321108904313965	0.0624934742257202	-0.116174439368958	-0.168624039904342	-0.0780446558828817	-0.0225574731257734	-0.183226054958769	-0.0596373907614769	0.0969756464933923	-0.19246385540291	-0.0284364447754402	0.425265353280388	-0.0730280001688371	-0.0970805700707707
Finegoldia	0.149233315897655	-0.3445606173641	0.574316261324719	-0.190408835410791	-0.121799532443923	0.649415084127788	0.21663566546143	0.0997966878253644	1	-0.322831380795206	-0.164540135902011	0.0629146459046037	-0.0510582078713092	-0.0466564634929022	-0.210722338900463	-0.125549919165417	-0.267944521602844	-0.0512724645566586	-0.112691533022275	0.114043920572648	-0.184023198838174	-0.211617110247818	-0.196000588701713	0.658084737291654	-0.135632719888823	-0.0105609387155693	-0.178004008302646	-0.314172721792504	0.019234784065838	-0.0404330843865741	0.0102412424362085	-0.162417171820756	-0.15121481383807	-0.321339783301244	-0.100096346378101	-0.0213715328488781	0.101979383535536	0.0315573786288074	-0.159210901897667	0.790771383854393	-0.0755184336370268	-0.292101959408965	0.281982119440695	-0.138037841559448	-0.193741439578614	0.0229778419918728	-0.105971989198148	-0.119580196703003	-0.214083388065757	-0.00962707283345224	0.156998457729375	-0.122321893662409	-0.0523598374230926	-0.110547463554899	0.395685031800862	0.110757640628771	0.0876366626031831	0.0439528145143207	-0.155959799852126	-0.172070602474707	0.0109474409560594	-0.1301727033005	0.164838638673981	-0.000343026043229724	-0.0896816988183847	-0.139357493085604	0.026857981742762	-0.00204480293663546	0.057169980559571	-0.0611806498964375	0.174667786365692	-0.0465920007405413	-0.0191940323575098	-0.208362650080692	-0.0647767403352319	-0.0984732407213602	-0.190551128906797	0.00869853929791593	0.424774190078333	-0.184210058885007	0.594070092533557	0.0412716556519292	-0.00102155630975888	-0.15552294386623
Faecalibacterium	-0.319513968112058	0.575067546514813	-0.42448996310957	-0.223989318448812	-0.0615383272765186	-0.286253887581948	-0.30981808688174	-0.276488332263952	-0.322831380795206	1	-0.0219926337791779	-0.166569954205212	0.43986579466416	-0.0934068055725454	0.134811488789596	0.0220497526318889	0.621065259074591	0.16960367719809	0.652383916890363	-0.189471414222491	0.00159026319232334	0.684623968975508	0.629536878114107	-0.278474976053214	-0.243009328836529	0.222194878675684	0.540689497665884	0.463550124255528	-0.187958298592733	-0.128818599241622	-0.0999812570910896	0.446254379495316	0.172348591048943	0.39467341538796	0.290379923728523	0.196020059928932	-0.154005546382423	-0.118456524750235	0.268384220351102	-0.223072184774755	0.301128346341828	0.47750152165772	-0.011086198950721	0.0408525405099094	0.339988220935881	-0.185632579789839	0.493391591471343	0.529247518458314	0.0813887024735537	-0.126655716665497	0.0021334448901653	-0.0675841735171699	0.0484682805809023	0.145928181294987	-0.179208523811118	-0.0240429583778856	-0.122465268252999	-0.0645570980501083	0.251724281586783	0.136383436488049	-0.048731541826477	0.379694236278154	-0.233742098594348	-0.0912042357342218	0.218012772144517	0.0431366915576144	0.0753162243618071	-0.0661546407866057	-0.0987943505915384	0.307121781320087	-0.0961008680965409	-0.142204650436193	-0.193544635017744	0.235369293185575	-0.119759761758994	0.0966355809016217	0.240453733047283	-0.0647086492160193	-0.0772312113289863	0.210505467923847	-0.110134730773953	-0.0677522980634526	-0.0436684231670844	0.135709005945098
