Prevotella	Bacteroides	Peptoniphilus	Lactobacillus	Porphyromonas	Anaerococcus	Dialister	Streptococcus	Finegoldia	Faecalibacterium	Campylobacter	Gardnerella	Bifidobacterium	Fusobacterium	Dorea	Parabacteroides	Ruminococcus	Collinsella	Sutterella	Atopobium	Clostridium	Lachnospira	Coprococcus	Corynebacterium	Mobiluncus	Blautia	Roseburia	Oscillospira	Actinomyces	Sneathia	Peptostreptococcus	Megamonas	Phascolarctobacterium	Bilophila	Akkermansia	Megasphaera	Veillonella	Parvimonas	Desulfovibrio	Delftia	Anaerostipes	Butyricimonas	Gallicola	Moryella	Odoribacter	Peptococcus	Mitsuokella	Paraprevotella	Escherichia	Arcanobacterium	Haemophilus	Bulleidia	Catenibacterium	Eggerthella	Staphylococcus	Varibaculum	Pseudomonas	Neisseria	Coprobacillus	Mogibacterium	Rothia	Lachnobacterium	Slackia	Alloscardovia	Methanobrevibacter	Pyramidobacter	Ureaplasma	Shuttleworthia	Acinetobacter	Treponema	Facklamia	Lactococcus	Aerococcus	Synergistes	Gemella	Adlercreutzia	Alistipes	Leptotrichia	Anoxybacillus	Holdemania	Dermabacter	Actinobaculum	Aggregatibacter	Anaerotruncus
Prevotella	0	0.49550376832097	1	1	1	1	0.00797830432704448	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Bacteroides	0.000148088394596823	0	1	1	1	1	0.944346764669939	1	1	0.0344705290218958	1	1	1	1	0.374984933939275	1	1	1	1	1	1	1	1	1	1	1	1	0.00430606774621954	1	1	1	1	2.91995939052628e-08	0.0187263585558048	1	1	1	1	1	1	1	5.50850788033882e-05	1	1	1	1	1	1	1	1	1	1	1	0.793788744038333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00380395137474988	1	1	1	0.129151633322225
Peptoniphilus	0.118927954564504	0.00088383760789702	0	1	1	0.0135144991746697	0.547876210001198	1	0.0355976579514429	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lactobacillus	0.0221234721453392	0.0710456582136559	0.0178310540019798	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Porphyromonas	0.422265038020208	0.0976138621969535	0.0398647609351937	0.0820664716960695	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.119461001714404	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.197894682817445	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Anaerococcus	0.745193744625749	0.0146822772927725	3.9655220582951e-06	0.0644759856123805	0.35974824293362	0	1	1	0.000869806836196213	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0442843154169705	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.613750683148165	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dialister	2.33762212922487e-06	0.000283417396359526	0.000163838579545813	0.0190109737154651	0.713304355257718	0.211092957787692	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Streptococcus	0.0739201985770969	0.0389311004341587	0.209552926118748	0.343599972888316	0.631090118327666	0.618475444504275	0.154858444875988	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Finegoldia	0.295937511961792	0.0132867313901485	1.04945925564395e-05	0.180778482045917	0.394527685916796	2.52997916287438e-07	0.126778235117263	0.485949960391093	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000529343296927525	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.76609437746384e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0146870703187897	1	1	1
Faecalibacterium	0.0222841743646921	1.01563137954908e-05	0.0019055452845911	0.114084436853196	0.66793521304632	0.0417088361832175	0.0269360241360666	0.0495249814522707	0.0208567284350167	0	1	1	1	1	1	1	0.00396313448932318	1	0.000735154685801505	1	1	0.000104426472189762	0.00255896810037144	1	1	1	0.14175019236787	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.782083251362959	0.219137085594099	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
