Prevotella	Peptoniphilus	Anaerococcus	Porphyromonas	Bacteroides	Finegoldia	Lactobacillus	Dialister	Faecalibacterium	Streptococcus	Campylobacter	Sneathia	Gardnerella	Corynebacterium	Bifidobacterium	Coprococcus	Mobiluncus	Collinsella	Blautia	Clostridium	Ruminococcus	Atopobium	Roseburia	Lachnospira	Sutterella	Dorea	Peptostreptococcus	Phascolarctobacterium	Fusobacterium	Actinomyces	Oscillospira	Parabacteroides	Moryella	Gallicola	Megamonas	Delftia	Citrobacter	Pseudomonas	Bilophila	Parvimonas	Megasphaera	Paraprevotella	Desulfovibrio	Akkermansia	Peptococcus	Bulleidia	Odoribacter	Staphylococcus	Butyricimonas	Arcanobacterium	Haemophilus	Varibaculum	Granulicatella	Neisseria	Veillonella	Anaerostipes	Rothia	Shuttleworthia	Mogibacterium	Acidaminococcus	Aerococcus	Eggerthella	Slackia	Coprobacillus	Facklamia	Aggregatibacter	Alloscardovia	Lachnobacterium	Acinetobacter	Gemella	Capnocytophaga	Catenibacterium	Leptotrichia	Arthrobacter	Adlercreutzia	Aeromonas	Ureaplasma	Mitsuokella	Turicibacter	Lautropia	Lactococcus	Nitrospira	Vibrio	Escherichia	Bacillus	Anaerotruncus	Synechococcus	Streptomyces
Prevotella	1	-0.248510169151046	-0.412746738693348	-0.236738960011524	-0.0554703758651756	-0.452307639756015	-0.286025887254872	0.40955800771736	-0.180301025167459	0.261493429176189	0.163389141441581	0.192646843309497	0.215926786838462	-0.162440967910185	-0.198262901611509	-0.163379939257156	0.110063090138104	-0.122932790374929	-0.260970893499554	-0.183857340760417	-0.212909531797478	0.250666147156969	0.148125457176732	-0.114833340401583	-0.0824642551523646	0.10532121127327	0.177856954788497	-0.0346515560158181	0.174041050973701	0.289291511196141	-0.154546949258564	-0.108755079546902	0.189906969211641	-0.279990710709894	0.084312648099374	-0.496065688911662	-0.0534974238240716	-0.128461378370855	-0.0643829435214234	0.148004161754286	0.215734603578177	-0.0444672003804844	-0.194741024294286	-0.264705746362062	0.0515539882361719	0.154695196200579	-0.162723137135875	-0.338606035254222	-0.0553065262235582	-0.0895232802562784	-0.0786834719352756	-0.336101246350384	0.183726838737363	-0.116494245110287	-0.0252632032104396	-0.159952926594422	-0.222007539278449	-0.139689025698068	-0.317487951658335	0.168608087465035	0.0720485521727131	-0.0994615083725476	0.38777620627947	0.150020373049314	-0.0514263357322808	-0.0062815517831355	0.085051413850032	-0.172054692474875	-0.221107797341316	0.205014981131311	0.0100993757182549	0.388827095830401	-0.119661131296945	-0.161623771190374	-0.305292962987506	-0.17841696068883	-0.127951278346969	0.0405789678566677	-0.271844707495531	-0.176399926088748	-0.143973562687673	-0.196636647329139	-0.172566209588902	0.293278357008228	-0.229100369964732	-0.0342748316997679	-0.154834342727944	-0.0963385977399325
Peptoniphilus	-0.248510169151046	1	0.604575465245819	0.178472179465567	-0.499109134871282	0.573753184750821	-0.183683001615317	0.238018152423488	-0.44777798120286	-0.25311228019011	0.2141566737537	-0.22433829961943	-0.196641360434408	0.00668470110156106	-0.307502893729733	-0.396734298554025	-0.156578780430311	-0.312620094712672	-0.324200590200876	-0.000809773996837804	-0.412742706298383	-0.234067460410915	-0.412391780813462	-0.377980398203319	-0.364220077542757	-0.462611354226515	-0.247373547840675	-0.457279939040883	-0.162781558617589	-0.162414087971731	-0.488150791815183	-0.417088726369461	-0.0580454588048887	0.257728275961126	-0.0807787837294441	0.346859377434423	-0.14656076923693	-0.00461043983858174	-0.368489489904512	-0.20680286193885	-0.164552510037654	-0.0721061860055426	-0.25128871783654	-0.269562753594409	0.298533208570114	-0.0381934103271654	-0.43280457334445	0.102936969180163	-0.341152341150218	0.254556197195641	-0.14415210222989	0.491100673522115	-0.135975668969454	-0.161720181647785	0.0249717619186469	-0.23721462687683	-0.210385551666314	-0.147658147606934	0.361471903908421	-0.144251513718109	-0.194286455494144	-0.191228896706037	0.000430161054100978	-0.0284932484920659	0.0722752965545957	-0.0736892602870919	-0.0959637596980819	-0.210608344268783	-0.0245300303956269	-0.206326630295809	-0.114293295085004	-0.201813015343382	-0.154445183511911	-0.0016147237137596	-0.377672424966135	0.0414025141508353	-0.0908620393125349	-0.0542317589017243	-0.0818449971662594	-0.17260604587487	-0.108786296477634	0.0180211647540113	-0.0891817907465133	-0.236795830940323	0.00935355029846763	-0.20652622669028	-0.0121277442441971	-0.010002072346121
Anaerococcus	-0.412746738693348	0.604575465245819	1	0.0484966850718042	-0.475393897578092	0.7495367354146	-0.0840036759588753	-0.0239052544858823	-0.316536302669205	-0.189505779935026	-0.218223003773004	-0.127176932885201	-0.162416472367714	0.161244437976446	-0.2440493613239	-0.283496492043189	-0.224343085363101	-0.267388807073319	-0.207161440318994	-0.0695724593069027	-0.30072514325887	-0.173972367130452	-0.326408837736741	-0.292429481250393	-0.356436679936202	-0.438478960568124	-0.0980939344969991	-0.376925999768875	-0.15220685736193	0.0157561742659407	-0.455978791348399	-0.445046296506946	-0.092814107939293	0.388497420367797	-0.169338652289938	0.636468633494887	-0.0765030106313079	0.0633561099508273	-0.38320424909742	-0.141571272412705	-0.225588661732571	-0.233143260117596	-0.173021446007592	-0.205005835954954	0.0564890494652643	-0.152328792907454	-0.339970591922789	0.335490366815524	-0.335667515196147	0.0651304712194486	-0.123361225933246	0.468585573069548	0.144783944004868	-0.157663740478722	-0.00549645463109773	-0.231515065470668	-0.185186807152856	-0.16018658726702	0.238467941045482	-0.118537561938784	-0.106211809029694	-0.276440193900641	-0.102191889741318	-0.223120808070002	0.108495698499467	-0.0723378669143306	-0.0933833291590548	-0.111181256947781	0.0946870459164121	-0.111990614468582	-0.0782093133292911	-0.147009119909418	-0.166573794802031	0.0560560562703771	-0.247409057245981	0.172112741075447	0.0543319477996455	-0.059399607473518	0.074416166482592	-0.148562600291233	-0.0697568810536279	0.115366144310096	0.0356804277013608	-0.240720000933567	0.133886722642553	-0.167986807149804	0.0540148487027806	0.0227597851295606
Porphyromonas	-0.236738960011524	0.178472179465567	0.0484966850718042	1	-0.194769666116312	-0.110204772131898	-0.0893360691163027	0.0871830478154998	-0.190522230344464	-0.280856812557333	0.0987454657849985	-0.129733230123554	-0.171465724212273	0.341720773891997	-0.194136388406302	-0.213158853997479	0.0545879072708263	-0.0859805225879322	-0.218575017580744	0.650543460433962	-0.181202751829482	-0.217849858126796	-0.174089173021433	-0.171097677101357	-0.181903219062986	-0.241845366398501	-0.219333957963017	-0.225745729312702	-0.0648653895039915	-0.121617935365772	-0.1653109299579	-0.185823904448926	0.0208766229412708	0.234553534516445	-0.0511275957502165	-0.0500060579829249	-0.0445668122383109	-0.0146478430050041	-0.122070731791534	-0.079581809028812	-0.163905756364235	0.2045783247452	-0.106575113592012	-0.0954027135948937	0.0552087177884159	-0.0571498679679354	-0.172645574950657	-0.15098020515432	-0.0547504706466765	0.267046915258676	-0.137114691729085	0.285917158095631	-0.123510175647152	-0.0455375043098682	-0.0953255597276873	-0.12153892115729	-0.110915074063386	-0.0992865962672271	0.462356904637474	-0.0483485647125109	-0.105175034751075	-0.209522898309782	-0.231551453149777	-0.13372719351156	-0.097862774852144	-0.136191649101055	-0.0459535116435417	-0.0799903172048211	0.0290879844438918	-0.131739250227522	0.0221886394742706	-0.108534369417242	-0.0637286726378599	0.0665282115695936	-0.19936591410374	0.0634720927756131	0.0103720011034285	0.0463254714953021	-0.0526957223081497	-0.0599380400003458	-0.0715405199008028	0.155188464614101	0.0208420369466316	-0.221114523798156	0.100937187275979	-0.0687103431697153	0.0345823561483513	0.165050399783329
Bacteroides	-0.0554703758651756	-0.499109134871282	-0.475393897578092	-0.194769666116312	1	-0.317641950605411	-0.158782536027891	-0.304650497243898	0.448335279483459	0.0892869855599354	-0.0501651459797267	-0.122646337504754	-0.138799908051135	-0.211627100226762	0.356279346103242	0.662708154549991	0.243220624871437	0.376895979841875	0.401376656784279	0.0077046544062416	0.495492271476855	-0.105633110198428	0.451199109330193	0.694055856588227	0.666715134385558	0.590543022814803	0.0201629070401839	0.655250151733137	-0.0418874011848993	-0.184984652383185	0.782721885652082	0.813175337957906	-0.0178980456729314	-0.190226838570953	0.138952301744238	-0.213772402960934	0.213505152336892	-0.150301313957108	0.69847995369219	0.0810427838592958	0.271731666388485	0.0741908223394605	0.440160797182116	0.608946272224405	-0.185336578459754	0.0862747949974102	0.754854603832961	-0.156456435817417	0.710555694182299	-0.176082184893194	0.313291023935506	-0.27856700649748	0.0457708137191445	0.39479966052128	0.0772933702223122	0.273737822160554	0.603217191435665	0.509317763506694	-0.249146750016929	0.202570545932869	-0.000562209364753717	0.474664440392789	-0.0906135967459693	0.138986494376283	-0.116310694974634	0.10291228397472	0.00358236966375394	0.165356572038301	-0.107449839644074	-0.131063180944621	0.103975783310204	0.15616471935523	0.435247942386923	-0.122641407471166	0.496399392135972	-0.0809331987378747	-0.0750481533083784	0.108382108659034	0.0465816198261209	0.462922015656095	-0.0890453603707122	-0.11370980293725	-0.0598500014500355	0.0028244853530266	-0.110618118510323	0.296635518241097	-0.104373983369061	-0.135258142286489
Finegoldia	-0.452307639756015	0.573753184750821	0.7495367354146	-0.110204772131898	-0.317641950605411	1	-0.0789474189826369	-0.072139944024993	-0.256752281051691	-0.0840442464547396	-0.189930358386332	-0.150195545113408	-0.0201024464972283	0.04708581042455	-0.0833335094936403	-0.193652465352354	-0.180010397913635	-0.207943382718768	-0.0490287475532721	-0.21471222798705	-0.243743375571878	-0.131704134684052	-0.256167044055786	-0.228998921631901	-0.186695775200389	-0.286765365251897	-0.140879853175629	-0.305032219414461	-0.177894780548547	-0.201258310970552	-0.368103340703642	-0.289038832324793	-0.0883311801314744	0.184744275295476	-0.0897138868960313	0.803823473972398	-0.0791038270109785	0.0147534968644928	-0.272631171813575	-0.177775747696757	-0.120825698015604	-0.1810563805276	-0.13429738884682	-0.178949809459851	-0.0507608555781814	-0.131826623629779	-0.274675150575298	0.328192562314797	-0.301214861068551	0.134572988993031	-0.0692532700432184	0.232550109982924	-0.117964261015043	-0.109048127013353	-0.0318294740191785	-0.103659765273585	-0.132267057954458	-0.107319522279711	0.19148715690244	-0.0908925767602319	-0.129776796815308	-0.0363744221301648	-0.0639269597817982	-0.0329887401218018	0.087963115382994	-0.0518515402715295	-0.105407940801716	-0.150988484876989	0.0584951465509149	-0.148149913470022	-0.0690215444546608	-0.117215610752959	-0.103883246762631	0.0130866565760474	-0.158459534995468	0.0843504021539783	-0.01256512813695	-0.0512726075301358	0.0684126439506817	-0.113787166750047	-0.0895181370123651	0.0542425566254998	-0.0462330404603744	0.00143027049225002	0.0447573822325918	-0.171605270805818	0.00777476520227016	-0.0236395171109674
Lactobacillus	-0.286025887254872	-0.183683001615317	-0.0840036759588753	-0.0893360691163027	-0.158782536027891	-0.0789474189826369	1	-0.195028121938743	-0.120541445386122	-0.125471800309122	-0.10536109353235	-0.0773606664975375	-0.085855547682712	-0.0033791925036717	-0.114609891897916	-0.10862207542113	-0.0364900062482528	-0.128829634605079	-0.105253681624769	-0.0708954052835895	-0.0990175128505194	-0.0776047279127701	-0.118496675228271	-0.106834399898231	-0.147602795022929	-0.157201231425352	-0.075812037574534	-0.128343640725972	-0.07164570822015	-0.105072528310772	-0.133373931503287	-0.134180508960934	-0.0572081243012364	0.0542768273840951	-0.0448775667636693	0.0134054289500391	-0.0377734942041711	0.246399642777751	-0.139629686575695	-0.0673202724392384	-0.0536824273772084	-0.0791540144483304	-0.0615361346001476	-0.0510987732419295	-0.098801344482206	-0.0750813393784865	-0.0964027600682938	0.183085014433833	-0.122811536532493	-0.0984997745515724	0.051625103096654	-0.0568406694647383	-0.0585569991565585	0.0401815600009267	-0.0535092393781014	-0.0985295741147913	-0.0147707347567484	-0.0457466954920809	0.0517492711098834	-0.0344234931311856	-0.0292553358534521	-0.115850971208365	-0.118646637093357	-0.0626411471329126	-0.0335567294119692	0.0636350794902533	-0.0306953672208284	-0.0558201797842021	0.305913839783406	-0.057413312466692	0.06455069221193	-0.0399122891933918	0.0131241110546007	0.238372150988075	-0.105596129919493	0.168271066593697	0.138611025699924	-0.0387820195393181	0.0646982463947173	0.0446510039786568	0.210749952358127	0.238124429987665	0.209134707412633	-0.098453669990277	0.28253073317751	-0.0763610618456213	0.23689671246572	0.204177183359812
Dialister	0.40955800771736	0.238018152423488	-0.0239052544858823	0.0871830478154998	-0.304650497243898	-0.072139944024993	-0.195028121938743	1	-0.352126766389511	-0.021565059070063	0.315272733067327	-0.0712512686456187	0.0173420249003301	0.11268901368392	-0.356365656639439	-0.377672567319143	-0.0446273441537643	-0.271255764811581	-0.345087368186453	-0.11215046402961	-0.361236441270073	-0.00632843493306041	-0.334852804308125	-0.350192852469194	-0.118461328825523	-0.305026094449947	-0.071877433516571	-0.38408664115872	0.109092027563576	0.252981001818316	-0.412401491039173	-0.194382808304352	0.0687788015591311	-0.169888214717122	-0.0517287123104166	-0.270355464554884	-0.103219675034021	-0.0444941429920006	-0.18522718155989	-0.0742693293650999	-0.0412783425386006	-0.255455308714938	-0.137460475434979	-0.241270790273653	0.0802867950585291	0.140642280851406	-0.334958095297989	-0.00113590409153013	-0.343136038208083	0.340022393066783	-0.0699276898085468	-0.0339446741864413	0.100956792060232	-0.0652618667157422	0.27807327117417	-0.331304483010312	-0.18256729260775	-0.139176168980521	-0.113797257826998	-0.129571476379468	-0.109653732503863	0.0651850405556594	-9.07166579225789e-05	0.38035197727389	-0.0267267691231816	-0.0138089081332565	-0.0144424523584428	-0.176934755911428	-0.104863045727514	-0.115273926224269	0.0655011909857382	-0.060780701832821	-0.0762950438092616	-0.0252872326896078	-0.325660724514843	-0.123328555140935	-0.177729481244498	-0.0877593369833839	-0.149618292535361	-0.125245748652662	-0.102284463488492	-0.000560809362790538	-0.150679514288179	-0.0806481240462158	-0.106793856419551	-0.189083250810055	-0.0733828706965881	0.0971400789305053
Faecalibacterium	-0.180301025167459	-0.44777798120286	-0.316536302669205	-0.190522230344464	0.448335279483459	-0.256752281051691	-0.120541445386122	-0.352126766389511	1	-0.109609233895381	-0.182425622040864	-0.122459877950731	-0.0320134243471424	-0.173003366963669	0.862858045222994	0.639558351213129	-0.0708985994840719	0.660664495171895	0.834403899739513	-0.0209362493273698	0.778195677306781	-0.164869315056555	0.563013445956799	0.499088956661239	0.386871342739116	0.734742208069637	-0.163142515753976	0.569959443489644	-0.111062559560313	-0.196537730054682	0.683363514392068	0.456210562257522	-0.0506189663238887	-0.12555049495791	-0.00907854662142972	-0.0910006724793426	-0.0443726214109418	-0.109465064442878	0.286841908702987	-0.103520763063028	-0.0546933694759046	0.235862801280544	0.311024588451096	0.306411368469585	-0.215213547727754	-0.0896910650788164	0.3992631111064	0.0166694423909675	0.399621136162786	-0.155139998977369	0.0484102846198337	-0.276545489868519	-0.0549970498190122	0.057471597424027	0.00266509735698454	0.702626793491944	0.204600616429268	0.140431723534523	-0.114787782973599	0.00109198733059604	0.00613946134095234	0.224464033133858	-0.0787164044496501	-0.121921470544703	-0.0650906610642441	-0.0233201211489392	-0.0456203067664908	0.552900336459115	-0.101965666902182	-0.0906023281530791	-0.0264451207227332	0.0253907399080731	0.0798986360161172	-0.0963145906894813	0.817260520005685	-0.0739510954519299	-0.151660021316775	0.103808566217701	0.326997191479475	0.104055224727794	0.291149268539976	-0.136025174794361	0.0258250537931371	-0.0428378163060508	-0.119349055818056	0.0801779681116748	-0.0909867553520311	-0.0832226112301241
Streptococcus	0.261493429176189	-0.25311228019011	-0.189505779935026	-0.280856812557333	0.0892869855599354	-0.0840442464547396	-0.125471800309122	-0.021565059070063	-0.109609233895381	1	-0.103602664624613	0.0659916354614918	0.357051966521063	-0.0528477229598061	-0.0762910676423686	-0.112189266433539	-0.113611550767987	-0.177402668081281	-0.0903050650124026	-0.15257437243189	-0.109638072785708	0.306119280370352	-0.114458840165651	-0.136289709059675	0.0840438560856227	-0.0431294764303687	0.389070886631165	0.156233544201242	0.0246016178237179	0.0882192968083939	-0.0405814019287722	0.0895597679814466	0.0442285123933675	-0.19294854848853	-0.0675870430292248	-0.156643806185175	0.45014694139597	-0.0275672871120911	0.105462320644927	0.416445691537335	0.152983640560121	-0.122366486547545	-0.0628679410452598	-0.0819574609808574	-0.0935102645774008	0.253491639918518	0.117316168541732	-0.185966678533765	0.0514040117253373	-0.0402024651065455	-0.0204504296239109	-0.0737886092822834	0.0902373583301189	-0.0696622585857687	0.0124528005685887	-0.123528368592259	-0.0545555698003981	-0.0364290631694034	-0.290640502245942	0.266441015962931	0.0486761511193982	0.205707087277516	0.337984575435261	0.0807562716784196	0.168625254906105	0.0318360231029515	0.567050859321753	-0.09931738881859	-0.0652330399465544	0.0817738717059433	-0.050347026741083	-0.0237437186958528	-0.0708817340558456	-0.0628236833315221	-0.0369064456670546	-0.0864751203382616	0.047423642952351	-0.0840813252201793	-0.13461673189067	-0.0694481399821842	-0.0319760817275471	-0.133967633103356	-0.0900638944270235	0.340950072140489	-0.116914017848334	0.375080674622711	-0.0581390400041613	-0.126533026647102
