id,weight,class
Prevotella,20559.0425531915,2
Peptoniphilus,15492.7872340426,2
Anaerococcus,9875.23404255319,2
Porphyromonas,6688.08510638298,2
Bacteroides,5780.44680851064,2
Finegoldia,4569.6170212766,2
Lactobacillus,4392.6170212766,2
Dialister,4143.17021276596,1
Faecalibacterium,3589.93617021277,1
Streptococcus,3381.04255319149,1
Campylobacter,2045.59574468085,1
Sneathia,1612.06382978723,1
Gardnerella,1599.40425531915,1
Corynebacterium,1523.34042553191,1
Bifidobacterium,1231.59574468085,1
Coprococcus,951.297872340426,1
Mobiluncus,934.297872340426,1
Collinsella,888.31914893617,1
Blautia,834.851063829787,1
Clostridium,730.872340425532,1
Ruminococcus,713.872340425532,1
Atopobium,704.595744680851,1
Roseburia,625.510638297872,1
Lachnospira,536.978723404255,1
Sutterella,532.553191489362,1
Dorea,506.829787234043,1
Peptostreptococcus,492.510638297872,1
Phascolarctobacterium,487.531914893617,1
Fusobacterium,479.425531914894,1
Actinomyces,443.489361702128,1
Oscillospira,387.595744680851,1
Parabacteroides,311.595744680851,1
Moryella,274.829787234043,1
Gallicola,222.36170212766,1
Megamonas,207.936170212766,1
Delftia,201.765957446808,1
Citrobacter,162.489361702128,1
Pseudomonas,130.255319148936,1
Bilophila,127.340425531915,1
Parvimonas,115.425531914894,1
Megasphaera,109.106382978723,1
Paraprevotella,77.2340425531915,1
Desulfovibrio,73.7234042553192,1
Akkermansia,71.2127659574468,1
Peptococcus,66.0212765957447,1
Bulleidia,61.1489361702128,1
Odoribacter,51.936170212766,1
Staphylococcus,48.1702127659574,1
Butyricimonas,42.0212765957447,1
Arcanobacterium,39.7659574468085,1
Haemophilus,36.2765957446809,1
Varibaculum,36.1914893617021,1
Granulicatella,36.0212765957447,1
Neisseria,33.1702127659574,1
Veillonella,30.9787234042553,1
Anaerostipes,29.4893617021277,1
Rothia,25.5744680851064,1
Shuttleworthia,24.9574468085106,1
Mogibacterium,24.7872340425532,1
Acidaminococcus,24.7659574468085,1
Aerococcus,23.5106382978723,1
Eggerthella,20.4468085106383,1
Slackia,18.7021276595745,1
Coprobacillus,17.7872340425532,1
Facklamia,17.7659574468085,1
Aggregatibacter,17.3829787234043,1
Alloscardovia,16.3617021276596,1
Lachnobacterium,15.3617021276596,1
Acinetobacter,14.6595744680851,1
Gemella,14.4042553191489,1
Capnocytophaga,14.3404255319149,1
Catenibacterium,13.4042553191489,1
Leptotrichia,13.4042553191489,1
Arthrobacter,13.063829787234,1
Adlercreutzia,12.8510638297872,1
Aeromonas,11.5744680851064,1
Ureaplasma,11.2127659574468,1
Mitsuokella,7.27659574468085,1
Turicibacter,7.23404255319149,1
Lautropia,6.85106382978723,1
Lactococcus,6.48936170212766,1
Nitrospira,6.1063829787234,1
Vibrio,6.04255319148936,1
Escherichia,5.59574468085106,1
Bacillus,5.46808510638298,1
Anaerotruncus,5.34042553191489,1
Synechococcus,5.29787234042553,1
Streptomyces,5.17021276595745,1
