"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"KO1",0,0.299685881653791,0.344576153814819,0.305086142939576,0.356375300721732,0.276406962988001,0.340539605672778,0.36720150395663,0.336456706576436,0.302288871349645,0.308045686348885,0.318970464880138,0.323241905547536,0.332651725830198,0.318193460257833,0.325568729314173,0.340491803278688,0.302343287369935
"KO2",0.299685881653791,0,0.371139240506329,0.35126831573972,0.439346274840789,0.317415503750907,0.331244330832028,0.345556064836035,0.343783604930102,0.335366872806284,0.302377982537319,0.334903478151154,0.3047179851011,0.348580811634999,0.296024763766699,0.29377875575115,0.347567186398182,0.301679586563308
"KO3",0.344576153814819,0.371139240506329,0,0.327571174039956,0.333481169383154,0.333721155710685,0.433630421865716,0.413765506202481,0.376534625928722,0.370621514263933,0.365965020894598,0.424822351421189,0.389727638267203,0.370695171064022,0.37712876326195,0.357885015008081,0.370290756872949,0.34034706316239
"KO4",0.305086142939576,0.35126831573972,0.327571174039956,0,0.323496451251401,0.276413836379324,0.413334401795016,0.40946443751771,0.376497066152239,0.35021919142718,0.347262980788042,0.410644989992239,0.341975071907958,0.338939197930142,0.364745011086475,0.357329078952488,0.354250857796416,0.336133793969849
"KO5",0.356375300721732,0.439346274840789,0.333481169383154,0.323496451251401,0,0.336491442542787,0.483772819472617,0.454079823490012,0.451799687010955,0.416054357272655,0.409033733562035,0.482332366151278,0.405001308264494,0.367062314540059,0.419989203362381,0.417219547332904,0.38821168425747,0.386539196940727
"KO6",0.276406962988001,0.317415503750907,0.333721155710685,0.276413836379324,0.336491442542787,0,0.385158430471187,0.41308225144137,0.37112977602108,0.335413027202396,0.326122661539078,0.374638924938251,0.35614771790746,0.348878853939583,0.348552428837888,0.34052977494523,0.348884381338742,0.342632044376558
"OE1",0.340539605672778,0.331244330832028,0.433630421865716,0.413334401795016,0.483772819472617,0.385158430471187,0,0.302219016504731,0.333417550951659,0.311888349927666,0.27560086803423,0.247355120572236,0.334188685297302,0.368379195164625,0.265898350053893,0.324160390799919,0.364281160344278,0.2997781247432
"OE2",0.36720150395663,0.345556064836035,0.413765506202481,0.40946443751771,0.454079823490012,0.41308225144137,0.302219016504731,0,0.320733835610607,0.30520067105433,0.278219132737504,0.323315433916508,0.322693024386292,0.379263246695858,0.29199312858759,0.338955162484574,0.350026166418421,0.295353568907528
"OE3",0.336456706576436,0.343783604930102,0.376534625928722,0.376497066152239,0.451799687010955,0.37112977602108,0.333417550951659,0.320733835610607,0,0.265687697430206,0.293054585780589,0.327918868978557,0.290327769957772,0.32522335673261,0.29568327372536,0.306954142676304,0.321822541966427,0.284065617014261
"OE4",0.302288871349645,0.335366872806284,0.370621514263933,0.35021919142718,0.416054357272655,0.335413027202396,0.311888349927666,0.30520067105433,0.265687697430206,0,0.272478320401643,0.309185667752443,0.294934806450303,0.321678885039878,0.276890756302521,0.29068184630615,0.319609267780738,0.277564956695536
"OE5",0.308045686348885,0.302377982537319,0.365965020894598,0.347262980788042,0.409033733562035,0.326122661539078,0.27560086803423,0.278219132737504,0.293054585780589,0.272478320401643,0,0.278793953061054,0.278151918559123,0.30648230861848,0.239917479066381,0.27173740263869,0.276357267950963,0.25363917071019
"OE6",0.318970464880138,0.334903478151154,0.424822351421189,0.410644989992239,0.482332366151278,0.374638924938251,0.247355120572236,0.323315433916508,0.327918868978557,0.309185667752443,0.278793953061054,0,0.335595160235448,0.382757083215111,0.288729118206809,0.331036200597808,0.361306308135993,0.322325133062319
"WT1",0.323241905547536,0.3047179851011,0.389727638267203,0.341975071907958,0.405001308264494,0.35614771790746,0.334188685297302,0.322693024386292,0.290327769957772,0.294934806450303,0.278151918559123,0.335595160235448,0,0.250637730820484,0.270890288838702,0.292111206292345,0.268836073703887,0.271027303083874
"WT2",0.332651725830198,0.348580811634999,0.370695171064022,0.338939197930142,0.367062314540059,0.348878853939583,0.368379195164625,0.379263246695858,0.32522335673261,0.321678885039878,0.30648230861848,0.382757083215111,0.250637730820484,0,0.297885718777018,0.285024527791726,0.284557153671461,0.31221261008495
"WT3",0.318193460257833,0.296024763766699,0.37712876326195,0.364745011086475,0.419989203362381,0.348552428837888,0.265898350053893,0.29199312858759,0.29568327372536,0.276890756302521,0.239917479066381,0.288729118206809,0.270890288838702,0.297885718777018,0,0.263483891726662,0.298180672599827,0.250933593115766
"WT4",0.325568729314173,0.29377875575115,0.357885015008081,0.357329078952488,0.417219547332904,0.34052977494523,0.324160390799919,0.338955162484574,0.306954142676304,0.29068184630615,0.27173740263869,0.331036200597808,0.292111206292345,0.285024527791726,0.263483891726662,0,0.315942253357588,0.281709797041349
"WT5",0.340491803278688,0.347567186398182,0.370290756872949,0.354250857796416,0.38821168425747,0.348884381338742,0.364281160344278,0.350026166418421,0.321822541966427,0.319609267780738,0.276357267950963,0.361306308135993,0.268836073703887,0.284557153671461,0.298180672599827,0.315942253357588,0,0.284420148379539
"WT6",0.302343287369935,0.301679586563308,0.34034706316239,0.336133793969849,0.386539196940727,0.342632044376558,0.2997781247432,0.295353568907528,0.284065617014261,0.277564956695536,0.25363917071019,0.322325133062319,0.271027303083874,0.31221261008495,0.250933593115766,0.281709797041349,0.284420148379539,0
