"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"KO1",0,0.116655040490163,0.156166189529439,0.139111606070724,0.182680644036707,0.14955345352673,0.124836032925491,0.124016926339258,0.114970714955442,0.137257084211609,0.119853101737076,0.127088199697031,0.128497842071708,0.136578442293997,0.125372016863354,0.127215277040597,0.13469281347309,0.111528717924447
"KO2",0.116655040490163,0,0.151448911432687,0.144962917614229,0.171952067639345,0.14225475110251,0.113499468878786,0.105993452447416,0.105878304408708,0.139131245939522,0.112538462602007,0.108493421552176,0.110269621727845,0.123435273746093,0.113144847731779,0.107367343250216,0.128839522576559,0.109561482798581
"KO3",0.156166189529439,0.151448911432687,0,0.17573399588093,0.165587469349044,0.155594168394073,0.160490459057115,0.152886215854239,0.144752255993623,0.167966608612974,0.136925204983565,0.155216266918303,0.14884637227368,0.147067739283532,0.156984895497493,0.153532421164428,0.152268578135799,0.15772100436274
"KO4",0.139111606070724,0.144962917614229,0.17573399588093,0,0.181835837238082,0.159130259685248,0.163708946415381,0.157608969096514,0.159822862599761,0.148639989999384,0.148493558838748,0.158150318552442,0.154144662227182,0.159067825428515,0.152303932149786,0.158401483433171,0.164063931792225,0.151068235013501
"KO5",0.182680644036707,0.171952067639345,0.165587469349044,0.181835837238082,0,0.168112867122683,0.167047880806071,0.170208629022863,0.172626835792697,0.142374459036333,0.157158095417223,0.187969914381645,0.166897912591074,0.159350998825923,0.172625892406615,0.17370040796157,0.182500569910568,0.153646881331108
"KO6",0.14955345352673,0.14225475110251,0.155594168394073,0.159130259685248,0.168112867122683,0,0.141301794577552,0.140506828827395,0.154330568734994,0.142287112951316,0.131995002938561,0.159900330228711,0.148995574797853,0.137935962116444,0.133241700647246,0.142525045033512,0.146052101251642,0.124876924558077
"OE1",0.124836032925491,0.113499468878786,0.160490459057115,0.163708946415381,0.167047880806071,0.141301794577552,0,0.0921127233819712,0.101058938025522,0.107499338240182,0.0959788786074913,0.104782299907437,0.116123122713966,0.113987334369244,0.0850143376067424,0.110267997257722,0.116319639164082,0.0920030753420192
"OE2",0.124016926339258,0.105993452447416,0.152886215854239,0.157608969096514,0.170208629022863,0.140506828827395,0.0921127233819712,0,0.101913654685127,0.116603693132588,0.0871480537979481,0.106994585550375,0.0965966510162806,0.115874666571652,0.0943775144733542,0.0997395009115196,0.112884241583084,0.104519627588159
"OE3",0.114970714955442,0.105878304408708,0.144752255993623,0.159822862599761,0.172626835792697,0.154330568734994,0.101058938025522,0.101913654685127,0,0.125691282813471,0.107451538075986,0.109087568329399,0.108189015040451,0.121462980334367,0.110318647018636,0.111836028795881,0.115672800393444,0.112405043588974
"OE4",0.137257084211609,0.139131245939522,0.167966608612974,0.148639989999384,0.142374459036333,0.142287112951316,0.107499338240182,0.116603693132588,0.125691282813471,0,0.116397097323263,0.137888218156692,0.132685009736251,0.116103236397141,0.105545792666033,0.121403995437427,0.143454195764769,0.110964732823318
"OE5",0.119853101737076,0.112538462602007,0.136925204983565,0.148493558838748,0.157158095417223,0.131995002938561,0.0959788786074913,0.0871480537979481,0.107451538075986,0.116397097323263,0,0.0944813969644682,0.110128239618107,0.1140092016562,0.101668801500235,0.100344815890646,0.106611130323909,0.0940767404958647
"OE6",0.127088199697031,0.108493421552176,0.155216266918303,0.158150318552442,0.187969914381645,0.159900330228711,0.104782299907437,0.106994585550375,0.109087568329399,0.137888218156692,0.0944813969644682,0,0.108476929445902,0.122962152488698,0.102694336839477,0.101939278882518,0.122036662425434,0.115973257722995
"WT1",0.128497842071708,0.110269621727845,0.14884637227368,0.154144662227182,0.166897912591074,0.148995574797853,0.116123122713966,0.0965966510162806,0.108189015040451,0.132685009736251,0.110128239618107,0.108476929445902,0,0.111371278311452,0.110436576957573,0.115894179625527,0.111968833595349,0.122871944317653
"WT2",0.136578442293997,0.123435273746093,0.147067739283532,0.159067825428515,0.159350998825923,0.137935962116444,0.113987334369244,0.115874666571652,0.121462980334367,0.116103236397141,0.1140092016562,0.122962152488698,0.111371278311452,0,0.107206963506731,0.120671884009677,0.118586693441409,0.106664870383237
"WT3",0.125372016863354,0.113144847731779,0.156984895497493,0.152303932149786,0.172625892406615,0.133241700647246,0.0850143376067424,0.0943775144733542,0.110318647018636,0.105545792666033,0.101668801500235,0.102694336839477,0.110436576957573,0.107206963506731,0,0.106327267278078,0.115651138855932,0.0954132183803021
"WT4",0.127215277040597,0.107367343250216,0.153532421164428,0.158401483433171,0.17370040796157,0.142525045033512,0.110267997257722,0.0997395009115196,0.111836028795881,0.121403995437427,0.100344815890646,0.101939278882518,0.115894179625527,0.120671884009677,0.106327267278078,0,0.119227588180986,0.106125847168871
"WT5",0.13469281347309,0.128839522576559,0.152268578135799,0.164063931792225,0.182500569910568,0.146052101251642,0.116319639164082,0.112884241583084,0.115672800393444,0.143454195764769,0.106611130323909,0.122036662425434,0.111968833595349,0.118586693441409,0.115651138855932,0.119227588180986,0,0.122266737705327
"WT6",0.111528717924447,0.109561482798581,0.15772100436274,0.151068235013501,0.153646881331108,0.124876924558077,0.0920030753420192,0.104519627588159,0.112405043588974,0.110964732823318,0.0940767404958647,0.115973257722995,0.122871944317653,0.106664870383237,0.0954132183803021,0.106125847168871,0.122266737705327,0
