"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria",0.346112696148359,0.226381461675579,0.29123228080702,0.32592365476008,0.422690177790732,0.356408609058786,0.206766286098052,0.177318349489577,0.256252112200068,0.269456427955134,0.243705539125569,0.216265850459117,0.265177680558754,0.336733152009671,0.258968058968059,0.268394847071841,0.27563713592233,0.262675036214389
"k__Bacteria|p__Actinobacteria|c__Actinobacteria",0.245007132667618,0.371900826446281,0.26145653641341,0.265598650927487,0.160011658408627,0.214985544490845,0.242276695768972,0.308827314060221,0.307789793849273,0.257894736842105,0.269522819918472,0.241888937472672,0.321206539258577,0.267830160169235,0.289352989352989,0.317948312653126,0.307493932038835,0.290680830516659
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria",0.166458630527817,0.157591962404797,0.208355208880222,0.182814655833206,0.205625182162635,0.195229681978799,0.170920080591001,0.144290983958137,0.110425819533626,0.136755823986195,0.15826073055711,0.162046348928728,0.11244147670581,0.128890903596253,0.136527436527437,0.146131352248479,0.139108009708738,0.147030420086915
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria",0.0647289586305278,0.0545292497164155,0.0564764119102978,0.0595584853594972,0.058874963567473,0.0633633151300996,0.0831934184016118,0.0742901261044866,0.0696181142277797,0.0801553062985332,0.0832867076972264,0.0878006121556624,0.050042213523678,0.057116953762466,0.0715806715806716,0.0701809847467004,0.0629550970873786,0.0813616610333172
"k__Bacteria|p__Unassigned|c__Unassigned",0.0376248216833096,0.0445632798573975,0.024825620640516,0.0295109612141653,0.029146021568056,0.0314005782203662,0.0790799194089993,0.0742043407394698,0.0554241297735722,0.045297670405522,0.0797698025737351,0.0789680804547442,0.0719164939749789,0.0553037171350861,0.0677313677313677,0.0545325219315577,0.0644720873786408,0.0410429744084983
"k__Bacteria|p__Proteobacteria|c__Unassigned",0.0444008559201141,0.0407551450332199,0.0324758118952974,0.0299708722980224,0.0330078694258234,0.0576614198522326,0.0540631296171927,0.0386891996225444,0.0375126732004055,0.0477135461604832,0.0470785708576453,0.0513336248360297,0.0425205311228797,0.0428377153218495,0.0564291564291564,0.0395953528807397,0.0393658980582524,0.0520682440045067
"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia",0.0158701854493581,0.0173391670717874,0.0693767344183605,0.0241453319024988,0.0424803264354416,0.018390619980726,0.0141873740765615,0.0651968774127134,0.0626056100033795,0.0467644521138913,0.0192630485173048,0.0195015303891561,0.0348453449996162,0.0401178603807797,0.0264537264537265,0.0188888010748439,0.0344356796116505,0.0421696442942218
"k__Bacteria|p__Firmicutes|c__Bacilli",0.0144436519258203,0.0147463944255388,0.0121503037575939,0.0327303388011651,0.00568347420577091,0.0154192097654995,0.0469274680993956,0.0253924680449515,0.0225582967218655,0.0270060396893874,0.0155862840700184,0.0462614779186707,0.00713792309463504,0.00513750377757631,0.0100737100737101,0.00916778629574014,0.00515776699029126,0.00901335908578786
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria",0.0170292439372325,0.0131259115216334,0.0124503112577814,0.0143338954468803,0.0111483532497814,0.0120462576292965,0.0201477501678979,0.012610448657459,0.0152923284893545,0.0157894736842105,0.0167852289984813,0.0178399650196764,0.0137385831606416,0.0151103052281656,0.016953316953317,0.0138307120840907,0.014942354368932,0.0150490906164494
"k__Bacteria|p__Actinobacteria|c__Unassigned",0.00740014265335235,0.0124777183600713,0.00675016875421886,0.00904491798252338,0.00517341882832993,0.00795053003533569,0.0130960376091336,0.0144977266878271,0.00904021628928692,0.011993097497843,0.0116697306370394,0.0143419326628771,0.0124338015196869,0.00906618313689937,0.0107289107289107,0.00916778629574014,0.00986043689320388,0.00981812328987607
