euclidean	KO1	KO2	OE1	OE2	OE5	OE6	WT6	OE4	OE3	WT3	WT1	WT4	KO6	WT2	WT5	KO4	KO3	KO5
KO1	0	17.7	17.9	17.8	18.3	17.8	17.8	17.6	18.4	18.2	18.8	18.5	19.1	19.8	19.8	20.2	20.4	20.6
KO2	17.7	0	17.5	17.7	18.0	17.4	17.3	18.1	18.1	18.1	18.5	18.7	18.5	19.0	19.5	19.2	19.8	20.7
OE1	17.9	17.5	0	17.1	17.2	16.0	17.1	16.7	17.7	17.4	18.2	18.2	19.1	19.7	19.2	20.7	21.0	22.0
OE2	17.8	17.7	17.1	0	15.8	16.0	17.5	17.1	17.5	16.9	17.5	17.6	19.0	18.8	18.7	19.9	20.5	20.5
OE5	18.3	18.0	17.2	15.8	0	15.8	16.7	17.2	17.8	17.0	17.7	17.6	18.2	18.5	18.6	19.6	20.2	20.2
OE6	17.8	17.4	16.0	16.0	15.8	0	17.2	16.9	16.8	16.9	17.1	17.7	19.0	18.9	19.0	19.9	20.1	21.1
WT6	17.8	17.3	17.1	17.5	16.7	17.2	0	17.3	18.6	17.0	18.2	18.2	18.8	19.1	19.1	19.8	20.4	21.0
OE4	17.6	18.1	16.7	17.1	17.2	16.9	17.3	0	17.3	17.6	18.2	18.0	19.1	19.3	18.8	19.7	20.5	21.1
OE3	18.4	18.1	17.7	17.5	17.8	16.8	18.6	17.3	0	18.1	18.3	18.9	19.5	19.4	19.3	20.3	21.1	21.6
WT3	18.2	18.1	17.4	16.9	17.0	16.9	17.0	17.6	18.1	0	17.7	17.9	19.2	19.0	19.2	19.5	20.3	21.9
WT1	18.8	18.5	18.2	17.5	17.7	17.1	18.2	18.2	18.3	17.7	0	18.5	19.9	19.0	18.8	20.0	20.8	21.4
WT4	18.5	18.7	18.2	17.6	17.6	17.7	18.2	18.0	18.9	17.9	18.5	0	19.1	18.9	19.3	19.8	20.4	20.9
KO6	19.1	18.5	19.1	19.0	18.2	19.0	18.8	19.1	19.5	19.2	19.9	19.1	0	20.0	19.5	19.3	20.4	20.2
WT2	19.8	19.0	19.7	18.8	18.5	18.9	19.1	19.3	19.4	19.0	19.0	18.9	20.0	0	19.2	20.2	21.0	20.7
WT5	19.8	19.5	19.2	18.7	18.6	19.0	19.1	18.8	19.3	19.2	18.8	19.3	19.5	19.2	0	20.3	20.7	20.9
KO4	20.2	19.2	20.7	19.9	19.6	19.9	19.8	19.7	20.3	19.5	20.0	19.8	19.3	20.2	20.3	0	20.3	21.2
KO3	20.4	19.8	21.0	20.5	20.2	20.1	20.4	20.5	21.1	20.3	20.8	20.4	20.4	21.0	20.7	20.3	0	20.3
KO5	20.6	20.7	22.0	20.5	20.2	21.1	21.0	21.1	21.6	21.9	21.4	20.9	20.2	20.7	20.9	21.2	20.3	0
