unifrac	KO1	KO6	KO4	WT2	OE1	OE6	OE5	WT3	WT6	WT4	WT1	WT5	OE4	OE3	KO2	KO3	OE2	KO5
KO1	0	0.0922	0.112	0.107	0.169	0.156	0.123	0.130	0.131	0.137	0.159	0.139	0.137	0.173	0.159	0.166	0.218	0.201
KO6	0.0922	0	0.103	0.141	0.222	0.210	0.171	0.194	0.188	0.189	0.213	0.181	0.190	0.235	0.210	0.150	0.273	0.159
KO4	0.112	0.103	0	0.143	0.210	0.204	0.149	0.160	0.152	0.147	0.164	0.135	0.181	0.212	0.191	0.128	0.231	0.177
WT2	0.107	0.141	0.143	0	0.227	0.208	0.163	0.152	0.140	0.139	0.137	0.126	0.138	0.165	0.216	0.178	0.222	0.182
OE1	0.169	0.222	0.210	0.227	0	0.0829	0.130	0.139	0.155	0.179	0.214	0.208	0.160	0.199	0.170	0.240	0.177	0.331
OE6	0.156	0.210	0.204	0.208	0.0829	0	0.0991	0.123	0.131	0.158	0.194	0.176	0.142	0.178	0.153	0.222	0.153	0.312
OE5	0.123	0.171	0.149	0.163	0.130	0.0991	0	0.0756	0.0732	0.0954	0.129	0.111	0.123	0.147	0.126	0.159	0.142	0.269
WT3	0.130	0.194	0.160	0.152	0.139	0.123	0.0756	0	0.0611	0.09	0.103	0.115	0.108	0.132	0.132	0.164	0.154	0.286
WT6	0.131	0.188	0.152	0.140	0.155	0.131	0.0732	0.0611	0	0.0969	0.108	0.0974	0.113	0.129	0.143	0.135	0.143	0.258
WT4	0.137	0.189	0.147	0.139	0.179	0.158	0.0954	0.09	0.0969	0	0.115	0.106	0.127	0.133	0.155	0.162	0.185	0.274
WT1	0.159	0.213	0.164	0.137	0.214	0.194	0.129	0.103	0.108	0.115	0	0.0878	0.122	0.141	0.150	0.161	0.158	0.277
WT5	0.139	0.181	0.135	0.126	0.208	0.176	0.111	0.115	0.0974	0.106	0.0878	0	0.128	0.153	0.149	0.127	0.165	0.238
OE4	0.137	0.190	0.181	0.138	0.160	0.142	0.123	0.108	0.113	0.127	0.122	0.128	0	0.108	0.176	0.181	0.149	0.265
OE3	0.173	0.235	0.212	0.165	0.199	0.178	0.147	0.132	0.129	0.133	0.141	0.153	0.108	0	0.206	0.186	0.173	0.299
KO2	0.159	0.210	0.191	0.216	0.170	0.153	0.126	0.132	0.143	0.155	0.150	0.149	0.176	0.206	0	0.197	0.155	0.329
KO3	0.166	0.150	0.128	0.178	0.240	0.222	0.159	0.164	0.135	0.162	0.161	0.127	0.181	0.186	0.197	0	0.198	0.205
OE2	0.218	0.273	0.231	0.222	0.177	0.153	0.142	0.154	0.143	0.185	0.158	0.165	0.149	0.173	0.155	0.198	0	0.341
KO5	0.201	0.159	0.177	0.182	0.331	0.312	0.269	0.286	0.258	0.274	0.277	0.238	0.265	0.299	0.329	0.205	0.341	0
