	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
57759	20.25	10.75	103.5	35.75	109	19.5	11.75	109.25	71.75	43.75	15.75	19	64.5	77.5	46.5	20.25	49.75	68.75
810167	477	136	194	258	494	184	206	199	140	206	216	132	356	473	194	199	395	292
546343	0.75	0.5	1	0	0	2	1.25	0.5	0	0.5	0	1.25	0	0	0.75	0	0	0.5
48487	45	49	32.3333333333333	29.6666666666667	4.33333333333333	101.666666666667	36.3333333333333	24.6666666666667	30.3333333333333	58	25.6666666666667	30.6666666666667	42.3333333333333	13	33.3333333333333	32.6666666666667	17.6666666666667	21
940737	217	138.333333333333	291.666666666667	258.333333333333	358.333333333333	210.333333333333	85.3333333333333	56	138	145.666666666667	117.666666666667	79.3333333333333	148.666666666667	187.333333333333	88.3333333333333	127.666666666667	170	146
1134692	108.666666666667	90	121	122.333333333333	200.333333333333	138.333333333333	36.3333333333333	43	48.3333333333333	55	56	54.3333333333333	66.3333333333333	85	59.3333333333333	75.6666666666667	63.3333333333333	66.3333333333333
827300	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
816587	9	13	7	12	6	9.5	11	13.5	10	11.5	19.5	18	10.5	7.5	12.5	12	10.5	12
590960	27.5	16	12.5	20.5	13.5	32.5	12.5	16.5	17.5	24	25	24.5	10.5	29	23	55	32	18
694269	22	57.5	36.5	22	19	24	37	33.5	29	27	38	34.5	35.5	54.5	32	46	70.5	34
547806	47	103.25	49	46.5	40.75	58	44.25	42.25	38	57.5	73	42.25	74.5	72.75	75.75	50	61.5	51.5
688259	38.3333333333333	39	29.6666666666667	47	10.3333333333333	45	32.3333333333333	50.6666666666667	42.3333333333333	35.6666666666667	43.3333333333333	31	46	37.6666666666667	40	33.6666666666667	52.6666666666667	34.3333333333333
1068902	7.5	13	22	10.5	10.5	9	3.5	5.5	6	5.5	7	5.5	7	6.5	7	7.5	4	6.5
240452	16.6666666666667	18.6666666666667	24	21.3333333333333	21.6666666666667	18	16	9	17	22.3333333333333	20	18	20	22.3333333333333	21.6666666666667	24.6666666666667	22.3333333333333	27.3333333333333
558740	7.5	9.75	10	8	9	7.5	8.5	8.5	3.75	6	11.75	5.75	6.25	6.75	7.75	6.5	9.25	8
254401	33.5	34	48.5	32	49	45	22	17	11	18	29	23.5	27	30	20.5	25	26.5	30.5
578786	4.6	4.3	1.5	2.8	1.4	5	18.1	7.4	9.9	11.8	5.5	20.3	2.2	1.1	2.6	1.4	0.9	2.4
2200131	32.6666666666667	45.3333333333333	30	42.3333333333333	60.3333333333333	41.6666666666667	56.3333333333333	44	26.6666666666667	50	40.3333333333333	19.3333333333333	45.6666666666667	56.6666666666667	57.6666666666667	46.3333333333333	32	44.6666666666667
674370	1	0	0	1	2.5	0	0	0	0	1	0	1.5	0	0	0	0	0	0
1125991	1.33333333333333	1.33333333333333	0	0	0	0	1	1	0	0.666666666666667	1	0.666666666666667	0	0.666666666666667	1	0	0	0
