Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned|Acidobacterium|ailaaui	1	4	1	1	0	1	4	2	5	2	2	0	0	2	3	0	1	1
Bacteria|Acidobacteria|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	5	6	2	3	8	4	4	10	3	3	1	7	1	3	49	1	0	4
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae|Vicinamibacter|silvestris	2	7	1	1	1	2	26	9	10	6	22	28	15	5	15	10	4	6
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae|Acidiferrimicrobium|australe	1	5	2	7	7	5	11	4	3	10	4	4	3	10	8	10	9	3
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae|Actinomarinicola|tropica	46	57	65	39	40	53	89	84	60	57	76	78	66	62	81	51	58	52
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae|Desertimonas|flava	16	16	13	12	12	12	37	11	14	18	25	32	16	17	13	16	12	13
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Unassigned|Unassigned|Unassigned	0	2	1	0	0	0	3	1	3	2	3	2	0	5	2	0	2	4
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales|Cryptosporangiaceae|Cryptosporangium|cibodasense	1	0	1	0	0	5	0	1	0	1	1	4	1	0	0	3	5	1
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales|Cryptosporangiaceae|Cryptosporangium|phraense	8	22	7	4	2	4	6	9	5	14	6	6	13	6	5	11	7	5
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Frankia|inefficax	1	0	0	2	0	0	2	2	2	3	3	2	1	0	0	2	0	1
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Frankia|Unassigned	2	8	4	2	2	3	5	7	2	2	4	4	4	3	6	6	3	1
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae|Blastococcus|capsensis	5	25	12	9	3	9	14	21	9	9	9	32	7	3	10	14	17	6
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae|Geodermatophilus|Unassigned	3	4	0	0	1	4	5	7	4	1	3	6	1	2	5	7	5	3
Bacteria|Actinobacteria|Actinobacteria|Glycomycetales|Glycomycetaceae|Glycomyces|luteolus	8	17	6	3	5	7	1	2	8	0	2	2	7	4	3	6	8	2
Bacteria|Actinobacteria|Actinobacteria|Glycomycetales|Glycomycetaceae|Glycomyces|Unassigned	0	2	3	1	0	1	1	1	1	3	0	2	2	1	0	1	0	2
Bacteria|Actinobacteria|Actinobacteria|Kineosporiales|Kineosporiaceae|Thalassiella|azotivora	5	2	3	3	0	3	5	5	1	2	0	3	2	1	5	1	4	3
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Cellulomonadaceae|Cellulomonas|massiliensis	7	1	0	3	0	5	14	4	5	4	7	3	1	2	9	2	6	13
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Dermacoccaceae|Yimella|radicis	5	13	3	6	6	1	9	1	5	5	6	8	5	6	2	4	5	3
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae|Intrasporangium|flavum	2	9	7	2	2	2	0	2	2	1	0	3	1	2	2	5	0	1
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae|Oryzihumus|soli	39	101	45	92	17	30	82	60	63	84	71	51	137	135	100	94	109	68
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Agromyces|aureus	10	36	16	24	22	10	26	16	18	27	18	27	19	18	25	15	19	25
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Agromyces|badenianii	1	1	1	1	1	1	1	1	1	3	2	1	1	2	0	0	6	2
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Agromyces|binzhouensis	50	85	75	71	34	47	53	67	48	47	58	42	48	31	70	69	46	75
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Agromyces|protaetiae	0	2	1	0	0	0	2	6	1	3	1	4	1	1	3	0	2	5
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Agromyces|tardus	1	5	0	2	0	0	1	0	0	3	3	0	2	1	2	0	0	1
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Agromyces|Unassigned	8	15	8	7	10	6	5	23	15	9	15	12	13	17	9	14	8	6
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Cryobacterium|breve	1	0	0	0	0	3	5	5	7	1	20	0	2	0	2	3	2	1
