OTUID	All	KO	OE	WT
ASV_2	4.157186	5.993627	2.840008	3.637922
ASV_3	2.815491	2.443700	2.541840	3.460932
ASV_4	2.268451	2.419417	1.669449	2.716488
ASV_8	1.900013	1.288442	2.386258	2.025340
ASV_6	1.776755	2.741275	1.121285	1.467707
ASV_7	1.712258	1.573493	1.691415	1.871865
ASV_18	1.598161	1.478126	1.512931	1.803426
ASV_9	1.465458	1.337605	1.535148	1.523620
ASV_10	1.27249	1.8117819	0.8683785	1.1373096
ASV_11	1.144918	1.079858	1.109918	1.244979
ASV_14	1.120092	0.9227938	1.1827963	1.2546850
ASV_12	1.080546	1.0719381	0.9138998	1.2557998
ASV_15	1.050797	1.1125530	1.0803067	0.9595324
ASV_13	1.029494	0.7001743	1.3763818	1.0119250
ASV_16	0.997988	0.7727531	0.9635121	1.2577002
ASV_17	0.926616	1.2742896	0.6083535	0.8972053
ASV_28	0.844423	0.7620408	0.7274914	1.0437360
ASV_20	0.751489	0.6434782	0.3838798	1.2271076
ASV_30	0.692147	0.5024472	0.7664907	0.8075040
ASV_23	0.654689	0.7175774	0.5883995	0.6580892
ASV_21	0.645331	0.5114454	0.6305557	0.7939913
ASV_1276	0.63016	0.7040675	0.6438575	0.5425556
ASV_29	0.626512	0.5675549	0.7038624	0.6081180
ASV_22	0.59145	0.9288985	0.3667753	0.4786757
ASV_113	0.586256	0.9416370	0.3859548	0.4311760
ASV_26	0.606803	0.4677541	0.6397155	0.7129381
ASV_24	0.578818	0.7748268	0.3124237	0.6492046
ASV_31	0.554326	0.6341769	0.4284526	0.6003490
ASV_27	0.562161	0.5260983	0.5929190	0.5674649
ASV_34	0.532091	0.4495465	0.5993977	0.5473289
ASV_33	0.521899	0.5272293	0.5453567	0.4931108
ASV_35	0.518371	0.3491560	0.4718825	0.7340733
ASV_36	0.50441	0.5342073	0.4080711	0.5709506
ASV_41	0.491108	0.7010359	0.3662421	0.4060473
ASV_37	0.494591	0.3173230	0.5332522	0.6331969
ASV_173	0.484838	0.4687603	0.4220300	0.5637249
ASV_38	0.478349	0.7741715	0.2664956	0.3943803
ASV_40	0.497906	0.2672124	1.0837542	0.1427524
ASV_42	0.447842	0.3947511	0.3375706	0.6112037
ASV_39	0.442397	0.4977323	0.3596935	0.4697641
