ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
Amino Acid Metabolism	0.008	16.737	0.699134199134199	0.774716274716275	NotSig	10.659	10.602	10.57	10.926	10.772	10.653	10.427	10.604	10.621	10.39	10.653	10.651	10.591	10.707
Biosynthesis of Other Secondary Metabolites	-0.047	13.24	0.24025974025974	0.378871128871129	NotSig	0.878	0.907	0.864	0.968	0.89	0.886	0.797	0.865	0.928	0.856	0.92	0.917	0.91	0.913
Cancers	0.057	10.448	0.00865800865800866	0.0253555967841682	Enriched	0.136	0.13	0.132	0.134	0.14	0.135	0.136	0.137	0.127	0.127	0.132	0.133	0.131	0.132
Carbohydrate Metabolism	0.003	16.654	0.818181818181818	0.86013986013986	NotSig	10.031	10.013	9.957	10.311	10.123	10.045	9.832	9.92	10.059	9.855	10.008	10.055	10.046	10.056
Cardiovascular Diseases	0.318	7.499	0.00216450216450216	0.0110930735930736	Enriched	0.017	0.013	0.015	0.016	0.018	0.016	0.017	0.018	0.012	0.012	0.014	0.014	0.013	0.015
Cell Communication	-0.319	3.057	0.17965367965368	0.306908369408369	NotSig	0.001	0.001	0.001	0.001	0	0	0	0.001	0.001	0	0.001	0.001	0.001	0.001
Cell Growth and Death	0.055	12.446	0.0411255411255411	0.0936748436748437	Enriched	0.541	0.521	0.532	0.517	0.555	0.538	0.558	0.549	0.51	0.523	0.526	0.523	0.518	0.528
Cell Motility	0.058	15.216	0.24025974025974	0.378871128871129	NotSig	3.469	3.332	3.543	3.033	3.311	3.495	3.806	3.625	3.236	3.581	3.298	3.306	3.251	3.318
Cellular Processes and Signaling	-0.001	15.183	0.699134199134199	0.774716274716275	NotSig	3.548	3.549	3.633	3.302	3.475	3.545	3.72	3.61	3.504	3.693	3.535	3.532	3.494	3.535
Circulatory System	0.097	9.416	0.17965367965368	0.306908369408369	NotSig	0.059	0.055	0.062	0.048	0.057	0.059	0.068	0.061	0.052	0.061	0.054	0.055	0.054	0.055
