DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	WT
LEGEND_COLORS	#000000
LEGEND_LABELS	Min. (0.1), Max. (3.6)
LEGEND_SHAPES	1
LEGEND_TITLE	WT
MARGIN	5
WIDTH	200
DATA
ASV_2	3.638329
ASV_3	3.459913
ASV_4	2.718233
ASV_8	2.025582
ASV_6	1.467879
ASV_7	1.872096
ASV_18	1.803647
ASV_9	1.523777
ASV_10	1.1374366
ASV_11	1.245135
ASV_14	1.254822
ASV_12	1.2559544
ASV_15	0.9596384
ASV_13	1.012025
ASV_16	1.2578183
ASV_17	0.8973108
ASV_28	1.0438514
ASV_20	1.2271704
ASV_30	0.8075981
ASV_23	0.6581586
ASV_21	0.7940737
ASV_1276	0.5426212
ASV_29	0.6081885
ASV_22	0.4787329
ASV_113	0.4312309
ASV_26	0.7130284
ASV_24	0.6492767
ASV_31	0.6004087
ASV_27	0.5675338
ASV_34	0.5473981
ASV_33	0.4931725
ASV_35	0.7341652
ASV_36	0.5710244
ASV_41	0.4060931
ASV_37	0.6332699
ASV_173	0.5637908
ASV_38	0.3944242
ASV_40	0.1427706
ASV_42	0.6112858
ASV_39	0.4698245
ASV_70	0.3604117
ASV_47	0.4186833
ASV_68	0.3648063
ASV_45	0.348315
ASV_44	0.4542577
ASV_54	0.4096339
ASV_52	0.4618452
ASV_46	0.3077542
ASV_43	0.6715919
ASV_48	0.4165075
ASV_51	0.4710191
ASV_50	0.3681715
ASV_53	0.4283611
ASV_49	0.1335625
ASV_55	0.2246888
ASV_58	0.2622225
ASV_62	0.2918638
ASV_67	0.2663231
ASV_56	0.4370829
ASV_63	0.1247693
ASV_61	0.2747377
ASV_59	0.26011
ASV_60	0.3299003
ASV_76	0.3259246
ASV_66	0.2862797
ASV_73	0.3617756
ASV_456	0.3628468
ASV_69	0.2363673
ASV_82	0.1971553
ASV_72	0.1843552
ASV_93	0.2007061
ASV_71	0.1928085
ASV_74	0.2193175
ASV_77	0.3203602
ASV_75	0.1994562
ASV_83	0.1969711
ASV_84	0.2690458
ASV_81	0.1780354
ASV_79	0.2394757
ASV_78	0.2800811
ASV_80	0.2550571
ASV_88	0.1240636
ASV_86	0.3074692
ASV_89	0.2318981
ASV_92	0.06723435
ASV_855	0.1522575
