DATASET_HEATMAP
SEPARATOR TAB
BORDER_WIDTH	0.5
COLOR	#fb9a99
COLOR_MAX	#1f78b4
COLOR_MIN	#e5e5e5
COLOR_NAN	#FFFFFF
DATASET_LABEL	OTUID
FIELD_LABELS	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
LEGEND_COLORS	#e5e5e5	#1f78b4
LEGEND_LABELS	Min. (0)	Max. (764)
LEGEND_SHAPES	1	1
LEGEND_TITLE	OTUID
MARGIN	5
STRIP_WIDTH	50
DATA
ASV_2	618	358	686	633	764	527	224	157	384	404	316	231	378	467	249	334	432	354
ASV_3	196	158	291	236	340	262	190	146	339	336	279	229	278	537	328	351	352	233
ASV_4	478	127	137	207	357	151	193	184	119	195	181	123	307	401	175	164	323	242
ASV_8	175	168	171	117	53	88	124	177	482	272	192	185	193	232	175	307	138	157
ASV_6	276	198	243	241	404	321	89	96	102	129	128	132	157	155	130	157	140	141
ASV_7	74	41	308	110	325	63	44	412	263	157	58	73	228	267	168	69	166	237
ASV_18	152	299	83	113	70	157	142	126	116	175	216	132	234	185	235	122	190	125
ASV_9	111	242	103	133	59	160	112	142	206	143	187	137	169	102	127	126	219	175
ASV_10	100	109	187	217	278	202	63	63	79	98	125	96	121	175	71	82	167	86
ASV_11	96	120	78	100	145	105	161	126	77	140	98	58	117	153	149	126	88	116
ASV_14	64	54	99	101	155	87	61	166	151	102	159	67	126	87	135	86	161	165
ASV_12	102	108	89	99	120	104	75	64	105	111	105	84	107	160	131	157	86	101
ASV_15	96	136	120	111	102	120	132	98	92	81	115	130	80	70	100	117	102	114
ASV_13	9	37	172	85	41	67	64	255	182	163	114	47	78	86	67	47	154	175
ASV_16	70	68	134	80	41	64	63	88	201	104	70	55	137	97	76	105	229	112
ASV_17	150	90	99	130	121	186	53	38	73	72	74	58	113	87	94	97	86	80
ASV_28	98	101	24	143	37	66	58	106	40	81	86	66	119	130	71	98	139	69
ASV_20	55	128	19	82	50	52	23	54	13	65	37	36	69	84	23	33	473	39
ASV_30	73	67	43	41	22	59	102	61	67	55	80	97	66	63	96	87	67	106
ASV_23	40	36	308	19	5	18	103	61	29	62	62	50	48	10	86	78	63	118
ASV_21	44	109	54	37	28	36	70	70	53	49	62	68	66	96	62	82	119	64
ASV_1276	61	66	77	70	64	69	81	61	44	60	57	79	47	60	68	45	50	61
ASV_29	67	47	48	92	16	78	61	81	77	74	87	57	75	63	67	57	78	37
ASV_22	58	44	140	135	109	68	36	25	43	30	33	51	37	77	34	72	35	35
ASV_113	24	26	5	337	144	8	36	59	22	57	27	32	92	13	36	36	23	61
ASV_26	59	61	44	111	13	7	63	92	94	36	55	45	121	22	47	32	4	197
ASV_24	40	133	128	31	51	93	25	29	20	39	55	15	51	62	38	152	43	37
ASV_31	38	28	93	60	98	61	46	55	24	50	56	28	49	64	26	56	91	53
ASV_27	55	73	52	33	39	63	99	46	48	35	57	75	58	49	67	63	39	69
ASV_34	71	46	48	38	21	49	76	51	44	59	53	82	57	56	76	40	38	62
ASV_33	60	31	38	57	64	78	52	35	65	99	48	35	52	63	57	43	35	47
ASV_35	28	70	29	60	9	16	55	34	43	66	48	33	87	102	75	71	70	39
ASV_36	51	25	25	68	48	94	22	14	88	56	33	28	75	106	43	49	47	31
ASV_41	64	52	54	73	112	67	29	43	40	37	41	32	24	55	32	50	32	49
ASV_37	42	27	33	20	36	30	70	42	41	41	60	70	41	61	90	58	58	75
ASV_173	32	36	50	42	63	50	29	30	47	48	57	45	43	51	59	66	48	61
ASV_38	85	50	50	83	87	116	16	13	37	19	42	32	40	45	30	40	46	38
ASV_40	37	37	15	14	12	35	163	70	97	89	36	187	19	7	23	12	6	22
ASV_42	43	17	18	68	36	58	11	10	63	45	27	41	59	169	19	40	40	26
ASV_39	31	75	81	32	53	34	25	45	30	37	53	31	32	67	54	67	13	50
ASV_70	29	31	86	45	106	52	27	44	10	44	59	31	30	16	25	37	78	32
ASV_47	46	41	48	47	53	63	38	36	41	31	43	33	35	40	46	48	37	51
