"",SampleType,samples,variable,value,se
"1",KO,KO1,Chao1,1432.85714285714,22.9741810443151
"2",KO,KO2,Chao1,1369.70469798658,13.9740274033389
"3",KO,KO3,Chao1,1286.55371900826,23.2016205782854
"4",KO,KO4,Chao1,1242.39007092199,17.4217749416857
"5",KO,KO5,Chao1,1186.43918918919,20.9404216255663
"6",KO,KO6,Chao1,1344.47482014389,17.4901668739195
"7",OE,OE1,Chao1,1439.3768115942,8.41264373513473
"8",OE,OE2,Chao1,1446.69465648855,12.9869660813403
"9",OE,OE3,Chao1,1444.67073170732,15.8565347677483
"10",OE,OE4,Chao1,1391.33757961783,13.6080629166809
"11",OE,OE5,Chao1,1409.59285714286,12.9666258523663
"12",OE,OE6,Chao1,1480.50862068966,14.5204833655707
"13",WT,WT1,Chao1,1409.62352941176,16.3239174644276
"14",WT,WT2,Chao1,1330.61151079137,22.4415009008144
"15",WT,WT3,Chao1,1426.20666666667,12.0534164721855
"16",WT,WT4,Chao1,1409.71428571429,15.9327525178957
"17",WT,WT5,Chao1,1341.27516778524,19.2851377704664
"18",WT,WT6,Chao1,1432.01863354037,13.16879026456
