sample,no.singleton,no.seqs,goods
KO1,151,28795,99.4756034033686
KO2,135,28795,99.5311686056607
KO3,167,28795,99.4200382010766
KO4,152,28795,99.4721305782254
KO5,178,28795,99.3818371245008
KO6,151,28795,99.4756034033686
OE1,89,28795,99.6909185622504
OE2,118,28795,99.590206633096
OE3,157,28795,99.4547664525091
OE4,137,28795,99.5242229553742
OE5,123,28795,99.5728425073798
OE6,118,28795,99.590206633096
WT1,164,28795,99.4304566765063
WT2,179,28795,99.3783642993575
WT3,122,28795,99.576315332523
WT4,160,28795,99.4443479770793
WT5,169,28795,99.4130925507901
WT6,136,28795,99.5276957805175
