"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Unassigned|s__Unassigned",0.0855920114122682,0.065872630043753,0.0837020925523138,0.0866932393070673,0.115418245409502,0.097414070028911,0.0490261920752183,0.0505275799948529,0.0670834741466712,0.060655737704918,0.0706578211174167,0.0526453869698295,0.0633970373781564,0.0710184345723784,0.0730548730548731,0.0727890618825575,0.0692506067961165,0.0699340093352648
"k__Bacteria|p__Unassigned|c__Unassigned|o__Unassigned|f__Unassigned|g__Unassigned|s__Unassigned",0.0376248216833096,0.0445632798573975,0.024825620640516,0.0295109612141653,0.029146021568056,0.0314005782203662,0.0790799194089993,0.0742043407394698,0.0554241297735722,0.045297670405522,0.0797698025737351,0.0789680804547442,0.0719164939749789,0.0553037171350861,0.0677313677313677,0.0545325219315577,0.0644720873786408,0.0410429744084983
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Rhizobacter|s__Unassigned",0.066422967189729,0.026575919624048,0.0420010500262507,0.0433082937298789,0.0768726318857476,0.0405557340186315,0.0373572867696441,0.0331131508964571,0.0442717134166948,0.0514236410698878,0.043721525057949,0.0332313073895934,0.0544938214751708,0.0851465699607132,0.047993447993448,0.0497115308622461,0.063182645631068,0.0478029937228392
"k__Bacteria|p__Proteobacteria|c__Unassigned|o__Unassigned|f__Unassigned|g__Unassigned|s__Unassigned",0.0444008559201141,0.0407551450332199,0.0324758118952974,0.0299708722980224,0.0330078694258234,0.0576614198522326,0.0540631296171927,0.0386891996225444,0.0375126732004055,0.0477135461604832,0.0470785708576453,0.0513336248360297,0.0425205311228797,0.0428377153218495,0.0564291564291564,0.0395953528807397,0.0393658980582524,0.0520682440045067
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Thermomonosporaceae|g__Unassigned|s__Unassigned",0.0328102710413695,0.0539620807000486,0.0208505212630316,0.0339567683581174,0.0279801807053337,0.0311596530677803,0.0405473472128946,0.0509565068199365,0.0419905373436972,0.0313201035375324,0.039645112301175,0.0317446436379537,0.0616317445698058,0.0639165911151405,0.0461916461916462,0.05334703232435,0.0411104368932039,0.0418477386125865
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Aquincola|s__Unassigned",0.0626783166904422,0.0345162858531842,0.0674266856671417,0.0623179518626399,0.0805887496356747,0.0534050754898811,0.0224983210208193,0.0152697949729776,0.036752281176073,0.0394305435720449,0.030453201182959,0.0220376038478356,0.035305856167012,0.0463130855243276,0.0236691236691237,0.0317711214731684,0.0411104368932039,0.036697247706422
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Unassigned",0.0322753209700428,0.0294927888510776,0.0327758193954849,0.022995554192856,0.0118770037889828,0.0190330870542885,0.0244291470785762,0.0356009264819422,0.0835586346738763,0.0495254529767041,0.0301334825353689,0.0313073895933537,0.0414460050656228,0.0349803566032034,0.0332514332514333,0.0628309491820122,0.0436134708737864,0.0340415258329309
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Unassigned|f__Unassigned|g__Unassigned|s__Unassigned",0.0357524964336662,0.0311942959001783,0.0270756768919223,0.026674842863713,0.0192363742349169,0.0257789913266945,0.0450805910006716,0.0298533070258214,0.0365833051706658,0.0319240724762727,0.0366877148109664,0.0417140358548317,0.0283214367948423,0.0298428528256271,0.0392301392301392,0.0369872757448826,0.0290503640776699,0.0421696442942218
"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Unassigned",0.0153352353780314,0.0167719980554205,0.0687767194179855,0.0236854208186417,0.0419702710580006,0.0180693864439447,0.0133478844862324,0.063738526207429,0.0608313619466036,0.0449525452976704,0.0182239629126369,0.0182772190642763,0.0340778263872899,0.0386068298579631,0.0248157248157248,0.0151742669722595,0.0330703883495146,0.0416063093513601
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Lentzea|s__Unassigned",0.0278174037089872,0.0563117809107114,0.0300007500187505,0.0223823394143799,0.0230253570387642,0.0273851590106007,0.0235057085292142,0.0234194046495668,0.0205305846569787,0.0258843830888697,0.0338901766445528,0.0264975951027547,0.0390666973674112,0.030296161982472,0.0382473382473382,0.0347743618114281,0.027002427184466,0.0267986479961371
