OTUs	C_sw_41	C_mw_42	C_sw_44	M_mw_45	C_sw_47	M_mw_48	M_bw_49	M_sw_50	M_mw_51	M_sw_53	M_mw_54	M_bw_55	M_sw_56	M_mw_57	M_bw_58	M_sw_59	M_mw_60	M_sw_62	M_mw_63	M_bw_64	M_sw_65	M_mw_66	M_bw_67	M_sw_68	M_mw_69	M_bw_70	T_sw_71	M_mw_72	KS_bw_73	M_sw_74	M_mw_75	M_bw_76	M_sw_77	M_mw_78	T_sw_80	T_mw_81	T_sw_83	T_mw_84	M_bw_85	T_sw_86	T_mw_87	KS_bw_88	T_sw_89	T_mw_90	KS_bw_91	C_sw_92	C_mw_93	M_bw_94	M_sw_95	M_mw_96	KS_bw_97	T_sw_98	T_mw_99	M_bw_100	T_sw_101	T_mw_102	KS_bw_103	T_sw_104	T_mw_105	KS_bw_106	M_sw_107	M_mw_108	M_bw_109	T_sw_110	T_mw_111	KS_bw_112	T_sw_113	T_mw_114	KS_bw_115	T_sw_116	KS_mw_117	KS_bw_118	C_sw_119	C_mw_120	M_sw_122	M_mw_123	M_bw_124	M_sw_125	M_mw_126	KS_bw_127	T_sw_128	KS_mw_129	KS_bw_130	M_sw_131	M_mw_132	M_sw_134	M_mw_135	T_bw_136	M_sw_137	M_mw_138	T_bw_139	T_sw_140	KS_mw_141	KS_bw_142	T_sw_143	KS_mw_144	KS_bw_145	T_sw_146	KS_mw_147	KS_bw_148
OTU_26404	0	0	0	1	0	0	88	0	53	0	0	4025	0	0	0	1	1	0	1	2017	0	0	0	0	1	0	7607	16239	8448	4667	214	7904	9053	32258	6405	33797	12273	34433	28260	2371	8496	1254	4332	13821	31268	504	2461	37606	1487	10845	1286	1139	2149	14425	1275	5495	24836	2697	9820	27133	22869	15262	34665	807	7675	37246	2820	5717	33525	350	2580	26770	2502	6818	0	10162	18092	6781	9591	1322	616	6456	23730	4935	2056	16815	6424	33395	1331	4040	6017	1008	4085	11467	4978	1684	10190	6119	11211	24126
OTU_26246	6436	3637	1563	6931	1838	2000	14	1220	6	694	1167	505	411	1790	3227	7852	15610	148	4578	245	2674	5384	3470	1058	10303	7071	22383	2029	1513	1106	76	1174	1164	1512	993	4942	1332	3951	5304	213	1113	134	770	960	5310	130	371	6899	258	1240	209	120	159	1194	118	377	2338	188	693	3666	2759	985	7813	95	2620	5497	302	619	6751	38	291	3188	424	1008	0	1259	2351	681	571	215	85	968	2517	489	760	2017	416	4124	117	282	664	67	472	989	396	198	1788	414	1017	1463
OTU_18330	354	425	15	1064	50	4801	15	130	123	52	101	311	39	75	119	76	174	37	518	7189	1066	3604	119	73	4270	42122	257	675	6969	637	35	385	213	541	218	71	110	141	187	333	708	1484	2185	2444	285	273	9059	291	933	1273	183	36	61	264	42	91	7522	47	55	332	70	57	9	13	73	116	22	41	21	16	100	36	372	359	154	367	1232	178	443	29844	276	651	1067	605	424	110	886	861	185	171	544	84	457	277	550	1273	182	18	41	175
OTU_25480	0	33	3	1	16159	515	32	1785	288	405	9147	4	27570	27	306	84	97	0	88	0	38	118	1	63	70	1	124	34	41	285	24	9	55	1	11183	236	298	35	222	1335	23	161	58	101	100	66	35	5	289	53	13	13	3	12	7	4	115	18	11	107	6	8	0	2	1	5	9	3	16	4	1	4	5	8	6	2	9	1	4	1	3	10	20	3	3	3	0	7	7	0	119	2	4	4	4	2	8	5	4	34
OTU_24868	105	34396	2582	266	19020	12	1	34	8	3	93	0	267	0	5	1	1	0	1	0	1	1	0	0	0	0	0	1	0	6	0	0	1	0	135	6	1	0	6	5	0	2	1	0	5	2	0	0	1	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_19094	155	55	268	72	50	78	11	20	0	463	38	17	102	1	34	9	20	104	0	10	0	2	201	1	2	37	0	1	62	33	93	42	620	151	90	2	7	4	50	122	1	0	3	1	3	5	5	1	3	1	2	0	1	0	0	0	0	2	1	1	0	1	0	1	1	0	61	2	1	0	0	2	15	2	0	1	0	0	0	1	0	2	1	1	0	0	0	0	80	0	0	0	0	1	5	2	27	62	106	21
OTU_17060	147	149	4	243	8	1440	8	53	30	24	44	94	14	22	33	38	48	5	187	3376	468	985	56	19	1132	11707	76	183	2628	211	12	161	72	93	92	27	34	47	92	66	189	596	924	783	81	110	2543	97	333	293	32	3	7	36	5	10	1472	12	16	44	23	20	1	8	14	13	3	7	7	6	13	2	77	69	36	73	193	37	78	5830	45	115	183	107	81	25	183	133	37	28	97	15	87	57	99	250	31	3	9	22
OTU_25834	4	14	28	28	304	14	10	4	0	1	1	101	2	7	0	15	6	2	7	542	4	1	1	5	0	0	0	0	6	14	4	51	0	3	25	3	6	0	0	0	0	10	2	2	0	4	5	5	4	3	2	1	0	1	3	0	0	2	2	4	5	7	0	0	0	0	0	1	2	3	2	2	9	10	0	3	1	0	1	1	0	2	0	2	3	3	1	5	0	3	3	3	0	2	0	3	1	0	1	0
OTU_34735	113	50	141	159	85	103	1407	194	15	58	62	265	81	65	0	157	300	1	81	525	51	30	35	53	66	27	49	27	437	1091	107	349	407	47	380	83	359	379	72	56	179	39	239	178	144	350	323	47	287	236	1734	263	125	257	2951	304	1	181	89	151	255	462	71	11	94	84	0	109	170	218	212	176	228	398	0	41	71	1338	221	164	45	34	31	69	150	140	38	53	38	17	82	27	55	76	35	105	1854	0	109	69
OTU_12326	7	18	1	170	4	46	0	70	21875	46	86	8	54	36	115	73	107	12	238	0	344	239	27	77	758	18	228	207	18	10	1	4	2	1	6	1	1	1	3	2	30	1549	12	39	10	6	53	1	12	4	0	1	0	2	1	0	16	0	1	1	1	0	1	0	1	0	0	2	12	0	1	0	9	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	31	0	0	0	3	0	0	0	0	0
OTU_23001	383	111	582	187	156	221	0	8	0	1134	51	2	600	1	31	33	15	41	38	0	1	2	114	5	1	20	1	0	374	14	33	9	1469	70	555	1	11	6	36	0	13	0	4	0	6	3	1	0	2	1	1	1	1	0	2	3	0	2	2	3	1	1	0	0	6	0	14	2	0	1	1	5	45	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	16	1	9	14	28	6
