id,weight,class
Prevotella,17455.0196078431,2
Bacteroides,12787.862745098,2
Peptoniphilus,10754.5490196078,2
Lactobacillus,9187.11764705882,2
Porphyromonas,6541.66666666667,2
Anaerococcus,5432.49019607843,2
Dialister,3991,2
Streptococcus,3664.25490196078,1
Finegoldia,3182.72549019608,1
Faecalibacterium,3123.66666666667,1
Campylobacter,2308.07843137255,1
Gardnerella,2073.41176470588,1
Bifidobacterium,1696.80392156863,1
Fusobacterium,1582.19607843137,1
Dorea,1496.64705882353,1
Parabacteroides,1220.09803921569,1
Ruminococcus,980.313725490196,1
Collinsella,975.78431372549,1
Sutterella,951.411764705882,1
Atopobium,805.764705882353,1
Clostridium,751.960784313726,1
Lachnospira,746.705882352941,1
Coprococcus,721.274509803922,1
Corynebacterium,675.294117647059,1
Mobiluncus,650.176470588235,1
Blautia,632.78431372549,1
Roseburia,543.352941176471,1
Oscillospira,489.098039215686,1
Actinomyces,449.137254901961,1
Sneathia,448.43137254902,1
Peptostreptococcus,424.725490196078,1
Megamonas,383.823529411765,1
Phascolarctobacterium,343.647058823529,1
Bilophila,253.294117647059,1
Akkermansia,179.725490196078,1
Megasphaera,168.313725490196,1
Veillonella,143.607843137255,1
Parvimonas,116.176470588235,1
Desulfovibrio,113.392156862745,1
Delftia,111.901960784314,1
Anaerostipes,105.588235294118,1
Butyricimonas,90.9803921568627,1
Gallicola,76.5098039215686,1
Moryella,70.4509803921569,1
Odoribacter,61.9019607843137,1
Peptococcus,61.5098039215686,1
Mitsuokella,55.0980392156863,1
Paraprevotella,51.7058823529412,1
Escherichia,49.6862745098039,1
Arcanobacterium,47.843137254902,1
Haemophilus,45.9411764705882,1
Bulleidia,42.6274509803922,1
Catenibacterium,37.5098039215686,1
Eggerthella,34.1372549019608,1
Staphylococcus,34.0588235294118,1
Varibaculum,30.9019607843137,1
Pseudomonas,28,1
Neisseria,23.9803921568627,1
Coprobacillus,23.4313725490196,1
Mogibacterium,22.9803921568627,1
Rothia,22.0196078431373,1
Lachnobacterium,21.7647058823529,1
Slackia,20.156862745098,1
Alloscardovia,19.7843137254902,1
Methanobrevibacter,16.0392156862745,1
Pyramidobacter,15.3725490196078,1
Ureaplasma,15.2941176470588,1
Shuttleworthia,15.2745098039216,1
Acinetobacter,13.6862745098039,1
Treponema,13.5294117647059,1
Facklamia,11.1960784313725,1
Lactococcus,9.76470588235294,1
Aerococcus,9.09803921568627,1
Synergistes,7.98039215686275,1
Gemella,7.7843137254902,1
Adlercreutzia,7.2156862745098,1
Alistipes,7.11764705882353,1
Leptotrichia,7.05882352941176,1
Anoxybacillus,7.01960784313725,1
Holdemania,6.6078431372549,1
Dermabacter,6.49019607843137,1
Actinobaculum,5.70588235294118,1
Aggregatibacter,5.68627450980392,1
Anaerotruncus,5.45098039215686,1
