ID	cdzc3001	cdzc3002	cdzc3003	cdzc3004	cdzc3006	cdzc3007	cdzc3008	cdzc3009	cdzc3010	cdzc3011	cdzc3012	cdzc3013	cdzc3014	cdzc3015	cdzc3016	cdzc3017	cdzc3018	cdzc3019	cdzc3020	cdzc3021	cdzc3022	cdzc3024	cdzc3025	cdzc3026	cdzc3027	cdzc3029	cdzc3030	cdzc3031	cdzc3032	cdzc3033	cdzc3034	cdzc3035	cdzc3036	cdzc3037	cdzc3039	cdzc3040	cdzc3041	cdzc3042	cdzc3043	cdzc3044	cdzc3045	cdzc3046	cdzc3047	cdzc3048	cdzc3049	cdzc3050	cdzc3928
Prevotella	45264	17794	3453	15476	23822	6592	3245	3704	24310	20431	25337	792	37851	23325	57650	26023	28888	29377	38719	346	3043	3499	38598	36060	29394	30919	13367	347	17788	6661	4023	28114	22009	31483	28921	29231	31139	6818	43259	32193	28327	23847	1853	548	14676	4999	22760
Peptoniphilus	5481	5814	22380	4316	6416	29790	15580	2615	11356	13745	14375	528	7867	8803	173	7396	43251	24220	4811	69	18828	20933	14480	13118	10310	6136	25942	31910	20243	6661	33820	5782	35396	18196	30105	17300	21974	508	12591	7730	5062	24350	33065	41532	20495	6909	15799
Anaerococcus	887	3033	23747	4712	5495	5323	14555	2077	5929	2519	9756	484	1683	5434	73	128	10902	2787	1610	41	21836	37439	6269	391	5563	3798	5696	42371	19687	7235	14167	3474	17767	14454	7210	4540	11712	988	24885	8953	4624	15643	31042	23649	17035	9470	3063
Porphyromonas	591	2514	63	3940	3756	33421	10589	1496	9383	3444	53	102	65	9066	54	9780	1946	6679	10	6	10769	195	6280	8598	3619	3904	12989	4169	1774	3897	8519	12539	39	17821	2507	21700	2971	29	1043	2350	1767	11043	20579	10114	353	47676	138
Bacteroides	4439	14803	5367	16624	6830	1216	778	31715	11536	14436	214	27196	294	7427	13808	18401	144	2272	16753	55	1113	282	2989	2609	3200	4037	15388	23	47	11328	753	7045	336	41	476	829	984	5553	71	3038	1348	618	106	86	576	1530	12967
Finegoldia	140	2106	19209	1584	786	2555	5285	479	2719	3274	4252	997	8210	2661	100	999	3964	2498	1272	0	7708	24751	2353	232	1336	230	2304	15016	5638	1316	16351	3680	8137	1265	2113	2614	4845	276	2320	888	1928	2996	8012	18538	8164	406	8265
Lactobacillus	1085	210	4200	578	4946	88	27080	1104	206	1179	12909	146	302	10959	412	467	162	1007	861	98882	21652	449	513	85	668	141	1394	347	565	65	3517	68	306	264	92	626	1684	261	35	124	71	1676	1524	215	1362	189	1777
Dialister	380	589	4756	1695	2732	2115	2258	217	1959	3816	5047	660	2491	6233	2719	1981	6271	12490	1025	6	1166	840	5042	8745	3529	3754	2233	779	9493	1603	1893	8103	7099	6775	3552	12321	11289	14	8480	5704	1464	8822	1069	2076	3511	4132	11801
Faecalibacterium	6130	20674	1786	1401	7037	423	189	13497	8894	2083	8	14551	49	1234	4880	1643	270	139	4093	41	122	159	2130	85	1196	274	1134	7	124	21926	1366	10850	29	0	46	125	138	37554	0	277	178	115	249	43	812	230	536
Streptococcus	1127	1011	546	19813	1717	511	844	2353	373	2561	5440	1466	16666	1649	2344	338	36	2476	13542	13	192	3514	1561	3931	24877	203	260	239	537	769	204	412	4983	41	81	31	3826	2602	1861	12183	4196	2326	142	268	7181	203	7460
Campylobacter	324	238	820	1228	5008	3595	389	2498	38	1552	1357	0	89	4543	375	64	720	8212	10	0	184	282	591	10007	1615	761	8899	7	1313	247	53	755	533	2128	19482	5949	1857	0	0	86	1223	1802	26	473	995	1178	4637
Sneathia	1775	14	0	0	20	0	464	0	0	0	0	0	4150	30	45	0	0	0	0	6	131	0	0	12	9	25270	0	0	2704	430	10	109	0	0	0	0	0	0	17	12603	27935	10	0	10	13	0	0
Gardnerella	197	2780	0	934	8610	17	1783	755	38	914	44	0	15702	546	247	145	90	718	41	27	131	159	0	6026	1116	132	35	38	373	1068	462	5356	9	0	0	125	2988	72	17	4567	6088	1540	44	21	10955	13	249
Corynebacterium	295	112	1549	314	527	916	1499	72	708	818	12677	806	8	1305	18	2126	828	246	112	0	2280	3260	100	391	2373	132	508	447	11555	260	1473	1236	781	737	917	125	1079	130	44	76	249	859	641	129	2267	14483	129
Bifidobacterium	169	6334	1868	60	776	211	180	2978	1288	1817	8	3065	8	1264	3479	2481	54	85	2000	0	263	72	423	12	1286	150	23	586	124	4510	5636	906	563	0	69	125	138	12372	0	28	285	220	26	21	1048	338	536
Coprococcus	5622	3188	2332	690	382	405	237	9893	1778	839	26	4430	24	111	1538	628	36	64	225	62	87	65	423	36	488	26	330	46	47	4510	828	1345	39	0	58	0	51	3038	17	334	8	20	26	21	170	13	175
Mobiluncus	2057	14	27	619	5464	793	189	305	25	2806	419	29	8	4857	0	15597	342	1340	0	20	798	0	178	1322	428	70	1087	23	1428	0	376	13	0	486	23	876	17	0	44	219	1187	73	0	10	157	149	37
Collinsella	1747	0	0	10	693	1216	256	58	5555	2902	35	6586	24	182	1739	290	54	160	0	6	131	101	2465	48	279	301	0	254	172	6452	946	2224	0	13	545	0	0	4565	44	95	0	20	258	161	629	230	305
Blautia	1592	3426	4620	812	527	211	294	2193	1688	977	8	3652	0	597	796	1031	0	96	728	13	61	152	490	0	418	53	1122	38	47	1486	1043	618	59	27	46	31	86	8854	0	200	89	62	258	43	353	27	314
Clostridium	831	337	100	243	165	5341	673	958	1572	350	44	3124	8	313	82	322	0	235	102	0	2262	7	156	36	1445	425	248	7	287	404	462	233	286	5523	1915	46	69	174	62	0	8	345	17	10	39	5039	46
Ruminococcus	4016	1699	328	690	393	352	645	1917	1263	63	35	7789	16	70	283	580	90	85	184	34	87	108	256	12	309	35	413	15	95	4236	279	1332	49	0	34	78	8	5321	8	95	26	0	17	32	26	94	55
Atopobium	465	632	100	690	765	0	1356	406	25	1052	580	14	2393	1001	9	241	180	611	1036	20	43	50	1349	0	688	2027	177	0	124	78	32	123	79	153	34	46	1649	43	0	3325	7133	922	17	21	2345	27	1055
Roseburia	2719	3665	328	40	1293	17	85	1903	2797	531	8	29	0	1841	2334	2046	0	10	554	6	122	14	211	12	488	17	579	0	19	1903	118	1345	59	0	162	0	0	1512	44	28	26	10	8	0	2516	0	0
Lachnospira	3466	688	382	274	351	52	47	4983	1920	74	0	4078	0	323	1080	676	36	0	451	13	52	50	0	0	69	0	709	0	57	3467	580	892	19	0	11	15	77	87	0	38	26	62	17	0	52	0	64
Sutterella	732	2078	255	1167	279	528	161	668	412	308	0	4694	1062	627	750	1079	54	150	595	6	52	43	44	208	279	150	1004	7	604	1108	204	988	29	0	243	172	500	290	314	210	17	345	0	10	576	94	1934
Dorea	1324	2345	200	426	320	317	94	915	1443	2136	17	1232	24	212	2582	950	18	632	1015	13	96	65	211	36	259	0	212	23	9	1551	150	425	19	13	23	15	95	2646	8	19	71	83	98	86	353	13	1027
Peptostreptococcus	704	421	9	4468	1076	17	9	0	0	1084	2188	0	228	961	0	273	594	160	10	13	87	760	736	526	428	1558	0	23	306	13	53	41	128	0	0	15	259	0	1151	707	3008	73	0	0	943	81	37
Phascolarctobacterium	1423	1460	118	913	724	405	142	1307	0	170	8	3285	0	0	228	870	0	21	4185	13	52	0	323	0	149	796	709	7	0	2150	10	82	29	27	11	31	0	1817	0	401	35	0	0	0	235	94	684
Fusobacterium	0	14	0	243	1645	17	142	174	0	786	0	0	0	161	0	32	0	0	10	0	17	0	0	3735	1435	9934	11	0	1678	0	0	0	0	0	0	15	0	0	0	1089	0	20	0	0	26	230	1119
