"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"KO1",0,0.275482093663912,0.343815513626834,0.336134453781513,0.376328844790928,0.312543312543313,0.281084656084656,0.279598662207358,0.293796864349012,0.286784741144414,0.289913159652639,0.263721552878179,0.296195652173913,0.329662766689608,0.281271129141312,0.297972972972973,0.32580424366872,0.275067750677507
"KO2",0.275482093663912,0,0.327477160927618,0.318534178999295,0.366926898509581,0.303261623872311,0.275611368142763,0.270596115204287,0.293957909029192,0.292765382014875,0.278633623576691,0.261682242990654,0.278879015721121,0.320468642315644,0.276839972991222,0.295822102425876,0.323549488054608,0.260040844111641
"KO3",0.343815513626834,0.327477160927618,0,0.353801169590643,0.368222891566265,0.349285714285714,0.355481727574751,0.343707713125846,0.357044198895028,0.346473029045643,0.336065573770492,0.326558265582656,0.347886347886348,0.36085409252669,0.347231715652768,0.349414197105445,0.363636363636364,0.339958875942426
"KO4",0.336134453781513,0.318534178999295,0.353801169590643,0,0.391561806069578,0.325867052023121,0.347101932045303,0.33739837398374,0.344899375433727,0.32260321903429,0.327397260273973,0.32135593220339,0.336812804453723,0.349535382416011,0.331727460426703,0.326829268292683,0.348936170212766,0.317394317394317
"KO5",0.376328844790928,0.366926898509581,0.368222891566265,0.391561806069578,0,0.357615894039735,0.38544474393531,0.377397260273973,0.387096774193548,0.377543859649123,0.356345885634589,0.380081300813008,0.374471086036671,0.37782640408461,0.389118457300275,0.370161857846587,0.382840663302091,0.35
"KO6",0.312543312543313,0.303261623872311,0.349285714285714,0.325867052023121,0.357615894039735,0,0.304405874499332,0.307744107744108,0.331740614334471,0.310866574965612,0.283459162663006,0.297515110812626,0.316838487972509,0.332394366197183,0.302802460697198,0.299930891499654,0.32373595505618,0.30931339225017
"OE1",0.281084656084656,0.275611368142763,0.355481727574751,0.347101932045303,0.38544474393531,0.304405874499332,0,0.241130091984231,0.253181513730743,0.263750828363154,0.244400527009223,0.227839789888378,0.280921052631579,0.309746328437917,0.261982928430729,0.269129287598945,0.300466355762825,0.261639344262295
"OE2",0.279598662207358,0.270596115204287,0.343707713125846,0.33739837398374,0.377397260273973,0.307744107744108,0.241130091984231,0,0.280479680213191,0.269025367156208,0.238985313751669,0.243261012491782,0.262096774193548,0.308575286968265,0.253333333333333,0.267511674449633,0.294594594594595,0.278215223097113
"OE3",0.293796864349012,0.293957909029192,0.357044198895028,0.344899375433727,0.387096774193548,0.331740614334471,0.253181513730743,0.280479680213191,0,0.27359781121751,0.285046728971963,0.262349799732977,0.285422343324251,0.31767955801105,0.278677462887989,0.299932750504371,0.320793433652531,0.288680509042197
"OE4",0.286784741144414,0.292765382014875,0.346473029045643,0.32260321903429,0.377543859649123,0.310866574965612,0.263750828363154,0.269025367156208,0.27359781121751,0,0.267785234899329,0.258988015978695,0.285423728813559,0.307053941908714,0.269412559081702,0.283783783783784,0.312585499316005,0.274865591397849
"OE5",0.289913159652639,0.278633623576691,0.336065573770492,0.327397260273973,0.356345885634589,0.283459162663006,0.244400527009223,0.238985313751669,0.285046728971963,0.267785234899329,0,0.22311289245157,0.27364185110664,0.295967190704033,0.253181513730743,0.256911665542819,0.28999319264806,0.252842809364549
"OE6",0.263721552878179,0.261682242990654,0.326558265582656,0.32135593220339,0.380081300813008,0.297515110812626,0.227839789888378,0.243261012491782,0.262349799732977,0.258988015978695,0.22311289245157,0,0.261333333333333,0.301747311827957,0.248010610079576,0.26441351888668,0.296989966555184,0.255767963085036
"WT1",0.296195652173913,0.278879015721121,0.347886347886348,0.336812804453723,0.374471086036671,0.316838487972509,0.280921052631579,0.262096774193548,0.285422343324251,0.285423728813559,0.27364185110664,0.261333333333333,0,0.301322199025748,0.271805273833671,0.28735632183908,0.312757201646091,0.279569892473118
"WT2",0.329662766689608,0.320468642315644,0.36085409252669,0.349535382416011,0.37782640408461,0.332394366197183,0.309746328437917,0.308575286968265,0.31767955801105,0.307053941908714,0.295967190704033,0.301747311827957,0.301322199025748,0,0.305954825462012,0.312456985547144,0.323467230443975,0.298558682223747
"WT3",0.281271129141312,0.276839972991222,0.347231715652768,0.331727460426703,0.389118457300275,0.302802460697198,0.261982928430729,0.253333333333333,0.278677462887989,0.269412559081702,0.253181513730743,0.248010610079576,0.271805273833671,0.305954825462012,0,0.271380471380471,0.296448087431694,0.259060402684564
"WT4",0.297972972972973,0.295822102425876,0.349414197105445,0.326829268292683,0.370161857846587,0.299930891499654,0.269129287598945,0.267511674449633,0.299932750504371,0.283783783783784,0.256911665542819,0.26441351888668,0.28735632183908,0.312456985547144,0.271380471380471,0,0.317903335602451,0.275653923541248
"WT5",0.32580424366872,0.323549488054608,0.363636363636364,0.348936170212766,0.382840663302091,0.32373595505618,0.300466355762825,0.294594594594595,0.320793433652531,0.312585499316005,0.28999319264806,0.296989966555184,0.312757201646091,0.323467230443975,0.296448087431694,0.317903335602451,0,0.293715846994536
"WT6",0.275067750677507,0.260040844111641,0.339958875942426,0.317394317394317,0.35,0.30931339225017,0.261639344262295,0.278215223097113,0.288680509042197,0.274865591397849,0.252842809364549,0.255767963085036,0.279569892473118,0.298558682223747,0.259060402684564,0.275653923541248,0.293715846994536,0
