"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales",0.337642653352354,0.217387781558905,0.285832145803645,0.320021462517247,0.415767997668318,0.345968519113395,0.196776359973136,0.169597666638072,0.24814126394052,0.260051768766178,0.234193909359763,0.207258417140359,0.258730524215212,0.329555757026292,0.247174447174447,0.260491583023789,0.269796723300971,0.253259295026557
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales",0.116619115549215,0.110435909901151,0.150078751968799,0.130231488578875,0.147624599242203,0.138853196273691,0.118871725990598,0.102084584369907,0.0766306184521798,0.0983606557377049,0.112221245304132,0.112636641888937,0.0789776652083813,0.0886974916893321,0.0974610974610975,0.096498854026713,0.100500606796116,0.10574601641719
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales",0.0563480741797432,0.108329282126074,0.086027150678767,0.0886861873371148,0.0512241329058584,0.0527626084163187,0.0559100067159167,0.0597066140516428,0.0442717134166948,0.0569456427955134,0.0635440812085365,0.0526453869698295,0.0862690920254816,0.0568902991840435,0.0706797706797707,0.0764245633446613,0.0872269417475728,0.0799935618863673
"k__Bacteria|p__Unassigned|c__Unassigned|o__Unassigned",0.0376248216833096,0.0445632798573975,0.024825620640516,0.0295109612141653,0.029146021568056,0.0314005782203662,0.0790799194089993,0.0742043407394698,0.0554241297735722,0.045297670405522,0.0797698025737351,0.0789680804547442,0.0719164939749789,0.0553037171350861,0.0677313677313677,0.0545325219315577,0.0644720873786408,0.0410429744084983
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales",0.0433309557774608,0.0673310646572679,0.0249006225155629,0.0513567376973785,0.0316962984552609,0.0384677160295535,0.0484385493619879,0.0633095993823454,0.0472287935113214,0.0405522001725626,0.0501158980097514,0.0384783559247923,0.0738352905057948,0.0779691749773345,0.0547911547911548,0.0630680471034537,0.0571146844660194,0.051907291163689
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales",0.0499286733238231,0.0716253443526171,0.0445511137778444,0.0403955235321171,0.0226610317691635,0.0431256023128815,0.0477669576897246,0.0663978725229476,0.0672524501520784,0.0481449525452977,0.0520342098952921,0.0487101005684303,0.0507329802747717,0.0413266847990329,0.0519246519246519,0.0441002133881293,0.0505916262135922,0.0555287300820859
"k__Bacteria|p__Proteobacteria|c__Unassigned|o__Unassigned",0.0444008559201141,0.0407551450332199,0.0324758118952974,0.0299708722980224,0.0330078694258234,0.0576614198522326,0.0540631296171927,0.0386891996225444,0.0375126732004055,0.0477135461604832,0.0470785708576453,0.0513336248360297,0.0425205311228797,0.0428377153218495,0.0564291564291564,0.0395953528807397,0.0393658980582524,0.0520682440045067
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales",0.0325427960057061,0.0295738129962729,0.0327758193954849,0.0230722060401656,0.0118770037889828,0.0190330870542885,0.0245130960376091,0.0359440679420091,0.0836431226765799,0.0495254529767041,0.0302134121972664,0.0313948404022737,0.0416762606493207,0.0352825627077667,0.0334971334971335,0.0629890144629732,0.0436134708737864,0.0341220022533398
"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales",0.0158701854493581,0.0173391670717874,0.0693767344183605,0.0241453319024988,0.0424803264354416,0.018390619980726,0.0141873740765615,0.0651968774127134,0.0626056100033795,0.0467644521138913,0.0192630485173048,0.0195015303891561,0.0348453449996162,0.0401178603807797,0.0264537264537265,0.0188888010748439,0.0344356796116505,0.0421696442942218
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Unassigned",0.0357524964336662,0.0311942959001783,0.0270756768919223,0.026674842863713,0.0192363742349169,0.0257789913266945,0.0450805910006716,0.0298533070258214,0.0365833051706658,0.0319240724762727,0.0366877148109664,0.0417140358548317,0.0283214367948423,0.0298428528256271,0.0392301392301392,0.0369872757448826,0.0290503640776699,0.0421696442942218
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales",0.0260342368045649,0.0418084589207584,0.04057601440036,0.0290510501303081,0.0260856893034101,0.0318824285255381,0.0247649429147079,0.0384318435274942,0.0274586008786752,0.0237273511647972,0.033170809687475,0.0270222999562746,0.0249443549006063,0.0236476276820792,0.032022932022932,0.0311388603493243,0.0310983009708738,0.0293738934492194
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales",0.0200606276747504,0.015394587587101,0.0219755493887347,0.0259083243906178,0.0260856893034101,0.0296337937680694,0.015530557421088,0.0158702925280947,0.0199391686380534,0.0176876617773943,0.029094396930701,0.0222999562745955,0.0157341315526902,0.0196433967966153,0.0217035217035217,0.0244210859084802,0.0203276699029126,0.0259938837920489
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales",0.0199714693295292,0.0208232053151839,0.0348008700217505,0.0311206500076652,0.0367239871757505,0.0292322518470928,0.0174613834788449,0.0164707900832118,0.0124197363974316,0.0154443485763589,0.0188634002078171,0.019938784433756,0.0110522680174994,0.0167724388032638,0.0140868140868141,0.0209436497273374,0.0197208737864078,0.0166586190246258
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales",0.0144436519258203,0.0147463944255388,0.0121503037575939,0.0327303388011651,0.00568347420577091,0.0154192097654995,0.0469274680993956,0.0253924680449515,0.0225582967218655,0.0270060396893874,0.0155862840700184,0.0462614779186707,0.00713792309463504,0.00513750377757631,0.0100737100737101,0.00916778629574014,0.00515776699029126,0.00901335908578786
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Unassigned",0.0147111269614836,0.022362664073894,0.0123003075076877,0.0160202360876897,0.00561060915185077,0.0125281079344684,0.0185527199462727,0.0200737754139144,0.0190098006083136,0.0191544434857636,0.0167052993365838,0.0176650634018365,0.0232558139534884,0.0187367784829254,0.0215397215397215,0.0188097684343634,0.0191140776699029,0.0191533880572992
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales",0.0151569186875892,0.0209042294603792,0.0122253056326408,0.0136440288210946,0.00823375109297581,0.0130099582396402,0.0167058428475487,0.0184438534785966,0.0140250084488003,0.0146678170836928,0.0195827671648949,0.0185395714910363,0.0148131092178985,0.011408280447265,0.017035217035217,0.0153323322532206,0.0130461165048544,0.0171414775470787
