richness	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
1	33.0	32.0	39.0	42.0	40.0	40.0	35.0	36.0	27.0	36.0	35.0	30.0	36.0	42.0	34.0	34.0	32.0	37.0
2	78.0	84.0	85.0	79.0	79.0	78.0	75.0	77.0	70.0	78.0	85.0	91.0	73.0	68.0	79.0	82.0	73.0	84.0
3	120.0	131.0	117.0	114.0	108.0	112.0	130.0	121.0	114.0	116.0	121.0	136.0	106.0	100.0	135.0	116.0	108.0	119.0
4	165.0	177.0	156.0	148.0	148.0	159.0	189.0	163.0	148.0	159.0	160.0	175.0	148.0	136.0	174.0	160.0	149.0	153.0
5	207.0	222.0	179.0	180.0	175.0	201.0	238.0	218.0	198.0	192.0	206.0	217.0	186.0	170.0	215.0	199.0	184.0	191.0
6	242.0	262.0	220.0	202.0	200.0	233.0	292.0	274.0	238.0	237.0	255.0	276.0	217.0	200.0	260.0	247.0	209.0	230.0
7	283.0	298.0	249.0	240.0	224.0	264.0	333.0	319.0	274.0	276.0	304.0	325.0	264.0	236.0	306.0	278.0	242.0	281.0
8	326.0	323.0	276.0	277.0	256.0	301.0	381.0	365.0	310.0	311.0	345.0	398.0	285.0	267.0	344.0	331.0	264.0	318.0
9	378.0	378.0	308.0	301.0	271.0	336.0	428.0	397.0	349.0	351.0	382.0	424.0	340.0	294.0	382.0	347.0	308.0	348.0
10	409.0	406.0	331.0	335.0	297.0	368.0	472.0	433.0	391.0	398.0	425.0	465.0	347.0	321.0	416.0	380.0	327.0	397.0
11	434.0	443.0	360.0	357.0	310.0	409.0	527.0	481.0	430.0	426.0	454.0	513.0	396.0	348.0	448.0	429.0	356.0	438.0
12	472.0	470.0	390.0	392.0	337.0	416.0	561.0	498.0	454.0	455.0	482.0	556.0	427.0	397.0	484.0	475.0	401.0	476.0
13	513.0	511.0	420.0	420.0	351.0	442.0	595.0	531.0	474.0	497.0	523.0	597.0	463.0	410.0	528.0	490.0	418.0	483.0
14	518.0	539.0	441.0	436.0	384.0	486.0	639.0	559.0	522.0	533.0	572.0	617.0	486.0	443.0	567.0	510.0	443.0	532.0
15	556.0	560.0	443.0	460.0	402.0	521.0	675.0	586.0	546.0	563.0	598.0	642.0	515.0	463.0	579.0	549.0	465.0	564.0
16	593.0	590.0	469.0	478.0	434.0	521.0	689.0	620.0	570.0	581.0	625.0	696.0	559.0	470.0	623.0	573.0	493.0	579.0
17	601.0	628.0	478.0	512.0	432.0	550.0	715.0	637.0	613.0	611.0	649.0	694.0	576.0	515.0	643.0	601.0	516.0	586.0
18	637.0	635.0	496.0	543.0	465.0	572.0	736.0	679.0	614.0	633.0	690.0	712.0	586.0	532.0	669.0	634.0	546.0	623.0
19	647.0	666.0	522.0	553.0	480.0	593.0	749.0	707.0	624.0	651.0	704.0	754.0	624.0	552.0	693.0	643.0	557.0	636.0
20	670.0	679.0	537.0	571.0	490.0	631.0	782.0	717.0	669.0	684.0	716.0	770.0	653.0	572.0	713.0	671.0	583.0	684.0
21	686.0	699.0	553.0	588.0	515.0	631.0	808.0	744.0	674.0	703.0	755.0	788.0	670.0	600.0	738.0	693.0	598.0	697.0
22	712.0	711.0	568.0	589.0	539.0	651.0	820.0	770.0	707.0	710.0	754.0	809.0	680.0	614.0	751.0	702.0	613.0	723.0
23	719.0	730.0	577.0	623.0	527.0	669.0	827.0	791.0	715.0	723.0	785.0	840.0	709.0	644.0	762.0	728.0	633.0	728.0
24	748.0	756.0	596.0	639.0	544.0	679.0	857.0	784.0	731.0	750.0	793.0	845.0	687.0	659.0	789.0	742.0	656.0	772.0
25	760.0	753.0	602.0	643.0	562.0	694.0	867.0	803.0	766.0	754.0	828.0	868.0	733.0	663.0	809.0	751.0	656.0	765.0
26	767.0	768.0	617.0	656.0	577.0	695.0	882.0	832.0	760.0	785.0	831.0	871.0	740.0	690.0	814.0	756.0	682.0	774.0
27	797.0	789.0	625.0	669.0	597.0	723.0	889.0	852.0	783.0	797.0	848.0	897.0	750.0	690.0	828.0	781.0	693.0	793.0
28	803.0	800.0	636.0	677.0	592.0	734.0	909.0	863.0	797.0	802.0	861.0	896.0	775.0	704.0	841.0	794.0	716.0	804.0
