SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
KO1	1088	1255.92134831461	1247.32552407786	5.83666100309566	0.98971334	97.2132840008321
KO2	1087	1228.984375	1240.58619244274	5.9522340734323	0.99328472	148.914118249723
KO3	945	1173.86363636364	1167.3034326973	5.52208335719532	0.98777624	81.8078888983422
KO4	972	1139.49152542373	1152.97576721442	5.58621819945054	0.98904562	91.2876858389065
KO5	902	1098.98203592814	1130.78673986834	5.35908045508969	0.98490672	66.2546510765056
KO6	1022	1191.54069767442	1188.71843140944	5.75686951410876	0.99111426	112.539867247973
OE1	1159	1285.84971098266	1272.55489221369	6.19497640773724	0.99539054	216.94515192669
OE2	1166	1307.7962962963	1330.62976496373	6.04390544892657	0.99354392	154.892752258336
OE3	1094	1236.94607843137	1250.32740452414	5.79574080196217	0.99049118	105.165520011947
OE4	1124	1296.71641791045	1298.41671505237	5.88095172671635	0.99220404	128.271566298442
OE5	1149	1296.36269430052	1295.37614550605	6.02728469989692	0.99380704	161.4736733323
OE6	1180	1304.88	1305.20662261485	6.1757952274999	0.99506402	202.594013752082
WT1	1096	1290.61538461538	1294.50024268088	5.77111094873403	0.99139256	116.178561802348
WT2	1024	1202.00505050505	1223.34705245422	5.55588598377149	0.98805154	83.6927938830611
WT3	1117	1239.41538461538	1248.14964894149	6.0187892520168	0.99385644	162.77207352089
WT4	1089	1242.60621761658	1250.11860938141	5.89348761082207	0.99271726	137.310957139758
WT5	1026	1204	1226.79018562742	5.5830945145026	0.98875084	88.8955264215284
WT6	1127	1313.65816326531	1313.46218925258	5.89891051661163	0.99280566	138.99815688444
