bray_curtis	KO1	KO6	KO4	OE1	OE6	OE3	OE4	OE5	WT3	WT6	WT1	WT4	WT2	WT5	OE2	KO2	KO5	KO3
KO1	0	0.276	0.300	0.330	0.307	0.332	0.305	0.290	0.308	0.306	0.304	0.315	0.315	0.333	0.357	0.298	0.346	0.337
KO6	0.276	0	0.282	0.383	0.361	0.371	0.342	0.320	0.350	0.351	0.347	0.337	0.338	0.346	0.412	0.320	0.343	0.337
KO4	0.300	0.282	0	0.403	0.391	0.375	0.344	0.333	0.363	0.340	0.329	0.355	0.328	0.347	0.398	0.352	0.325	0.326
OE1	0.330	0.383	0.403	0	0.255	0.347	0.304	0.287	0.272	0.297	0.344	0.331	0.382	0.379	0.307	0.320	0.481	0.422
OE6	0.307	0.361	0.391	0.255	0	0.328	0.302	0.273	0.285	0.309	0.333	0.321	0.379	0.368	0.320	0.314	0.470	0.405
OE3	0.332	0.371	0.375	0.347	0.328	0	0.265	0.296	0.304	0.296	0.288	0.319	0.323	0.326	0.333	0.343	0.441	0.366
OE4	0.305	0.342	0.344	0.304	0.302	0.265	0	0.260	0.268	0.280	0.276	0.285	0.300	0.301	0.295	0.329	0.404	0.363
OE5	0.290	0.320	0.333	0.287	0.273	0.296	0.260	0	0.245	0.251	0.276	0.274	0.308	0.281	0.282	0.291	0.395	0.347
WT3	0.308	0.350	0.363	0.272	0.285	0.304	0.268	0.245	0	0.253	0.273	0.269	0.305	0.310	0.301	0.295	0.411	0.366
WT6	0.306	0.351	0.340	0.297	0.309	0.296	0.280	0.251	0.253	0	0.269	0.289	0.316	0.288	0.290	0.309	0.385	0.334
WT1	0.304	0.347	0.329	0.344	0.333	0.288	0.276	0.276	0.273	0.269	0	0.302	0.271	0.281	0.323	0.303	0.385	0.372
WT4	0.315	0.337	0.355	0.331	0.321	0.319	0.285	0.274	0.269	0.289	0.302	0	0.295	0.325	0.354	0.301	0.410	0.354
WT2	0.315	0.338	0.328	0.382	0.379	0.323	0.300	0.308	0.305	0.316	0.271	0.295	0	0.293	0.386	0.352	0.357	0.352
WT5	0.333	0.346	0.347	0.379	0.368	0.326	0.301	0.281	0.310	0.288	0.281	0.325	0.293	0	0.356	0.345	0.375	0.350
OE2	0.357	0.412	0.398	0.307	0.320	0.333	0.295	0.282	0.301	0.290	0.323	0.354	0.386	0.356	0	0.341	0.445	0.402
KO2	0.298	0.320	0.352	0.320	0.314	0.343	0.329	0.291	0.295	0.309	0.303	0.301	0.352	0.345	0.341	0	0.439	0.361
KO5	0.346	0.343	0.325	0.481	0.470	0.441	0.404	0.395	0.411	0.385	0.385	0.410	0.357	0.375	0.445	0.439	0	0.336
KO3	0.337	0.337	0.326	0.422	0.405	0.366	0.363	0.347	0.366	0.334	0.372	0.354	0.352	0.350	0.402	0.361	0.336	0
