bray_curtis_binary	KO1	KO2	OE1	OE2	OE5	OE6	WT6	OE4	OE3	WT3	WT1	WT4	KO6	WT2	WT5	KO4	KO3	KO5
KO1	0	0.145	0.142	0.140	0.150	0.140	0.143	0.140	0.156	0.151	0.162	0.158	0.173	0.186	0.186	0.198	0.204	0.214
KO2	0.145	0	0.137	0.139	0.145	0.134	0.136	0.149	0.150	0.148	0.157	0.160	0.162	0.171	0.180	0.179	0.194	0.215
OE1	0.142	0.137	0	0.126	0.128	0.110	0.128	0.122	0.139	0.134	0.148	0.147	0.167	0.177	0.168	0.201	0.209	0.234
OE2	0.140	0.139	0.126	0	0.108	0.109	0.134	0.128	0.135	0.126	0.135	0.138	0.165	0.162	0.159	0.185	0.199	0.204
OE5	0.150	0.145	0.128	0.108	0	0.108	0.122	0.131	0.141	0.128	0.139	0.139	0.152	0.158	0.160	0.181	0.196	0.199
OE6	0.140	0.134	0.110	0.109	0.108	0	0.129	0.123	0.124	0.124	0.129	0.138	0.164	0.162	0.163	0.184	0.191	0.213
WT6	0.143	0.136	0.128	0.134	0.122	0.129	0	0.133	0.156	0.128	0.150	0.149	0.165	0.170	0.170	0.187	0.202	0.216
OE4	0.140	0.149	0.122	0.128	0.131	0.123	0.133	0	0.135	0.138	0.150	0.147	0.171	0.174	0.165	0.186	0.203	0.220
OE3	0.156	0.150	0.139	0.135	0.141	0.124	0.156	0.135	0	0.148	0.153	0.164	0.180	0.178	0.176	0.199	0.218	0.234
WT3	0.151	0.148	0.134	0.126	0.128	0.124	0.128	0.138	0.148	0	0.142	0.146	0.173	0.169	0.171	0.182	0.201	0.237
WT1	0.162	0.157	0.148	0.135	0.139	0.129	0.150	0.150	0.153	0.142	0	0.156	0.188	0.170	0.167	0.194	0.211	0.229
WT4	0.158	0.160	0.147	0.138	0.139	0.138	0.149	0.147	0.164	0.146	0.156	0	0.173	0.170	0.176	0.191	0.205	0.219
KO6	0.173	0.162	0.167	0.165	0.152	0.164	0.165	0.171	0.180	0.173	0.188	0.173	0	0.196	0.187	0.188	0.211	0.212
WT2	0.186	0.171	0.177	0.162	0.158	0.162	0.170	0.174	0.178	0.169	0.170	0.170	0.196	0	0.180	0.204	0.224	0.223
WT5	0.186	0.180	0.168	0.159	0.160	0.163	0.170	0.165	0.176	0.171	0.167	0.176	0.187	0.180	0	0.207	0.217	0.227
KO4	0.198	0.179	0.201	0.185	0.181	0.184	0.187	0.186	0.199	0.182	0.194	0.191	0.188	0.204	0.207	0	0.214	0.239
KO3	0.204	0.194	0.209	0.199	0.196	0.191	0.202	0.203	0.218	0.201	0.211	0.205	0.211	0.224	0.217	0.214	0	0.224
KO5	0.214	0.215	0.234	0.204	0.199	0.213	0.216	0.220	0.234	0.237	0.229	0.219	0.212	0.223	0.227	0.239	0.224	0
