bray_curtis_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.145	0.204	0.198	0.214	0.173	0.142	0.140	0.156	0.140	0.150	0.140	0.162	0.186	0.151	0.158	0.186	0.143
KO2	0.145	0	0.194	0.179	0.215	0.162	0.137	0.139	0.150	0.149	0.145	0.134	0.157	0.171	0.148	0.160	0.180	0.136
KO3	0.204	0.194	0	0.214	0.224	0.211	0.209	0.199	0.218	0.203	0.196	0.191	0.211	0.224	0.201	0.205	0.217	0.202
KO4	0.198	0.179	0.214	0	0.239	0.188	0.201	0.185	0.199	0.186	0.181	0.184	0.194	0.204	0.182	0.191	0.207	0.187
KO5	0.214	0.215	0.224	0.239	0	0.212	0.234	0.204	0.234	0.220	0.199	0.213	0.229	0.223	0.237	0.219	0.227	0.216
KO6	0.173	0.162	0.211	0.188	0.212	0	0.167	0.165	0.180	0.171	0.152	0.164	0.188	0.196	0.173	0.173	0.187	0.165
OE1	0.142	0.137	0.209	0.201	0.234	0.167	0	0.126	0.139	0.122	0.128	0.110	0.148	0.177	0.134	0.147	0.168	0.128
OE2	0.140	0.139	0.199	0.185	0.204	0.165	0.126	0	0.135	0.128	0.108	0.109	0.135	0.162	0.126	0.138	0.159	0.134
OE3	0.156	0.150	0.218	0.199	0.234	0.180	0.139	0.135	0	0.135	0.141	0.124	0.153	0.178	0.148	0.164	0.176	0.156
OE4	0.140	0.149	0.203	0.186	0.220	0.171	0.122	0.128	0.135	0	0.131	0.123	0.150	0.174	0.138	0.147	0.165	0.133
OE5	0.150	0.145	0.196	0.181	0.199	0.152	0.128	0.108	0.141	0.131	0	0.108	0.139	0.158	0.128	0.139	0.160	0.122
OE6	0.140	0.134	0.191	0.184	0.213	0.164	0.110	0.109	0.124	0.123	0.108	0	0.129	0.162	0.124	0.138	0.163	0.129
WT1	0.162	0.157	0.211	0.194	0.229	0.188	0.148	0.135	0.153	0.150	0.139	0.129	0	0.170	0.142	0.156	0.167	0.150
WT2	0.186	0.171	0.224	0.204	0.223	0.196	0.177	0.162	0.178	0.174	0.158	0.162	0.170	0	0.169	0.170	0.180	0.170
WT3	0.151	0.148	0.201	0.182	0.237	0.173	0.134	0.126	0.148	0.138	0.128	0.124	0.142	0.169	0	0.146	0.171	0.128
WT4	0.158	0.160	0.205	0.191	0.219	0.173	0.147	0.138	0.164	0.147	0.139	0.138	0.156	0.170	0.146	0	0.176	0.149
WT5	0.186	0.180	0.217	0.207	0.227	0.187	0.168	0.159	0.176	0.165	0.160	0.163	0.167	0.180	0.171	0.176	0	0.170
WT6	0.143	0.136	0.202	0.187	0.216	0.165	0.128	0.134	0.156	0.133	0.122	0.129	0.150	0.170	0.128	0.149	0.170	0
