jaccard	KO1	KO6	KO4	OE1	OE6	OE3	OE4	OE5	WT3	WT6	WT1	WT4	WT2	WT5	OE2	KO2	KO5	KO3
KO1	0	0.433	0.461	0.496	0.470	0.498	0.467	0.450	0.471	0.468	0.466	0.479	0.479	0.500	0.527	0.459	0.514	0.504
KO6	0.433	0	0.441	0.554	0.531	0.541	0.509	0.485	0.518	0.520	0.515	0.504	0.505	0.514	0.584	0.485	0.511	0.504
KO4	0.461	0.441	0	0.575	0.563	0.545	0.512	0.500	0.532	0.508	0.495	0.524	0.494	0.515	0.569	0.521	0.491	0.492
OE1	0.496	0.554	0.575	0	0.407	0.516	0.466	0.446	0.427	0.458	0.512	0.497	0.553	0.550	0.470	0.485	0.650	0.594
OE6	0.470	0.531	0.563	0.407	0	0.494	0.463	0.429	0.444	0.473	0.500	0.486	0.550	0.538	0.485	0.478	0.639	0.577
OE3	0.498	0.541	0.545	0.516	0.494	0	0.418	0.456	0.466	0.457	0.447	0.484	0.489	0.491	0.500	0.510	0.612	0.536
OE4	0.467	0.509	0.512	0.466	0.463	0.418	0	0.413	0.423	0.438	0.433	0.443	0.462	0.463	0.455	0.495	0.575	0.532
OE5	0.450	0.485	0.500	0.446	0.429	0.456	0.413	0	0.393	0.402	0.433	0.431	0.471	0.438	0.440	0.451	0.567	0.515
WT3	0.471	0.518	0.532	0.427	0.444	0.466	0.423	0.393	0	0.404	0.429	0.424	0.467	0.474	0.463	0.455	0.583	0.535
WT6	0.468	0.520	0.508	0.458	0.473	0.457	0.438	0.402	0.404	0	0.424	0.449	0.480	0.447	0.450	0.472	0.556	0.501
WT1	0.466	0.515	0.495	0.512	0.500	0.447	0.433	0.433	0.429	0.424	0	0.464	0.426	0.439	0.489	0.466	0.556	0.542
WT4	0.479	0.504	0.524	0.497	0.486	0.484	0.443	0.431	0.424	0.449	0.464	0	0.455	0.490	0.523	0.462	0.581	0.523
WT2	0.479	0.505	0.494	0.553	0.550	0.489	0.462	0.471	0.467	0.480	0.426	0.455	0	0.454	0.557	0.521	0.526	0.521
WT5	0.500	0.514	0.515	0.550	0.538	0.491	0.463	0.438	0.474	0.447	0.439	0.490	0.454	0	0.525	0.513	0.546	0.519
OE2	0.527	0.584	0.569	0.470	0.485	0.500	0.455	0.440	0.463	0.450	0.489	0.523	0.557	0.525	0	0.509	0.616	0.573
KO2	0.459	0.485	0.521	0.485	0.478	0.510	0.495	0.451	0.455	0.472	0.466	0.462	0.521	0.513	0.509	0	0.611	0.530
KO5	0.514	0.511	0.491	0.650	0.639	0.612	0.575	0.567	0.583	0.556	0.556	0.581	0.526	0.546	0.616	0.611	0	0.503
KO3	0.504	0.504	0.492	0.594	0.577	0.536	0.532	0.515	0.535	0.501	0.542	0.523	0.521	0.519	0.573	0.530	0.503	0
