jaccard	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.459	0.504	0.461	0.514	0.433	0.496	0.527	0.498	0.467	0.450	0.470	0.466	0.479	0.471	0.479	0.500	0.468
KO2	0.459	0	0.530	0.521	0.611	0.485	0.485	0.509	0.510	0.495	0.451	0.478	0.466	0.521	0.455	0.462	0.513	0.472
KO3	0.504	0.530	0	0.492	0.503	0.504	0.594	0.573	0.536	0.532	0.515	0.577	0.542	0.521	0.535	0.523	0.519	0.501
KO4	0.461	0.521	0.492	0	0.491	0.441	0.575	0.569	0.545	0.512	0.500	0.563	0.495	0.494	0.532	0.524	0.515	0.508
KO5	0.514	0.611	0.503	0.491	0	0.511	0.650	0.616	0.612	0.575	0.567	0.639	0.556	0.526	0.583	0.581	0.546	0.556
KO6	0.433	0.485	0.504	0.441	0.511	0	0.554	0.584	0.541	0.509	0.485	0.531	0.515	0.505	0.518	0.504	0.514	0.520
OE1	0.496	0.485	0.594	0.575	0.650	0.554	0	0.470	0.516	0.466	0.446	0.407	0.512	0.553	0.427	0.497	0.550	0.458
OE2	0.527	0.509	0.573	0.569	0.616	0.584	0.470	0	0.500	0.455	0.440	0.485	0.489	0.557	0.463	0.523	0.525	0.450
OE3	0.498	0.510	0.536	0.545	0.612	0.541	0.516	0.500	0	0.418	0.456	0.494	0.447	0.489	0.466	0.484	0.491	0.457
OE4	0.467	0.495	0.532	0.512	0.575	0.509	0.466	0.455	0.418	0	0.413	0.463	0.433	0.462	0.423	0.443	0.463	0.438
OE5	0.450	0.451	0.515	0.500	0.567	0.485	0.446	0.440	0.456	0.413	0	0.429	0.433	0.471	0.393	0.431	0.438	0.402
OE6	0.470	0.478	0.577	0.563	0.639	0.531	0.407	0.485	0.494	0.463	0.429	0	0.500	0.550	0.444	0.486	0.538	0.473
WT1	0.466	0.466	0.542	0.495	0.556	0.515	0.512	0.489	0.447	0.433	0.433	0.500	0	0.426	0.429	0.464	0.439	0.424
WT2	0.479	0.521	0.521	0.494	0.526	0.505	0.553	0.557	0.489	0.462	0.471	0.550	0.426	0	0.467	0.455	0.454	0.480
WT3	0.471	0.455	0.535	0.532	0.583	0.518	0.427	0.463	0.466	0.423	0.393	0.444	0.429	0.467	0	0.424	0.474	0.404
WT4	0.479	0.462	0.523	0.524	0.581	0.504	0.497	0.523	0.484	0.443	0.431	0.486	0.464	0.455	0.424	0	0.490	0.449
WT5	0.500	0.513	0.519	0.515	0.546	0.514	0.550	0.525	0.491	0.463	0.438	0.538	0.439	0.454	0.474	0.490	0	0.447
WT6	0.468	0.472	0.501	0.508	0.556	0.520	0.458	0.450	0.457	0.438	0.402	0.473	0.424	0.480	0.404	0.449	0.447	0
