manhatten	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	315.0	415.0	408.0	426.0	366.0	319.0	316.0	340.0	310.0	335.0	318.0	354.0	392.0	333.0	343.0	394.0	317.0
KO2	315.0	0	394.0	369.0	427.0	341.0	308.0	313.0	327.0	329.0	324.0	303.0	343.0	361.0	326.0	348.0	381.0	300.0
KO3	415.0	394.0	0	411.0	413.0	415.0	440.0	421.0	445.0	421.0	410.0	405.0	431.0	441.0	414.0	416.0	427.0	418.0
KO4	408.0	369.0	411.0	0	448.0	374.0	429.0	396.0	412.0	390.0	383.0	396.0	402.0	408.0	381.0	393.0	414.0	393.0
KO5	426.0	427.0	413.0	448.0	0	408.0	483.0	422.0	468.0	446.0	409.0	444.0	458.0	430.0	479.0	437.0	438.0	439.0
KO6	366.0	341.0	415.0	374.0	408.0	0	365.0	360.0	380.0	366.0	331.0	362.0	398.0	400.0	369.0	365.0	382.0	355.0
OE1	319.0	308.0	440.0	429.0	483.0	365.0	0	293.0	313.0	279.0	296.0	257.0	333.0	387.0	304.0	330.0	367.0	292.0
OE2	316.0	313.0	421.0	396.0	422.0	360.0	293.0	0	306.0	292.0	251.0	256.0	306.0	354.0	287.0	311.0	348.0	307.0
OE3	340.0	327.0	445.0	412.0	468.0	380.0	313.0	306.0	0	300.0	317.0	282.0	336.0	378.0	327.0	357.0	374.0	347.0
OE4	310.0	329.0	421.0	390.0	446.0	366.0	279.0	292.0	300.0	0	297.0	284.0	332.0	374.0	309.0	325.0	354.0	299.0
OE5	335.0	324.0	410.0	383.0	409.0	331.0	296.0	251.0	317.0	297.0	0	251.0	313.0	343.0	290.0	310.0	347.0	278.0
OE6	318.0	303.0	405.0	396.0	444.0	362.0	257.0	256.0	282.0	284.0	251.0	0	294.0	358.0	285.0	313.0	360.0	297.0
WT1	354.0	343.0	431.0	402.0	458.0	398.0	333.0	306.0	336.0	332.0	313.0	294.0	0	360.0	315.0	341.0	354.0	333.0
WT2	392.0	361.0	441.0	408.0	430.0	400.0	387.0	354.0	378.0	374.0	343.0	358.0	360.0	0	361.0	359.0	370.0	365.0
WT3	333.0	326.0	414.0	381.0	479.0	369.0	304.0	287.0	327.0	309.0	290.0	285.0	315.0	361.0	0	322.0	367.0	288.0
WT4	343.0	348.0	416.0	393.0	437.0	365.0	330.0	311.0	357.0	325.0	310.0	313.0	341.0	359.0	322.0	0	373.0	330.0
WT5	394.0	381.0	427.0	414.0	438.0	382.0	367.0	348.0	374.0	354.0	347.0	360.0	354.0	370.0	367.0	373.0	0	365.0
WT6	317.0	300.0	418.0	393.0	439.0	355.0	292.0	307.0	347.0	299.0	278.0	297.0	333.0	365.0	288.0	330.0	365.0	0
