unifrac	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.159	0.166	0.112	0.201	0.0922	0.169	0.218	0.173	0.137	0.123	0.156	0.159	0.107	0.130	0.137	0.139	0.131
KO2	0.159	0	0.197	0.191	0.329	0.210	0.170	0.155	0.206	0.176	0.126	0.153	0.150	0.216	0.132	0.155	0.149	0.143
KO3	0.166	0.197	0	0.128	0.205	0.150	0.240	0.198	0.186	0.181	0.159	0.222	0.161	0.178	0.164	0.162	0.127	0.135
KO4	0.112	0.191	0.128	0	0.177	0.103	0.210	0.231	0.212	0.181	0.149	0.204	0.164	0.143	0.160	0.147	0.135	0.152
KO5	0.201	0.329	0.205	0.177	0	0.159	0.331	0.341	0.299	0.265	0.269	0.312	0.277	0.182	0.286	0.274	0.238	0.258
KO6	0.0922	0.210	0.150	0.103	0.159	0	0.222	0.273	0.235	0.190	0.171	0.210	0.213	0.141	0.194	0.189	0.181	0.188
OE1	0.169	0.170	0.240	0.210	0.331	0.222	0	0.177	0.199	0.160	0.130	0.0829	0.214	0.227	0.139	0.179	0.208	0.155
OE2	0.218	0.155	0.198	0.231	0.341	0.273	0.177	0	0.173	0.149	0.142	0.153	0.158	0.222	0.154	0.185	0.165	0.143
OE3	0.173	0.206	0.186	0.212	0.299	0.235	0.199	0.173	0	0.108	0.147	0.178	0.141	0.165	0.132	0.133	0.153	0.129
OE4	0.137	0.176	0.181	0.181	0.265	0.190	0.160	0.149	0.108	0	0.123	0.142	0.122	0.138	0.108	0.127	0.128	0.113
OE5	0.123	0.126	0.159	0.149	0.269	0.171	0.130	0.142	0.147	0.123	0	0.0991	0.129	0.163	0.0756	0.0954	0.111	0.0732
OE6	0.156	0.153	0.222	0.204	0.312	0.210	0.0829	0.153	0.178	0.142	0.0991	0	0.194	0.208	0.123	0.158	0.176	0.131
WT1	0.159	0.150	0.161	0.164	0.277	0.213	0.214	0.158	0.141	0.122	0.129	0.194	0	0.137	0.103	0.115	0.0878	0.108
WT2	0.107	0.216	0.178	0.143	0.182	0.141	0.227	0.222	0.165	0.138	0.163	0.208	0.137	0	0.152	0.139	0.126	0.140
WT3	0.130	0.132	0.164	0.160	0.286	0.194	0.139	0.154	0.132	0.108	0.0756	0.123	0.103	0.152	0	0.09	0.115	0.0611
WT4	0.137	0.155	0.162	0.147	0.274	0.189	0.179	0.185	0.133	0.127	0.0954	0.158	0.115	0.139	0.09	0	0.106	0.0969
WT5	0.139	0.149	0.127	0.135	0.238	0.181	0.208	0.165	0.153	0.128	0.111	0.176	0.0878	0.126	0.115	0.106	0	0.0974
WT6	0.131	0.143	0.135	0.152	0.258	0.188	0.155	0.143	0.129	0.113	0.0732	0.131	0.108	0.140	0.0611	0.0969	0.0974	0
