#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_2	618	358	686	633	763	527	224	157	384	404	316	231	379	470	249	334	431	354
ASV_3	197	158	292	236	340	263	191	147	339	337	279	230	280	534	329	352	351	236
ASV_4	477	120	136	207	357	151	192	184	119	194	182	122	307	399	173	164	325	242
ASV_8	175	168	171	117	53	87	124	177	482	272	191	184	195	233	175	307	138	156
ASV_6	276	198	243	241	404	322	89	96	102	129	129	134	157	157	130	155	140	138
ASV_7	73	40	308	110	325	60	44	414	263	157	57	74	228	262	171	71	167	234
ASV_18	152	299	83	113	70	157	142	127	116	175	215	131	233	186	235	119	192	126
ASV_9	111	242	103	133	59	160	112	142	205	140	188	140	165	100	126	128	218	173
ASV_10	100	109	187	217	278	202	62	62	79	98	123	101	119	173	77	81	166	79
ASV_11	96	127	78	100	145	105	161	125	77	143	97	60	119	151	149	125	90	118
ASV_14	64	54	99	98	155	86	63	166	152	102	158	66	118	88	133	86	162	167
ASV_12	102	108	89	111	120	105	75	65	105	111	105	85	110	162	133	157	85	99
ASV_15	96	136	120	111	106	120	132	99	92	81	116	127	85	72	98	117	100	113
ASV_13	6	39	189	85	41	68	65	254	181	163	115	48	79	82	66	46	153	175
ASV_16	70	68	134	82	40	65	63	86	202	104	70	56	135	99	76	101	228	113
ASV_17	150	90	99	130	121	186	54	38	72	72	75	56	109	82	91	100	85	87
ASV_28	98	101	22	143	37	67	58	105	42	81	88	68	127	129	70	100	138	75
ASV_20	55	128	22	80	53	50	24	56	11	65	33	36	70	90	26	32	473	40
ASV_30	74	70	43	42	21	55	102	61	65	56	80	97	65	65	100	86	62	109
ASV_23	42	40	308	21	4	17	103	61	27	62	59	49	50	10	90	76	66	116
ASV_21	44	109	54	37	29	36	72	70	53	49	61	71	63	96	58	84	121	66
ASV_1276	61	66	77	70	64	69	81	62	44	60	57	78	49	55	73	40	49	60
ASV_29	67	52	48	92	18	77	61	80	77	74	86	56	74	63	66	61	77	33
ASV_22	55	44	140	135	110	71	35	26	43	30	36	53	33	76	36	70	36	39
ASV_113	24	28	5	337	144	9	34	57	24	57	28	31	90	11	34	37	23	59
ASV_26	59	61	44	99	11	8	64	92	94	36	54	44	122	22	48	26	4	197
ASV_24	40	133	128	31	51	93	24	29	19	39	56	14	51	63	41	152	41	39
ASV_31	37	29	93	60	98	62	47	53	25	50	58	27	44	69	29	54	92	56
ASV_27	58	73	52	33	39	64	99	46	48	35	48	76	62	51	68	61	40	69
ASV_34	71	46	48	39	22	48	76	52	44	59	48	79	58	58	76	43	41	61
