Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Unassigned	7.65	8.11	6.49	5.98	5.56	8	10.3	7.9	7.28	7.92	7.86	9.1	7.83	6.57	9.44	7.07	6.77	7.91	14.0
Comamonadaceae	27.5	17.9	24.4	24.8	34.8	25.7	16.4	14.4	20.6	21.4	21	16.6	21.5	27.8	21.3	22.6	23.6	21.1	6.2
Micromonosporaceae	5.43	7.66	4.45	4.4	2.35	4.59	5.48	7.43	7.3	5.17	6.04	5.38	5.76	4.71	5.73	4.85	5.52	5.86	4.7
Steroidobacteraceae	3.58	3.37	2.51	2.49	1.12	2.59	4.85	3.39	3.58	3.07	3.84	4.42	2.76	3.5	4.4	4.13	3.18	4.9	3.7
Nocardioidaceae	2.15	3.32	3.4	2.49	2.33	2.77	1.89	3.4	2.14	1.96	2.97	2.16	2.05	1.67	2.76	2.48	2.2	2.23	3.3
Oxalobacteraceae	7.25	5.18	4.56	8.37	8.48	10.1	5.06	3.72	5.91	5.48	4.52	5.39	7.02	8.61	5.34	5.4	5.65	5.58	3.2
Pseudonocardiaceae	6.07	12	9.09	9.11	5.32	5.81	6.34	7.03	5.06	6.19	7.26	6.18	9.77	6.6	8.07	8.67	9.75	8.84	3.1
Xanthomonadaceae	1.91	1.43	2.01	2.27	2.39	2.78	1.46	1.57	1.97	1.71	3.09	2.26	1.45	1.82	2	2.44	1.97	2.41	2.7
Hyphomicrobiaceae	1.37	1.41	1.54	0.98	0.88	1.24	1.89	1.25	0.82	1.04	1.23	1.59	0.96	0.83	0.99	0.91	0.67	1.21	2.6
Polyangiaceae	2.49	1.47	0.96	1.22	0.71	2.26	2.03	1.26	1.63	1.8	1.56	2.02	1.24	0.91	1.69	1.37	1.02	1.5	2.6
Gaiellaceae	0.47	0.86	0.44	0.69	0.33	0.59	0.78	1.13	0.64	0.89	0.81	0.87	0.9	0.64	0.79	0.75	0.68	0.66	2.4
Sphingomonadaceae	1.77	1.89	3.22	2.86	3.3	2.59	1.59	1.35	1.19	1.41	1.73	1.92	1.1	1.59	1.21	2.07	1.86	1.44	2.1
