,Group,Family,Abundance(%)
1,KO,Comamonadaceae,11.374443776024
2,KO,Flavobacteriaceae,3.11660693912981
3,KO,Micromonosporaceae,4.44708605751009
4,KO,Nocardioidaceae,3.13233507787237
5,KO,others,23.7399752032943
6,KO,Oxalobacteraceae,6.80675407474473
7,KO,Pseudomonadaceae,5.07971095884166
8,KO,Pseudonocardiaceae,7.23515198051515
9,KO,Rhizobiaceae,3.86891664291457
10,KO,Sinobacteraceae,2.7556300182782
11,KO,Streptomycetaceae,2.39855201385131
12,KO,Thermomonosporaceae,4.04025819012633
13,KO,Unassigned,22.0045790668975
14,OE,Comamonadaceae,7.49584516462827
15,OE,Flavobacteriaceae,3.70573830316728
16,OE,Micromonosporaceae,5.3373499027248
17,OE,Nocardioidaceae,2.85491094269651
18,OE,others,25.6672048921164
19,OE,Oxalobacteraceae,4.28894384222848
20,OE,Pseudomonadaceae,5.71223271430573
21,OE,Pseudonocardiaceae,5.55424975360381
22,OE,Rhizobiaceae,2.70726704728808
23,OE,Sinobacteraceae,4.20272214273568
24,OE,Streptomycetaceae,4.16329371725686
25,OE,Thermomonosporaceae,4.51426047738927
26,OE,Unassigned,23.7959810998588
27,WT,Comamonadaceae,8.72686739536774
28,WT,Flavobacteriaceae,3.26529383588722
29,WT,Micromonosporaceae,4.92261756834026
30,WT,Nocardioidaceae,2.77104042028917
31,WT,others,21.8839387334678
32,WT,Oxalobacteraceae,5.5686673171969
33,WT,Pseudomonadaceae,6.40085359179982
34,WT,Pseudonocardiaceae,7.51690821646518
35,WT,Rhizobiaceae,2.73043986962698
36,WT,Sinobacteraceae,4.17458807368153
37,WT,Streptomycetaceae,4.01092346275572
38,WT,Thermomonosporaceae,6.25976255162055
39,WT,Unassigned,21.7680989635012
