,ID,group,dd,stat,y
1,KO1,KO,9.02744342802118e-05,a,0.000909435392194013
2,KO2,KO,0.00030441400304414,a,0.000909435392194013
3,KO3,KO,5.1346563631229e-05,a,0.000909435392194013
4,KO4,KO,0.00010497034587729,a,0.000909435392194013
5,KO5,KO,0,a,0.000909435392194013
6,KO6,KO,0.000866128944946679,a,0.000909435392194013
7,OE1,OE,0.000184973949502112,a,0.000228280396749446
8,OE2,OE,6.02627455706882e-05,a,0.000228280396749446
9,OE3,OE,5.77500577500577e-05,a,0.000228280396749446
10,OE4,OE,9.10691518426325e-05,a,0.000228280396749446
11,OE5,OE,9.0049527239982e-05,a,0.000228280396749446
12,OE6,OE,9.36066647945334e-05,a,0.000228280396749446
