,ID,group,dd,stat,y
1,KO1,KO,0.989046701974001,b,0.998910994010192
2,KO2,KO,0.98107098381071,b,0.998910994010192
3,KO3,KO,0.983261020256219,b,0.998910994010192
4,KO4,KO,0.992914501653283,b,0.998910994010192
5,KO5,KO,0.996611039794609,b,0.998910994010192
6,KO6,KO,0.988604991068045,b,0.998910994010192
7,OE1,OE,0.950611955482936,a,0.981885308800938
8,OE2,OE,0.968783897794384,a,0.981885308800938
9,OE3,OE,0.979585354585355,a,0.981885308800938
10,OE4,OE,0.972132839536154,a,0.981885308800938
11,OE5,OE,0.979348641752964,a,0.981885308800938
12,OE6,OE,0.974102156073512,a,0.981885308800938
13,WT1,WT,0.982940720340116,a,0.990863790931138
14,WT2,WT,0.988563836715555,a,0.990863790931138
15,WT3,WT,0.97276679517677,a,0.990863790931138
16,WT4,WT,0.97342759629449,a,0.990863790931138
17,WT5,WT,0.985913989969053,a,0.990863790931138
18,WT6,WT,0.980508656844822,a,0.990863790931138
