,Sample,Abundance,aa,Group
1,WT3,0.028253994294516,Umezawaea,WT
2,WT4,0.0261841558769886,Unassigned,WT
3,WT6,0.0156826898949708,Unassigned,WT
4,WT3,0.00774706295172213,Mangrovibacterium,WT
5,WT3,0.00592422461014045,Unassigned,WT
6,WT6,0.00358461483313618,Gp10,WT
7,WT1,0.00178257885683218,Unassigned,WT
8,WT3,0.000455709585395419,Gp10,WT
9,WT1,0,Gp10,WT
10,WT2,0,Gp10,WT
11,WT4,0,Gp10,WT
12,WT5,0,Gp10,WT
13,WT1,0,Mangrovibacterium,WT
14,WT2,0,Mangrovibacterium,WT
15,WT4,0,Mangrovibacterium,WT
16,WT5,0,Mangrovibacterium,WT
17,WT6,0,Mangrovibacterium,WT
18,WT1,0,Umezawaea,WT
19,WT2,0,Umezawaea,WT
20,WT4,0,Umezawaea,WT
21,WT5,0,Umezawaea,WT
22,WT6,0,Umezawaea,WT
23,WT2,0,Unassigned,WT
24,WT5,0,Unassigned,WT
