"","ID","group","pd"
"KO1","KO1","KO",90.2860857187
"KO2","KO2","KO",90.5070211957
"KO3","KO3","KO",84.2421059787
"KO4","KO4","KO",83.5478594197
"KO5","KO5","KO",82.9911842007
"KO6","KO6","KO",87.1686520517
"OE1","OE1","OE",94.7110002127
"OE2","OE2","OE",93.0703448387
"OE3","OE3","OE",92.2966474457
"OE4","OE4","OE",92.6287525887
"OE5","OE5","OE",92.4931383447
"OE6","OE6","OE",94.4698507127
"WT1","WT1","WT",90.6543491337
"WT2","WT2","WT",89.2621838667
"WT3","WT3","WT",93.8273998167
"WT4","WT4","WT",92.4076785007
"WT5","WT5","WT",89.9483634037
"WT6","WT6","WT",92.6366337837
