"","x","y","Group","ID"
"KO1",-0.0629033076658779,-0.0521873351280895,"KO","KO1"
"KO2",0.0502162943917261,-0.135013610875463,"KO","KO2"
"KO3",-0.228053117260017,-0.144024138927332,"KO","KO3"
"KO4",-0.178474469945737,0.00588431813712697,"KO","KO4"
"KO5",-0.370020045836252,0.0658126923404994,"KO","KO5"
"KO6",-0.151997590938182,-0.0714371642487466,"KO","KO6"
"OE1",0.198640993451224,-0.0756828356709585,"OE","OE1"
"OE2",0.221491477869082,0.0421458705181678,"OE","OE2"
"OE3",0.103868565140189,0.101575715911714,"OE","OE3"
"OE4",0.0792860374292067,0.0518810118347762,"OE","OE4"
"OE5",0.0576413306671243,-0.00728199062192488,"OE","OE5"
"OE6",0.166383372319622,-0.081149569930268,"OE","OE6"
"WT1",0.0252939032334936,0.0847936592802841,"WT","WT1"
"WT2",-0.0367389872723177,0.142101631936995,"WT","WT2"
"WT3",0.0905666045437342,-0.0119157793234296,"WT","WT3"
"WT4",0.0407167467479919,-0.0314284475151956,"WT","WT4"
"WT5",-0.0520429239637954,0.0994209687113879,"WT","WT5"
"WT6",0.0461251170887841,0.0165050035704568,"WT","WT6"
