"","id","Abundance","Group","Kingdom","Phylum","Class"
"171","KO2",40.517503805175,"KO","Bacteria","Actinobacteria","Actinobacteria"
"254","KO5",35.6688061617458,"KO","Bacteria","Proteobacteria","Betaproteobacteria"
"163","OE2",34.8439194889719,"OE","Bacteria","Actinobacteria","Actinobacteria"
"173","WT1",34.8378298884997,"WT","Bacteria","Actinobacteria","Actinobacteria"
"180","WT4",33.8317351969229,"WT","Bacteria","Actinobacteria","Actinobacteria"
"177","WT5",33.4169245544766,"WT","Bacteria","Actinobacteria","Actinobacteria"
"169","OE3",32.8251328251328,"OE","Bacteria","Actinobacteria","Actinobacteria"
"179","WT3",31.774806551281,"WT","Bacteria","Actinobacteria","Actinobacteria"
"270","KO6",31.6597195907541,"KO","Bacteria","Proteobacteria","Betaproteobacteria"
"168","WT6",31.0517259920422,"WT","Bacteria","Actinobacteria","Actinobacteria"
"174","OE5",29.90244634549,"OE","Bacteria","Actinobacteria","Actinobacteria"
"164","WT2",29.4839398754787,"WT","Bacteria","Actinobacteria","Actinobacteria"
"166","OE6",28.9837436425473,"OE","Bacteria","Actinobacteria","Actinobacteria"
"256","KO1",28.3401540683678,"KO","Bacteria","Proteobacteria","Betaproteobacteria"
"172","OE1",28.2177759965472,"OE","Bacteria","Actinobacteria","Actinobacteria"
"165","KO4",28.1714165748176,"KO","Bacteria","Actinobacteria","Actinobacteria"
"257","KO4",27.9877184695324,"KO","Bacteria","Proteobacteria","Betaproteobacteria"
"167","KO3",27.9273959590254,"KO","Bacteria","Actinobacteria","Actinobacteria"
"178","OE4",27.4027077894481,"OE","Bacteria","Actinobacteria","Actinobacteria"
"255","WT2",25.6128376794227,"WT","Bacteria","Proteobacteria","Betaproteobacteria"
"175","KO1",25.5446557534906,"KO","Bacteria","Actinobacteria","Actinobacteria"
"262","KO3",25.131575569305,"KO","Bacteria","Proteobacteria","Betaproteobacteria"
"176","KO6",23.5803605261733,"KO","Bacteria","Actinobacteria","Actinobacteria"
"260","WT5",22.8951019101483,"WT","Bacteria","Proteobacteria","Betaproteobacteria"
"268","WT4",22.1517958719324,"WT","Bacteria","Proteobacteria","Betaproteobacteria"
"253","WT1",22.0995213775769,"WT","Bacteria","Proteobacteria","Betaproteobacteria"
"263","OE4",21.9719507012325,"OE","Bacteria","Proteobacteria","Betaproteobacteria"
"269","WT6",21.5426389934402,"WT","Bacteria","Proteobacteria","Betaproteobacteria"
"261","WT3",21.4885297897356,"WT","Bacteria","Proteobacteria","Betaproteobacteria"
"267","OE3",21.4454839454839,"OE","Bacteria","Proteobacteria","Betaproteobacteria"
"259","OE5",20.9725348941918,"OE","Bacteria","Proteobacteria","Betaproteobacteria"
"181","KO3",20.9699365869939,"KO","Bacteria","Proteobacteria","Alphaproteobacteria"
"191","KO5",20.2207958921694,"KO","Bacteria","Proteobacteria","Alphaproteobacteria"
"266","KO2",19.9003735990037,"KO","Bacteria","Proteobacteria","Betaproteobacteria"
"186","KO6",19.831646186326,"KO","Bacteria","Proteobacteria","Alphaproteobacteria"
"265","OE6",18.7306936253861,"OE","Bacteria","Proteobacteria","Betaproteobacteria"
"194","KO4",18.1677426127119,"KO","Bacteria","Proteobacteria","Alphaproteobacteria"
"189","OE1",17.9147270092795,"OE","Bacteria","Proteobacteria","Alphaproteobacteria"
"196","OE5",17.6286957826805,"OE","Bacteria","Proteobacteria","Alphaproteobacteria"
"264","OE1",17.4214631439406,"OE","Bacteria","Proteobacteria","Betaproteobacteria"
"192","KO1",17.2995907558979,"KO","Bacteria","Proteobacteria","Alphaproteobacteria"
"170","KO5",17.1501925545571,"KO","Bacteria","Actinobacteria","Actinobacteria"
"183","OE6",16.8086367749384,"OE","Bacteria","Proteobacteria","Alphaproteobacteria"
"184","KO2",15.8295281582953,"KO","Bacteria","Proteobacteria","Alphaproteobacteria"
"432","WT2",15.737098496887,"WT","Bacteria","Proteobacteria","Gammaproteobacteria"
"185","WT6",15.3403591784063,"WT","Bacteria","Proteobacteria","Alphaproteobacteria"
"193","WT4",15.2852267186738,"WT","Bacteria","Proteobacteria","Alphaproteobacteria"
"188","OE2",15.0235024707726,"OE","Bacteria","Proteobacteria","Alphaproteobacteria"
"258","OE2",14.9963842352658,"OE","Bacteria","Proteobacteria","Betaproteobacteria"
"190","WT5",14.7342866289617,"WT","Bacteria","Proteobacteria","Alphaproteobacteria"
"195","WT3",14.4860963005496,"WT","Bacteria","Proteobacteria","Alphaproteobacteria"
"430","OE6",14.2999781584449,"OE","Bacteria","Proteobacteria","Gammaproteobacteria"
