"","id","Abundance","Group","Kingdom","Phylum","Class","Order","Family"
"1795","OE1",27.6258593581404,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1786","OE6",26.1537021435926,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1787","WT3",26.1203620156946,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1793","KO1",24.7201492537313,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1799","KO6",23.6967466031505,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1791","KO2",23.5976200359762,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1796","OE4",23.5838746888471,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1792","WT4",22.6041497372555,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1798","WT6",22.599204215507,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1784","OE5",22.4373405372955,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1789","OE2",21.7548511510184,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1785","OE3",21.2202587202587,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1794","WT1",21.0166047220514,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1783","KO4",20.408859497192,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1797","KO3",20.3435085106929,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1790","WT2",19.7697137051606,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1800","KO5",19.2605905006419,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1788","WT5",18.4985593853377,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"384","KO5",15.0064184852375,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"383","KO1",11.5551275878671,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"386","KO6",11.5303415796027,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"381","KO3",11.3527252188647,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"390","KO4",11.155723508109,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1415","KO2",11.0004151100042,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"394","WT5",9.84953580194216,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1182","KO6",9.47599198830726,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"385","WT2",9.1254851902988,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"389","OE5",8.92090649857422,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1394","WT2",8.90145101206137,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"382","OE3",8.87618387618387,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"388","OE4",8.78513751441928,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"392","WT4",8.70578037813533,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1405","WT5",8.69971187706755,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"395","WT6",8.57887944940316,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1413","KO4",8.5052222747074,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"379","WT1",8.497553410519,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1410","WT1",8.49487954223375,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"1416","KO3",8.43880773279248,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"1181","KO5",8.26444159178434,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"1703","OE3",8.21783321783322,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"1393","KO5",8.00256739409499,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1770","WT2",7.96623857034934,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"1401","OE4",7.64677311638638,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"380","KO2",7.64632627646326,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1414","WT6",7.61909882783095,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"396","WT3",7.60397014190796,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1411","WT4",7.50853242320819,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"1183","KO4",7.43452474675904,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"1188","WT2",7.42438846484487,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"1399","WT5",7.41916551061786,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1777","WT1",7.4066151501377,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"960","KO2",7.16479867164799,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"1412","WT3",7.08719547206956,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"1173","KO1",7.0323784304285,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"588","KO3",6.85476624476907,"KO","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
"1391","KO1",6.61410688493019,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"966","OE3",6.6008316008316,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"387","OE6",6.53998564697807,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1396","WT1",6.46273964544506,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
