"","id","Abundance","Group","Kingdom","Phylum"
"215","KO5",73.6200256739409,"KO","Bacteria","Proteobacteria"
"200","KO6",68.0993882964326,"KO","Bacteria","Proteobacteria"
"210","KO1",65.5332209918151,"KO","Bacteria","Proteobacteria"
"206","KO4",61.8773946360153,"KO","Bacteria","Proteobacteria"
"204","KO3",61.0561988138944,"KO","Bacteria","Proteobacteria"
"209","WT2",60.3667908406492,"WT","Bacteria","Proteobacteria"
"201","OE5",58.8653759567762,"OE","Bacteria","Proteobacteria"
"214","WT6",57.0598989138617,"WT","Bacteria","Proteobacteria"
"212","WT5",57.0483406253335,"WT","Bacteria","Proteobacteria"
"202","OE1",56.6051114468046,"OE","Bacteria","Proteobacteria"
"216","OE4",56.5600145710643,"OE","Bacteria","Proteobacteria"
"203","OE6",56.198321320478,"OE","Bacteria","Proteobacteria"
"211","WT3",55.8636152352829,"WT","Bacteria","Proteobacteria"
"205","WT4",55.8562218971775,"WT","Bacteria","Proteobacteria"
"213","WT1",51.1591219016551,"WT","Bacteria","Proteobacteria"
"207","OE3",50.9788634788635,"OE","Bacteria","Proteobacteria"
"199","KO2",49.6831326968313,"KO","Bacteria","Proteobacteria"
"208","OE2",47.4297939014102,"OE","Bacteria","Proteobacteria"
"22","KO2",40.5424104054241,"KO","Bacteria","Actinobacteria"
"35","OE2",34.8830902735929,"OE","Bacteria","Actinobacteria"
"36","WT1",34.8618947030669,"WT","Bacteria","Actinobacteria"
"31","WT4",33.875074489409,"WT","Bacteria","Actinobacteria"
"34","WT5",33.4302635791271,"WT","Bacteria","Actinobacteria"
"24","OE3",32.8626703626704,"OE","Bacteria","Actinobacteria"
"28","WT3",31.8103518989418,"WT","Bacteria","Actinobacteria"
"33","WT6",31.073233681041,"WT","Bacteria","Actinobacteria"
"30","OE5",29.94747110911,"OE","Bacteria","Actinobacteria"
"25","WT2",29.4995701669836,"WT","Bacteria","Actinobacteria"
"29","OE6",29.0648694187026,"OE","Bacteria","Actinobacteria"
"23","OE1",28.2979313746647,"OE","Bacteria","Actinobacteria"
"32","KO4",28.1792893507584,"KO","Bacteria","Actinobacteria"
"21","KO3",27.9427999281148,"KO","Bacteria","Actinobacteria"
"27","OE4",27.4269928966062,"OE","Bacteria","Actinobacteria"
"19","KO1",25.556692344728,"KO","Bacteria","Actinobacteria"
"20","KO6",23.602013749797,"KO","Bacteria","Actinobacteria"
"26","KO5",17.1553273427471,"KO","Bacteria","Actinobacteria"
"55","OE3",8.95703395703396,"OE","Bacteria","Bacteroidetes"
"70","OE2",8.08123418102929,"OE","Bacteria","Bacteroidetes"
"59","OE4",7.67712950033392,"OE","Bacteria","Bacteroidetes"
"67","KO3",7.50173294652255,"KO","Bacteria","Bacteroidetes"
"57","WT2",6.28077213640034,"WT","Bacteria","Bacteroidetes"
"65","WT6",6.11356059791375,"WT","Bacteria","Bacteroidetes"
"71","WT1",5.49212545789994,"WT","Bacteria","Bacteroidetes"
"58","KO5",5.201540436457,"KO","Bacteria","Bacteroidetes"
"69","WT3",5.11032729062423,"WT","Bacteria","Bacteroidetes"
"142","OE1",5.09603230878318,"OE","Bacteria","Firmicutes"
"139","OE6",4.88938812443446,"OE","Bacteria","Firmicutes"
"72","WT5",4.75936399530466,"WT","Bacteria","Bacteroidetes"
"68","WT4",4.40164689311447,"WT","Bacteria","Bacteroidetes"
"119","WT1",4.27551538811198,"WT","Bacteria","Chloroflexi"
"60","OE1",4.06326109072972,"OE","Bacteria","Bacteroidetes"
"62","OE5",3.92615938766322,"OE","Bacteria","Bacteroidetes"
"66","OE6",3.46032637523792,"OE","Bacteria","Bacteroidetes"
"137","OE4",3.24813308238723,"OE","Bacteria","Firmicutes"
"132","KO4",3.21209258384506,"KO","Bacteria","Firmicutes"
"64","KO4",3.14123760037789,"KO","Bacteria","Bacteroidetes"
"56","KO1",3.07534906114588,"KO","Bacteria","Bacteroidetes"
"136","OE2",2.70881041340243,"OE","Bacteria","Firmicutes"
"63","KO2",2.66500622665006,"KO","Bacteria","Bacteroidetes"
"118","OE2",2.58527178498252,"OE","Bacteria","Chloroflexi"
"127","OE3",2.45148995148995,"OE","Bacteria","Firmicutes"
"61","KO6",2.3926812104152,"KO","Bacteria","Bacteroidetes"
"253","KO6",2.37102798679153,"KO","Bacteria","Unassigned"
"255","KO2",2.24712882247129,"KO","Bacteria","Unassigned"
"260","OE1",2.23510188981718,"OE","Bacteria","Unassigned"
"259","OE2",2.17849825238038,"OE","Bacteria","Unassigned"
"265","OE4",2.02780644769595,"OE","Bacteria","Unassigned"
"125","WT5",2.01686052715825,"WT","Bacteria","Chloroflexi"
"141","KO2",1.99806281998063,"KO","Bacteria","Firmicutes"
"266","OE6",1.96261973852538,"OE","Bacteria","Unassigned"
"269","WT1",1.90379421909677,"WT","Bacteria","Unassigned"
"256","KO1",1.90178141550313,"KO","Bacteria","Unassigned"
"257","WT3",1.9003089710989,"WT","Bacteria","Unassigned"
