,logFC,level,p,Genus,ord
Enterobacteriales,-5.34119979271732,depleted,0.000286204542193618,Enterobacteriales,28.5284152257235
Oligoflexales,-2.38774026435863,depleted,0.00111238251886778,Oligoflexales,5.7013035700394
Planctomycetales,-1.87917137422606,depleted,2.88191839233585e-05,Planctomycetales,3.53128505371066
Opitutales,-1.84202166262087,depleted,5.05376116047224e-07,Opitutales,3.39304380556456
Oceanospirillales,1.71476559257543,enriched,0.0120543506332221,Oceanospirillales,2.94042103748055
Verrucomicrobiales,-1.54636327163878,depleted,0.000582507967370736,Verrucomicrobiales,2.3912393678734
Sphingomonadales,1.07986738943915,enriched,2.25013920775407e-05,Sphingomonadales,1.16611357877412
Sphingobacteriales,-1.06665848926396,depleted,9.32751844717765e-05,Sphingobacteriales,1.13776033271887
Cytophagales,-1.05405145943642,depleted,0.00112894766128376,Cytophagales,1.11102447914006
Burkholderiales,0.990895300615644,enriched,8.69253665573529e-06,Burkholderiales,0.981873496782167
Rhizobiales,0.677768862383179,enriched,0.00100413621878194,Rhizobiales,0.459370630816189
Caulobacterales,0.677183119437839,enriched,0.00130477504127718,Caulobacterales,0.458576977251562
