"","KO-OElogFC","KO-OElevel","KO-OEp","KO-WTlogFC","KO-WTlevel","KO-WTp","OE-WTlogFC","OE-WTlevel","OE-WTp","KO","OE","WT","phylum","class","order","family","genus"
"Achromobacter",-2.94606161482588,"depleted",0.000956980945639932,0.143305508362438,"nosig",0.870196330145325,3.08936712318832,"enriched",0.000585059060991507,0.000112958698890159,0.000976345567744068,0.000103162994910284,"Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter"
"Aciditerrimonas",-0.324522676712447,"nosig",0.526874501066511,-0.0832578729198003,"nosig",0.872966981860746,0.241264803792647,"nosig",0.636467454718177,0.000167746084091583,0.000238054455564909,0.000174419581993354,"Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobineae_incertae_sedis","Aciditerrimonas"
"Acidovorax",0.305525658085206,"nosig",0.633123278986358,-0.201868332307861,"nosig",0.750764647989339,-0.507393990393068,"nosig",0.427671849942104,0.000480652210517088,0.000433691067178294,0.000532503775569904,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Actinocorallia",0.136784529245262,"nosig",0.733474089840114,-0.63591079753726,"nosig",0.114014071931095,-0.772695326782521,"nosig",0.0553609184562034,0.00620338121655582,0.00628494608011092,0.00929708573190322,"Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Actinocorallia"
"Actinomadura",0.0815504130193608,"nosig",0.894414818398661,0.330718444120872,"nosig",0.59598787066422,0.249168031101511,"nosig",0.689987630913194,0.000145186539923586,0.000157298842573237,0.000111913917478525,"Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Actinomadura"
"Actinophytocola",0.188856829930332,"nosig",0.676711532266897,-0.100521534403882,"nosig",0.82426922906786,-0.289378364334214,"nosig",0.523062318677799,0.0133356433492877,0.0131242436924173,0.0141564902763845,"Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Actinophytocola"
"Actinoplanes",-0.0498087368281163,"nosig",0.864554618524012,-0.16371557919774,"nosig",0.575044753116401,-0.113906842369624,"nosig",0.696420173686382,0.0193596511662281,0.0222711816271088,0.0210758652500745,"Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Actinoplanes"
"Aeromicrobium",1.06091096857426,"enriched",0.000100410017841873,0.859742940478372,"enriched",0.00151937337147228,-0.201168028095892,"nosig",0.461667013244525,0.00499776696532881,0.0027159468125899,0.00273990918008326,"Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Aeromicrobium"
"Aggregicoccus",-1.29486055197947,"nosig",0.240121576400855,-2.52637820263105,"nosig",0.0155509418710201,-1.23151765065158,"nosig",0.187173646898086,9.38901076045439e-06,3.02917304562207e-05,7.28283612232858e-05,"Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Aggregicoccus"
"Agromyces",0.0624973759162164,"nosig",0.796971498706852,-0.0344948114010016,"nosig",0.887013376248819,-0.096992187317218,"nosig",0.689679209931057,0.00731976954190458,0.0078710717666488,0.00735580307370444,"Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Agromyces"
"Altererythrobacter",0.839059040497341,"nosig",0.0163409883607461,0.463556008290175,"nosig",0.180020683611728,-0.375503032207166,"nosig",0.284306099427955,0.00189719745416317,0.00122051472909508,0.0013702638394777,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter"
"Amaricoccus",-0.218324243785652,"nosig",0.54633162966277,0.321710951196577,"nosig",0.389206318543032,0.540035194982229,"nosig",0.143407890143695,0.000417294031659052,0.000544989293770821,0.000326935925736418,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus"
"Ammoniibacillus",1.0689722615877,"nosig",0.113653279378666,2.20276198469002,"enriched",0.00422149897999262,1.13378972310232,"nosig",0.175256726538255,9.29089295936865e-05,4.99212162882657e-05,1.78698002702584e-05,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Ammoniibacillus"
"Amycolatopsis",1.16274019067168,"enriched",0.00875321083378056,-0.37816605274046,"nosig",0.387354154261147,-1.54090624341214,"depleted",0.00057465543930511,0.0143382379615296,0.00702572334645353,0.0177220708860692,"Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Amycolatopsis"
"Aquabacterium",0.619598495511692,"nosig",0.101882808358504,0.438580510513143,"nosig",0.245691069802409,-0.181017984998549,"nosig",0.632226434683984,0.00577597914797597,0.00441509050022528,0.00437102182601304,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Aquabacterium"
"Aquihabitans",-1.27200952902917,"depleted",0.00110369309763576,-1.0253711831007,"nosig",0.00927998719582094,0.246638345928469,"nosig",0.498886610752975,0.000221193631878914,0.000601052784448317,0.000442499387443938,"Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Aquihabitans"
"Archangium",-6.12350030399272,"depleted",1.27115396269672e-09,-3.69712363108332,"depleted",0.0012528108363504,2.4263766729094,"enriched",0.000388867066724555,0,0.000264633239504618,4.03392826144615e-05,"Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Archangium"
"Arenimonas",0.264109744208592,"nosig",0.487459610606847,0.119224569216537,"nosig",0.753479166772132,-0.144885174992055,"nosig",0.703485937348334,0.00213661081932945,0.00204794610808774,0.00198712892552439,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"Aridibacter",-2.50985423126681,"depleted",0.00329608121130818,-2.2125399069168,"nosig",0.0117817463612854,0.297314324350007,"nosig",0.650502262993485,8.55787046092505e-06,7.62441956999955e-05,5.38995470398767e-05,"Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Aridibacter"
"Armatimonadetes_gp5",-1.58324639918712,"depleted",0.00788682329184399,-1.46625257810792,"nosig",0.0146776994446241,0.116993821079199,"nosig",0.822270407266712,4.96295174566028e-05,0.000175823449382737,0.000143951291244493,"Armatimonadetes","Unassigned","Unassigned","Unassigned","Armatimonadetes_gp5"
"Armatimonas/Armatimonadetes_gp1",-1.31025142748332,"nosig",0.0821350298192658,-1.05204348999617,"nosig",0.172803033746348,0.258207937487147,"nosig",0.70387315381343,2.63404076807634e-05,8.0637545905807e-05,5.7871866359429e-05,"Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas/Armatimonadetes_gp1"
"Arthrobacter",-0.85197327652587,"depleted",0.0078883340851295,-0.580325515698836,"nosig",0.0710904514894993,0.271647760827034,"nosig",0.388647597367141,0.00108414065312673,0.00220912480779033,0.00159506110488038,"Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter"
"Asticcacaulis",1.50936145421169,"nosig",0.0143622425846627,0.384028107802834,"nosig",0.515995390603606,-1.12533334640886,"nosig",0.068393264151979,0.000508867199355117,0.000205119451696995,0.000380072850909209,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"Azohydromonas",-1.05291046950664,"nosig",0.291979117301119,2.11317329459754,"nosig",0.0682891049577492,3.16608376410418,"nosig",0.00590448090346892,5.1678565080871e-05,0.000122603208582344,8.82251618168038e-06,"Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Azohydromonas"
"Bacillus",-1.42400683455408,"depleted",6.16807302661519e-05,0.622392735247178,"nosig",0.0773614220200749,2.04639956980126,"enriched",1.7059261830968e-08,0.00665811969996855,0.0200020161875192,0.00427635970187006,"Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus"
"Bacteriovorax",0.397628984698996,"nosig",0.475367777750112,-0.293732073856785,"nosig",0.579746939609835,-0.691361058555781,"nosig",0.205635379065185,0.000131579862415347,0.000115752131403943,0.000165146680294517,"Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax"
"Bauldia",-0.518114651328317,"nosig",0.264058085079141,0.0546104253771229,"nosig",0.911070720882173,0.57272507670544,"nosig",0.21915926652756,0.000135855782228524,0.00022199926931271,0.000130143040477583,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_incertae_sedis","Bauldia"
"Bdellovibrio",0.544124486832565,"nosig",0.12921571753356,0.255671107932429,"nosig",0.472409510702355,-0.288453378900136,"nosig",0.422803169812238,0.00138962180765013,0.001080938576631,0.00116373410985871,"Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Blastocatella",-1.62137076946816,"nosig",0.0564583946340768,-1.51736191373717,"nosig",0.077801732150414,0.104008855730989,"nosig",0.884152563267342,1.41386679832879e-05,5.59531951206991e-05,4.49122718063469e-05,"Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Blastocatella"
"Blastococcus",-0.62638709895269,"nosig",0.108095006792929,-0.118973386139384,"nosig",0.762765233682489,0.507413712813306,"nosig",0.191536604943165,0.000673313055579086,0.00119261293226616,0.000711017364993014,"Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Blastococcus"
"Blastopirellula",-2.00278099178197,"depleted",0.00339171967753225,-0.911725474636978,"nosig",0.175721401908549,1.09105551714499,"nosig",0.0990446869102222,0.000303456053791795,0.0013966776396024,0.000560512850308452,"Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Blastopirellula"
"Bosea",1.11565897875768,"enriched",0.003662540761547,0.539371567334915,"nosig",0.155208187413311,-0.576287411422768,"nosig",0.131183692781451,0.00586725286179496,0.00316106225302854,0.00401951948920121,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea"
"Bradyrhizobium",0.174064421196563,"nosig",0.390489938049268,0.13168315185197,"nosig",0.515816257409017,-0.0423812693445931,"nosig",0.834433880116335,0.0199760722614832,0.0200026887784443,0.0179885054497692,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"Brevibacillus",2.9052195969143,"enriched",0.00285280480269313,3.73989212930002,"enriched",0.000245682978842017,0.834672532385717,"nosig",0.385403019739424,0.00099913355292541,0.000151727169789957,7.19085332287805e-05,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Brevibacillus"
"Brevundimonas",1.05034602589241,"enriched",0.00940924269803691,1.01340037306268,"nosig",0.0121365480738262,-0.0369456528297256,"nosig",0.927589841583089,0.00200648606685912,0.00112212705482673,0.00100809301111334,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Burkholderia",0.518669848767814,"nosig",0.17962590851961,-0.0624635814144822,"nosig",0.869450709421735,-0.581133430182296,"nosig",0.13269105551313,0.000861366512264448,0.000676595470577795,0.000870993494162186,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia"
"Caenimonas",0.968924006624107,"nosig",0.0776064290018899,1.31594061675233,"nosig",0.0198701027027979,0.347016610128227,"nosig",0.560188181879978,0.000231141881371129,0.00013104373560825,8.9500022864053e-05,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Caenimonas"
"Catellatospora",-0.515016579034541,"nosig",0.156653392872521,-0.482868876615013,"nosig",0.184827604540985,0.0321477024195279,"nosig",0.928172714492112,0.000510560295224871,0.000819238327393224,0.000703179755248735,"Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Catellatospora"
"Catelliglobosispora",0.299155080431116,"nosig",0.562889683525606,0.279490124183859,"nosig",0.588803599950483,-0.0196649562472568,"nosig",0.970121419324635,0.00019386533512332,0.000175244928147772,0.000156909208944156,"Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Catelliglobosispora"
"Caulobacter",0.0418876202431973,"nosig",0.894311679130162,0.30043870067944,"nosig",0.343613416066696,0.258551080436243,"nosig",0.415061837555997,0.001876994711195,0.00208384916959198,0.00149581803652986,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Cedecea",-5.72694510646084,"depleted",6.88351529295973e-05,-1.90029404483949,"nosig",0.122604575438136,3.82665106162135,"enriched",0.00278532428891899,0,0.00020710676800147,8.82251618168038e-06,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Cedecea"
"Cellulomonas",-1.44871498281728,"depleted",0.00490872419552757,-1.2321040109582,"nosig",0.0166118472587212,0.216610971859082,"nosig",0.661994737319585,0.000386544448759246,0.00116615324793553,0.000883334871793566,"Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Cellulomonas"
"Cellulosimicrobium",-0.301221981962994,"nosig",0.755487357587988,-0.499391373393758,"nosig",0.60518842798801,-0.198169391430764,"nosig",0.836237034273034,0.000132226022325419,0.000178957644277925,0.000179471726804392,"Actinobacteria","Actinobacteria","Actinomycetales","Promicromonosporaceae","Cellulosimicrobium"
"Cellvibrio",-1.76195641794044,"depleted",0.00697739329701913,-0.93528770185027,"nosig",0.146220620363418,0.826668716090166,"nosig",0.1930781287581,0.000578603281650535,0.00217167858205863,0.00110352685942937,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Cellvibrio"
"Chitinophaga",-3.96444471787866,"depleted",0.000385718235881809,-3.55166921675555,"depleted",0.00189166805244389,0.412775501123105,"nosig",0.587877831238666,0,5.46916868688761e-05,3.59204179477826e-05,"Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophaga"
"Chlamydophila",-1.58459354953808,"nosig",0.0724518752168656,-1.99961263549588,"nosig",0.023784891835531,-0.415019085957794,"nosig",0.618058985010212,7.84434267655368e-05,0.000261075987287582,0.000334352654829609,"Chlamydiae","Chlamydiia","Chlamydiales","Chlamydiaceae","Chlamydophila"
"Chryseobacterium",-0.497395929157785,"nosig",0.428016058629071,-0.360518182169545,"nosig",0.566198705542255,0.13687774698824,"nosig",0.825225103104297,0.000206765973599841,0.000330432814671365,0.000275093273503909,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium"
"Chryseolinea",-0.877508649670811,"nosig",0.0285321546678843,-0.997250298267186,"nosig",0.0125865970391665,-0.119741648596375,"nosig",0.756213270040658,0.000416880638230384,0.000851779581903057,0.000834188084719986,"Bacteroidetes","Cytophagia","Cytophagales","Unassigned","Chryseolinea"
"Clostridium_III",-1.80481307394769,"nosig",0.0140395184072216,-0.231215369508247,"nosig",0.787027448010296,1.57359770443944,"nosig",0.0277962056352739,2.37932678698094e-05,0.000100365316931355,2.67631692693078e-05,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium_III"
"Clostridium_sensu_stricto",0.828274121824482,"nosig",0.468427332471507,1.90323215511471,"nosig",0.10612085443653,1.07495803329023,"nosig",0.352403439311256,0.000741177746674465,0.00042898511086692,0.000179271373995867,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Clostridium_XI",-0.683204184443568,"nosig",0.352859772614849,0.31366332806888,"nosig",0.696129444725372,0.996867512512448,"nosig",0.189494767070757,4.14792151831737e-05,7.65139784930841e-05,3.13694824876978e-05,"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridium_XI"
"Cohnella",-0.438818476929672,"nosig",0.343424260698834,0.0095964525063967,"nosig",0.984067135652834,0.448414929436068,"nosig",0.333120311500861,0.000205277648996452,0.000319373606253201,0.000201452539287403,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Cohnella"
"Conexibacter",0.0847368364262008,"nosig",0.797161140001904,0.207098695001531,"nosig",0.531135088957614,0.12236185857533,"nosig",0.711618382183059,0.00179487466157981,0.00193385135697219,0.00152457443681472,"Actinobacteria","Actinobacteria","Solirubrobacterales","Conexibacteraceae","Conexibacter"
"Couchioplanes",0.00170551868299298,"nosig",0.997018596376177,-0.767051094874989,"nosig",0.0927398645553108,-0.768756613557982,"nosig",0.0919400316398355,0.00186106398684896,0.00208149384212422,0.0029757438545365,"Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Couchioplanes"
"Cryobacterium",-2.58948033150038,"depleted",0.000180753005088524,-0.956028593346244,"nosig",0.184976864020233,1.63345173815414,"nosig",0.0112738288736732,5.66935917183313e-05,0.000394397971745733,0.000107170689562923,"Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Cryobacterium"
"Cryptosporangium",-0.0624817967231865,"nosig",0.942801448809728,0.0678340178509556,"nosig",0.938588636859538,0.130315814574142,"nosig",0.881606234680304,0.000100020049844086,0.000122005387423313,9.40652266032783e-05,"Actinobacteria","Actinobacteria","Actinomycetales","Cryptosporangiaceae","Cryptosporangium"
"Cupriavidus",0.394012534618407,"nosig",0.548499448230044,1.00463632506147,"nosig",0.13228707401455,0.610623790443067,"nosig",0.360161483963365,0.000591810295283262,0.000521958578041348,0.00030086113595671,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
"Cystobacter",-0.513538109099367,"nosig",0.193838007610005,-0.0568532743571808,"nosig",0.88726044717691,0.456684834742186,"nosig",0.24667725916578,0.000446947339064117,0.000692764737713984,0.000451469353801015,"Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Cystobacter"
"Dactylosporangium",-0.504746920897669,"nosig",0.232003067393915,-0.942228513195301,"nosig",0.0258301974411203,-0.437481592297632,"nosig",0.294984366502745,0.00113833396167835,0.00179110424147271,0.00211765065381987,"Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Dactylosporangium"
"Devosia",1.00986528501437,"enriched",0.000639378466221016,0.906120839808577,"enriched",0.00213950165685067,-0.103744445205793,"nosig",0.724007547038374,0.0171130209365449,0.00980555448536742,0.00915496512652812,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia"
