"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_670",1,0.00272479564032698,0,1
"ASV_86",2,0.00273224043715847,0,2
"ASV_418",2,0.00273224043715847,0,2
"ASV_39",3,0.00273972602739726,0,3
"ASV_657",3,0.00273972602739726,0,3
"ASV_336",3,0.00273972602739726,0,3
"ASV_106",1,0.00272479564032698,0,1
"ASV_23",2,0.00273224043715847,0,2
"ASV_56",2,0.00273224043715847,0,2
"ASV_237",3,0.00273972602739726,0,3
"ASV_425",3,0.00273972602739726,0,3
"ASV_355",3,0.00273972602739726,0,3
"ASV_120",1,0.00272479564032698,0,1
"ASV_102",3,0.00273972602739726,0,3
"ASV_153",3,0.00273972602739726,0,3
"ASV_604",3,0.00273972602739726,0,3
"ASV_467",1,0.00272479564032698,0,1
"ASV_33",6,0.00276243093922652,0,6
"ASV_27",6,0.00276243093922652,0,6
"ASV_37",6,0.00276243093922652,0,6
"ASV_297",6,0.00276243093922652,0,6
"ASV_192",6,0.00276243093922652,0,6
"ASV_238",6,0.00276243093922652,0,6
"ASV_122",3,0.00273972602739726,0,3
"ASV_224",3,0.00273972602739726,0,3
"ASV_541",3,0.00273972602739726,0,3
"ASV_72",1,0.00272479564032698,0,1
"ASV_279",3,0.00273972602739726,0,3
"ASV_521",3,0.00273972602739726,0,3
"ASV_601",3,0.00273972602739726,0,3
"ASV_215",4,0.00274725274725275,0,4
"ASV_1591",4,0.00274725274725275,0,4
"ASV_185",4,0.00274725274725275,0,4
"ASV_526",4,0.00274725274725275,0,4
"ASV_105",1,0.00272479564032698,0,1
"ASV_302",1,0.00272479564032698,0,1
"ASV_32",4,0.00274725274725275,0,4
"ASV_95",4,0.00274725274725275,0,4
"ASV_156",4,0.00274725274725275,0,4
"ASV_525",4,0.00274725274725275,0,4
"ASV_207",2,0.00273224043715847,0,2
"ASV_581",2,0.00273224043715847,0,2
"ASV_112",2,0.00273224043715847,0,2
"ASV_288",2,0.00273224043715847,0,2
"ASV_110",1,0.00272479564032698,0,1
"ASV_92",3,0.00273972602739726,0,3
"ASV_97",3,0.00273972602739726,0,3
"ASV_318",3,0.00273972602739726,0,3
"ASV_388",1,0.00272479564032698,0,1
"ASV_115",2,0.00273224043715847,0,2
"ASV_257",2,0.00273224043715847,0,2
"ASV_230",1,0.00272479564032698,0,1
"ASV_147",1,0.00272479564032698,0,1
"ASV_90",2,0.00273224043715847,0,2
"ASV_179",2,0.00273224043715847,0,2
"ASV_174",1,0.00272479564032698,0,1
"ASV_85",1,0.00272479564032698,0,1
"ASV_129",2,0.00273224043715847,0,2
"ASV_386",2,0.00273224043715847,0,2
"ASV_83",2,0.00273224043715847,0,2
"ASV_234",2,0.00273224043715847,0,2
"ASV_327",3,0.00273972602739726,0,3
"ASV_281",3,0.00273972602739726,0,3
"ASV_438",3,0.00273972602739726,0,3
"ASV_559",1,0.00272479564032698,0,1
"ASV_377",2,0.00273224043715847,0,2
"ASV_503",2,0.00273224043715847,0,2
"ASV_340",1,0.00272479564032698,0,1
"ASV_374",1,0.00272479564032698,0,1
"ASV_214",2,0.00273224043715847,0,2
"ASV_259",2,0.00273224043715847,0,2
"ASV_128",5,0.00275482093663912,0,5
"ASV_170",5,0.00275482093663912,0,5
"ASV_255",5,0.00275482093663912,0,5
"ASV_916",5,0.00275482093663912,0,5
"ASV_218",5,0.00275482093663912,0,5
"ASV_401",1,0.00272479564032698,0,1
"ASV_416",2,0.00273224043715847,0,2
"ASV_862",2,0.00273224043715847,0,2
"ASV_317",1,0.00272479564032698,0,1
"ASV_385",1,0.00272479564032698,0,1
"ASV_333",2,0.00273224043715847,0,2
"ASV_363",2,0.00273224043715847,0,2
"ASV_217",6,0.00276243093922652,0,6
"ASV_283",6,0.00276243093922652,0,6
"ASV_337",6,0.00276243093922652,0,6
"ASV_301",6,0.00276243093922652,0,6
"ASV_1246",6,0.00276243093922652,0,6
"ASV_566",6,0.00276243093922652,0,6
"ASV_632",1,0.00272479564032698,0,1
"ASV_184",1,0.00272479564032698,0,1
"ASV_222",1,0.00272479564032698,0,1
"ASV_347",2,0.00273224043715847,0,2
"ASV_998",2,0.00273224043715847,0,2
"ASV_341",1,0.00272479564032698,0,1
"ASV_544",3,0.00273972602739726,0,3
"ASV_225",3,0.00273972602739726,0,3
"ASV_535",3,0.00273972602739726,0,3
"ASV_228",1,0.00272479564032698,0,1
"ASV_94",2,0.00273224043715847,0,2
"ASV_437",2,0.00273224043715847,0,2
"ASV_99",5,0.00275482093663912,0,5
"ASV_227",5,0.00275482093663912,0,5
"ASV_208",5,0.00275482093663912,0,5
"ASV_308",5,0.00275482093663912,0,5
"ASV_312",5,0.00275482093663912,0,5
"ASV_96",2,0.00273224043715847,0,2
"ASV_393",2,0.00273224043715847,0,2
"ASV_124",2,0.00273224043715847,0,2
"ASV_423",2,0.00273224043715847,0,2
"ASV_190",2,0.00273224043715847,0,2
"ASV_486",2,0.00273224043715847,0,2
"ASV_136",1,0.00272479564032698,0,1
"ASV_181",4,0.00274725274725275,0,4
"ASV_252",4,0.00274725274725275,0,4
"ASV_262",4,0.00274725274725275,0,4
"ASV_436",4,0.00274725274725275,0,4
"ASV_158",2,0.00273224043715847,0,2
"ASV_212",2,0.00273224043715847,0,2
"ASV_123",2,0.00273224043715847,0,2
"ASV_242",2,0.00273224043715847,0,2
"ASV_286",1,0.00272479564032698,0,1
"ASV_249",2,0.00273224043715847,0,2
"ASV_574",2,0.00273224043715847,0,2
"ASV_180",2,0.00273224043715847,0,2
"ASV_352",2,0.00273224043715847,0,2
"ASV_248",1,0.00272479564032698,0,1
"ASV_764",1,0.00272479564032698,0,1
"ASV_116",2,0.00273224043715847,0,2
"ASV_402",2,0.00273224043715847,0,2
"ASV_104",1,0.00272479564032698,0,1
"ASV_209",1,0.00272479564032698,0,1
"ASV_370",2,0.00273224043715847,0,2
"ASV_546",2,0.00273224043715847,0,2
"ASV_588",1,0.00272479564032698,0,1
"ASV_621",1,0.00272479564032698,0,1
"ASV_351",4,0.00274725274725275,0,4
"ASV_221",4,0.00274725274725275,0,4
"ASV_348",4,0.00274725274725275,0,4
"ASV_349",4,0.00274725274725275,0,4
"ASV_134",1,0.00272479564032698,0,1
"ASV_300",4,0.00274725274725275,0,4
"ASV_1145",4,0.00274725274725275,0,4
"ASV_558",4,0.00274725274725275,0,4
"ASV_1113",4,0.00274725274725275,0,4
"ASV_328",2,0.00273224043715847,0,2
"ASV_354",2,0.00273224043715847,0,2
"ASV_256",2,0.00273224043715847,0,2
"ASV_506",2,0.00273224043715847,0,2
"ASV_381",1,0.00272479564032698,0,1
"ASV_553",1,0.00272479564032698,0,1
"ASV_577",1,0.00272479564032698,0,1
"ASV_321",3,0.00273972602739726,0,3
"ASV_829",3,0.00273972602739726,0,3
"ASV_373",3,0.00273972602739726,0,3
"ASV_204",2,0.00273224043715847,0,2
"ASV_420",2,0.00273224043715847,0,2
"ASV_280",1,0.00272479564032698,0,1
"ASV_210",1,0.00272479564032698,0,1
"ASV_606",1,0.00272479564032698,0,1
"ASV_664",1,0.00272479564032698,0,1
"ASV_502",1,0.00272479564032698,0,1
"ASV_293",2,0.00273224043715847,0,2
"ASV_173",2,0.00273224043715847,0,2
"ASV_304",1,0.00272479564032698,0,1
"ASV_1118",4,0.00274725274725275,0,4
"ASV_343",4,0.00274725274725275,0,4
"ASV_358",4,0.00274725274725275,0,4
"ASV_803",4,0.00274725274725275,0,4
"ASV_536",1,0.00272479564032698,0,1
"ASV_306",1,0.00272479564032698,0,1
"ASV_245",1,0.00272479564032698,0,1
"ASV_612",1,0.00272479564032698,0,1
"ASV_319",1,0.00272479564032698,0,1
"ASV_198",1,0.00272479564032698,0,1
"ASV_487",1,0.00272479564032698,0,1
"ASV_513",1,0.00272479564032698,0,1
"ASV_430",1,0.00272479564032698,0,1
"ASV_540",1,0.00272479564032698,0,1
"ASV_243",1,0.00272479564032698,0,1
"ASV_1038",1,0.00272479564032698,0,1
"ASV_345",2,0.00273224043715847,0,2
"ASV_815",2,0.00273224043715847,0,2
"ASV_441",1,0.00272479564032698,0,1
"ASV_285",1,0.00272479564032698,0,1
"ASV_284",2,0.00273224043715847,0,2
"ASV_389",2,0.00273224043715847,0,2
"ASV_362",1,0.00272479564032698,0,1
"ASV_220",1,0.00272479564032698,0,1
"ASV_329",1,0.00272479564032698,0,1
"ASV_305",3,0.00273972602739726,0,3
"ASV_396",3,0.00273972602739726,0,3
"ASV_448",3,0.00273972602739726,0,3
"ASV_356",1,0.00272479564032698,0,1
"ASV_261",2,0.00273224043715847,0,2
"ASV_414",2,0.00273224043715847,0,2
"ASV_264",1,0.00272479564032698,0,1
"ASV_346",1,0.00272479564032698,0,1
"ASV_229",1,0.00272479564032698,0,1
"ASV_2907",1,0.00272479564032698,0,1
"ASV_485",2,0.00273224043715847,0,2
"ASV_397",2,0.00273224043715847,0,2
"ASV_468",2,0.00273224043715847,0,2
"ASV_413",2,0.00273224043715847,0,2
"ASV_417",2,0.00273224043715847,0,2
"ASV_801",2,0.00273224043715847,0,2
"ASV_387",3,0.00273972602739726,0,3
"ASV_480",3,0.00273972602739726,0,3
"ASV_429",3,0.00273972602739726,0,3
"ASV_372",2,0.00273224043715847,0,2
"ASV_291",2,0.00273224043715847,0,2
"ASV_648",2,0.00273224043715847,0,2
"ASV_697",2,0.00273224043715847,0,2
"ASV_455",2,0.00273224043715847,0,2
"ASV_614",2,0.00273224043715847,0,2
"ASV_359",1,0.00272479564032698,0,1
"ASV_395",1,0.00272479564032698,0,1
"ASV_452",1,0.00272479564032698,0,1
"ASV_505",1,0.00272479564032698,0,1
"ASV_394",1,0.00272479564032698,0,1
"ASV_556",1,0.00272479564032698,0,1
"ASV_456",1,0.00272479564032698,0,1
"ASV_339",2,0.00273224043715847,0,2
"ASV_475",2,0.00273224043715847,0,2
"ASV_353",2,0.00273224043715847,0,2
"ASV_445",2,0.00273224043715847,0,2
"ASV_569",1,0.00272479564032698,0,1
"ASV_316",1,0.00272479564032698,0,1
"ASV_491",1,0.00272479564032698,0,1
"ASV_2360",1,0.00272479564032698,0,1
"ASV_542",1,0.00272479564032698,0,1
"ASV_390",1,0.00272479564032698,0,1
"ASV_1",1,0.00272479564032698,0,1
"ASV_2",2,0.00273224043715847,0,2
"ASV_3",3,0.00273972602739726,0,3
"ASV_8",1,0.00272479564032698,0,1
"ASV_4",2,0.00273224043715847,0,2
"ASV_12",3,0.00273972602739726,0,3
"ASV_11",1,0.00272479564032698,0,1
"ASV_15",3,0.00273972602739726,0,3
"ASV_6",1,0.00272479564032698,0,1
"ASV_16",6,0.00276243093922652,0,6
