"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_20",1,0.0107514583095047,0,1
"ASV_154",1,0.0107514583095047,0,1
"ASV_62",1,0.0106382978723404,0,1
"ASV_545",1,0.0106382978723404,0,1
"ASV_322",2,0.0121730121730122,16.4,2
"ASV_649",6,0.0121698601760746,1.6,6
"ASV_705",6,0.0121698601760746,1.6,6
"ASV_913",6,0.0121698601760746,1.6,6
"ASV_767",5,0.0121651352400673,0,5
"ASV_1234",6,0.0121698601760746,1.6,6
"ASV_173",6,0.0113622627825456,1.41666666666667,6
"ASV_206",5,0.0113608895334784,0.5,5
"ASV_444",4,0.0113581440309328,0,4
"ASV_744",5,0.0113595166163142,0.25,5
"ASV_945",5,0.0113608895334784,6,5
"ASV_654",6,0.0113622627825456,1.41666666666667,6
"ASV_165",2,0.010752688172043,0,2
"ASV_264",2,0.010752688172043,0,2
"ASV_153",3,0.012158841029621,5.5,3
"ASV_244",3,0.0121745887838363,24.2,3
"ASV_367",3,0.012158841029621,5.5,3
"ASV_228",1,0.0106382978723404,0,1
"ASV_420",4,0.0120189234113285,12,4
"ASV_304",1,0.0106382978723404,0,1
"ASV_349",1,0.0106382978723404,0,1
"ASV_293",4,0.0120235354310565,14,4
"ASV_67",1,0.0106382978723404,0,1
"ASV_61",2,0.0120127795527157,20,2
"ASV_94",4,0.0120296902994625,15.1666666666667,4
"ASV_661",4,0.0120296902994625,15.1666666666667,4
"ASV_411",2,0.011998978810314,11,2
"ASV_90",3,0.0120189234113285,5.66666666666667,3
"ASV_330",2,0.0120127795527157,0,2
"ASV_239",1,0.0106382978723404,0,1
"ASV_217",1,0.0106382978723404,0,1
"ASV_416",1,0.0106382978723404,0,1
"ASV_527",1,0.0106382978723404,0,1
"ASV_822",1,0.0106382978723404,0,1
"ASV_121",1,0.0106382978723404,0,1
"ASV_385",2,0.0121415654869543,0,2
"ASV_241",5,0.0121745887838363,19.6,5
"ASV_578",1,0.0106382978723404,0,1
"ASV_419",2,0.010752688172043,1,2
"ASV_294",1,0.0106382978723404,0,1
"ASV_452",1,0.0106382978723404,0,1
"ASV_417",2,0.010752688172043,1,2
"ASV_517",3,0.0108695652173913,0,3
"ASV_378",3,0.0108695652173913,0,3
"ASV_539",3,0.0108695652173913,0,3
"ASV_511",2,0.010752688172043,1,2
"ASV_283",1,0.0106382978723404,0,1
"ASV_535",1,0.0106382978723404,0,1
"ASV_413",1,0.0106382978723404,0,1
"ASV_602",1,0.0106382978723404,0,1
"ASV_458",1,0.0107514583095047,0,1
"ASV_208",1,0.0107514583095047,0,1
"ASV_611",1,0.0119821542383684,0,1
"ASV_1",2,0.010752688172043,1,2
"ASV_3",1,0.0106382978723404,0,1
"ASV_11",1,0.0106382978723404,0,1
"ASV_25",6,0.0121730121730122,17.8,6
"ASV_69",6,0.0113622627825456,1.41666666666667,6
"ASV_21",2,0.010752688172043,0,2
"ASV_51",4,0.0121730121730122,32.6,4
"ASV_73",1,0.0106382978723404,0,1
"ASV_60",1,0.0120020429009193,0,1
"ASV_63",1,0.0106382978723404,0,1
"ASV_53",1,0.0106382978723404,0,1
"ASV_57",1,0.0120066419721548,0,1
"ASV_71",1,0.0106382978723404,0,1
"ASV_116",3,0.0120235354310565,27,3
"ASV_105",5,0.0120266120777892,23,5
"ASV_97",1,0.0106382978723404,0,1
"ASV_80",1,0.0106382978723404,0,1
"ASV_118",1,0.0106382978723404,0,1
"ASV_129",1,0.0106382978723404,0,1
"ASV_147",1,0.0106382978723404,0,1
"ASV_124",1,0.0121556963662227,0,1
"ASV_218",1,0.0113526570048309,0,1
"ASV_40",1,0.0106382978723404,0,1
"ASV_328",1,0.0106382978723404,0,1
"ASV_128",1,0.0107514583095047,0,1
"ASV_312",1,0.0106382978723404,0,1
"ASV_2250",1,0.0106382978723404,0,1
"ASV_225",1,0.0107514583095047,0,1
"ASV_193",1,0.0107514583095047,0,1
"ASV_415",3,0.0108695652173913,0,3
"ASV_391",1,0.0107514583095047,0,1
"ASV_109",1,0.0106382978723404,0,1
"ASV_262",1,0.0106382978723404,0,1
"ASV_438",1,0.0107514583095047,0,1
"ASV_369",1,0.0106382978723404,0,1
"ASV_662",1,0.0106382978723404,0,1
"ASV_309",1,0.0107514583095047,0,1
"ASV_297",2,0.010752688172043,1,2
