"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"1",0.05,0.542704918032787,0.0135456558602686,0.00135456558602686,"weighted","KO"
"2",0.1,0.503032786885246,0.0149343039296733,0.00149343039296733,"weighted","KO"
"3",0.15,0.468060109289617,0.0197586267638461,0.00197586267638461,"weighted","KO"
"4",0.2,0.433032786885246,0.0213641833027193,0.00213641833027193,"weighted","KO"
"5",0.25,0.398551912568306,0.022093499938526,0.0022093499938526,"weighted","KO"
"6",0.3,0.355792349726776,0.0215717173200818,0.00215717173200818,"weighted","KO"
"7",0.35,0.317158469945355,0.02089015038689,0.002089015038689,"weighted","KO"
"8",0.4,0.287021857923497,0.0227284791821692,0.00227284791821692,"weighted","KO"
"9",0.45,0.252868852459016,0.0217762694907108,0.00217762694907108,"weighted","KO"
"10",0.5,0.213743169398907,0.0203236092032847,0.00203236092032847,"weighted","KO"
"11",0.55,0.183060109289617,0.0178003827738543,0.00178003827738543,"weighted","KO"
"12",0.6,0.154699453551913,0.0203233309335103,0.00203233309335104,"weighted","KO"
"13",0.65,0.128196721311475,0.0185377911669445,0.00185377911669445,"weighted","KO"
"14",0.7,0.0969398907103825,0.0158484219740707,0.00158484219740707,"weighted","KO"
"15",0.75,0.0698633879781421,0.0117806813200694,0.00117806813200694,"weighted","KO"
"16",0.8,0.0464754098360656,0.0120480165709214,0.00120480165709214,"weighted","KO"
"17",0.85,0.0291803278688525,0.00912302033610222,0.000912302033610222,"weighted","KO"
"18",0.9,0.0146994535519126,0.00673504951039851,0.000673504951039851,"weighted","KO"
"19",0.95,0.00262295081967213,0.00378351255906454,0.000378351255906454,"weighted","KO"
"20",1,0,0,0,"weighted","KO"
"21",0.05,0.499562841530055,0.0141130763948832,0.00141130763948832,"unweighted","KO"
"22",0.1,0.462431693989071,0.017738320608174,0.0017738320608174,"unweighted","KO"
"23",0.15,0.425573770491803,0.019475816342763,0.0019475816342763,"unweighted","KO"
"24",0.2,0.391420765027322,0.0231011329227796,0.00231011329227796,"unweighted","KO"
"25",0.25,0.356475409836066,0.0244084316335814,0.00244084316335814,"unweighted","KO"
"26",0.3,0.32844262295082,0.0266639626792833,0.00266639626792833,"unweighted","KO"
"27",0.35,0.29120218579235,0.0263077593955791,0.00263077593955791,"unweighted","KO"
"28",0.4,0.260273224043716,0.0257176815592259,0.00257176815592259,"unweighted","KO"
"29",0.45,0.22620218579235,0.0242933612963731,0.00242933612963731,"unweighted","KO"
"30",0.5,0.196666666666667,0.0233748742642284,0.00233748742642284,"unweighted","KO"
"31",0.55,0.171256830601093,0.0207931876346766,0.00207931876346766,"unweighted","KO"
"32",0.6,0.139125683060109,0.01876017854158,0.001876017854158,"unweighted","KO"
"33",0.65,0.11603825136612,0.01823750464773,0.001823750464773,"unweighted","KO"
"34",0.7,0.0863661202185792,0.015707028351467,0.0015707028351467,"unweighted","KO"
"35",0.75,0.0630874316939891,0.0133009575375293,0.00133009575375293,"unweighted","KO"
"36",0.8,0.0435792349726776,0.0131715241550639,0.00131715241550639,"unweighted","KO"
