"","Number.hub.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"1",1,0.54396174863388,0.00295995898437786,0.000295995898437786,"weighted","KO"
"2",2,0.542978142076503,0.00322243418772143,0.000322243418772143,"weighted","KO"
"3",3,0.541147540983607,0.00421527414149831,0.000421527414149831,"weighted","KO"
"4",4,0.539644808743169,0.00453706171301297,0.000453706171301297,"weighted","KO"
"5",5,0.53896174863388,0.00421169489814124,0.000421169489814124,"weighted","KO"
"6",6,0.535628415300547,0.00559969597427932,0.000559969597427932,"weighted","KO"
"7",7,0.534644808743169,0.00554502652028485,0.000554502652028485,"weighted","KO"
"8",8,0.533087431693989,0.00549056807757881,0.000549056807757881,"weighted","KO"
"9",9,0.532568306010929,0.00532016758206738,0.000532016758206738,"weighted","KO"
"10",10,0.530109289617486,0.00506308510640836,0.000506308510640836,"weighted","KO"
"11",11,0.529535519125683,0.00530618831172394,0.000530618831172394,"weighted","KO"
"12",12,0.527131147540984,0.00466424927489461,0.000466424927489461,"weighted","KO"
"13",13,0.526147540983607,0.00438080319087173,0.000438080319087173,"weighted","KO"
"14",14,0.52516393442623,0.00381081778935533,0.000381081778935533,"weighted","KO"
"15",15,0.523224043715847,0.00297025850548967,0.000297025850548967,"weighted","KO"
"16",16,0.522650273224044,0.00227421604240121,0.000227421604240121,"weighted","KO"
"17",17,0.521912568306011,0.00102599212284548,0.000102599212284548,"weighted","KO"
"18",18,0.521857923497268,0,0,"weighted","KO"
"19",1,0.535273224043716,0.00472592160526359,0.000472592160526359,"unweighted","KO"
"20",2,0.535191256830601,0.00603221729161913,0.000603221729161913,"unweighted","KO"
"21",3,0.53379781420765,0.0060493809924964,0.00060493809924964,"unweighted","KO"
"22",4,0.533469945355191,0.00662891512423375,0.000662891512423375,"unweighted","KO"
"23",5,0.530327868852459,0.00806690077731977,0.000806690077731977,"unweighted","KO"
"24",6,0.528360655737705,0.00782278931769653,0.000782278931769653,"unweighted","KO"
"25",7,0.526693989071038,0.00754881708019072,0.000754881708019072,"unweighted","KO"
"26",8,0.525737704918033,0.00826707128912531,0.000826707128912531,"unweighted","KO"
"27",9,0.525300546448087,0.00703984846306375,0.000703984846306375,"unweighted","KO"
"28",10,0.524590163934426,0.00569423708032768,0.000569423708032768,"unweighted","KO"
"29",11,0.522978142076503,0.00642934708823178,0.000642934708823178,"unweighted","KO"
"30",12,0.521803278688525,0.0058119374990336,0.00058119374990336,"unweighted","KO"
"31",13,0.520409836065574,0.00448625277472939,0.000448625277472939,"unweighted","KO"
"32",14,0.520054644808743,0.00376953573789339,0.000376953573789339,"unweighted","KO"
"33",15,0.51896174863388,0.00322161507848605,0.000322161507848605,"unweighted","KO"
"34",16,0.517540983606557,0.00198701495712855,0.000198701495712855,"unweighted","KO"
"35",17,0.516584699453552,0.000700634972612686,7.00634972612686e-05,"unweighted","KO"
"36",18,0.516393442622951,0,0,"unweighted","KO"
"37",1,0.645054347826087,0.00461512289958587,0.000461512289958587,"weighted","OE"
"38",2,0.643804347826087,0.00584068350911599,0.000584068350911599,"weighted","OE"
"39",3,0.641548913043478,0.00640605894262724,0.000640605894262724,"weighted","OE"
"40",4,0.63929347826087,0.00735487775334996,0.000735487775334996,"weighted","OE"
"41",5,0.637717391304348,0.00789542249883121,0.000789542249883121,"weighted","OE"
"42",6,0.635407608695652,0.00774448094553847,0.000774448094553847,"weighted","OE"
"43",7,0.632907608695652,0.00699599334797434,0.000699599334797434,"weighted","OE"
"44",8,0.633369565217391,0.00720177313375485,0.000720177313375485,"weighted","OE"
"45",9,0.629266304347826,0.00700834981767774,0.000700834981767774,"weighted","OE"
"46",10,0.628858695652174,0.00730971169148946,0.000730971169148946,"weighted","OE"
"47",11,0.628179347826087,0.00726749845001375,0.000726749845001375,"weighted","OE"
"48",12,0.627119565217391,0.00602796046001293,0.000602796046001292,"weighted","OE"
"49",13,0.626005434782609,0.0058658508840017,0.00058658508840017,"weighted","OE"
"50",14,0.624483695652174,0.0053892332562277,0.00053892332562277,"weighted","OE"
"51",15,0.623125,0.00424320702491575,0.000424320702491575,"weighted","OE"
"52",16,0.622771739130435,0.00375223101036374,0.000375223101036374,"weighted","OE"
"53",17,0.621820652173913,0.00197149246074395,0.000197149246074395,"weighted","OE"
"54",18,0.622282608695652,0,0,"weighted","OE"
"55",1,0.62195652173913,0.00326086956521741,0.000326086956521741,"unweighted","OE"
"56",2,0.618804347826087,0.00463608544682106,0.000463608544682106,"unweighted","OE"
"57",3,0.617038043478261,0.00437408012626475,0.000437408012626475,"unweighted","OE"
"58",4,0.613532608695652,0.00561806666427535,0.000561806666427536,"unweighted","OE"
"59",5,0.611413043478261,0.00625173020293225,0.000625173020293225,"unweighted","OE"
"60",6,0.609048913043478,0.00630702347700447,0.000630702347700447,"unweighted","OE"
"61",7,0.606440217391304,0.00678996395706744,0.000678996395706744,"unweighted","OE"
"62",8,0.604239130434783,0.00707471237931571,0.000707471237931571,"unweighted","OE"
"63",9,0.602038043478261,0.00660419212913758,0.000660419212913758,"unweighted","OE"
"64",10,0.6,0.00662251952005373,0.000662251952005373,"unweighted","OE"
"65",11,0.597336956521739,0.00614802674039368,0.000614802674039368,"unweighted","OE"
"66",12,0.596277173913043,0.00601154298111285,0.000601154298111285,"unweighted","OE"
"67",13,0.594157608695652,0.00550805622556032,0.000550805622556032,"unweighted","OE"
"68",14,0.592798913043478,0.00468879765219918,0.000468879765219918,"unweighted","OE"
"69",15,0.591195652173913,0.00442603678337179,0.000442603678337179,"unweighted","OE"
