,x
1,nosig
2,nosig
3,nosig
4,nosig
5,nosig
6,nosig
7,nosig
8,nosig
9,nosig
10,nosig
11,nosig
12,nosig
13,nosig
14,nosig
15,nosig
16,nosig
17,nosig
18,nosig
19,nosig
20,nosig
21,nosig
22,nosig
23,nosig
24,nosig
25,nosig
26,nosig
27,nosig
28,nosig
29,nosig
30,nosig
31,depleted
32,nosig
33,nosig
34,nosig
35,nosig
36,nosig
37,depleted
38,nosig
39,depleted
40,nosig
41,nosig
42,nosig
43,nosig
44,nosig
45,nosig
46,nosig
47,nosig
48,nosig
49,nosig
50,nosig
51,nosig
52,nosig
53,nosig
54,depleted
55,nosig
56,enriched
57,nosig
58,nosig
59,nosig
60,nosig
61,nosig
62,nosig
63,nosig
64,nosig
65,nosig
66,nosig
67,nosig
68,nosig
69,nosig
70,nosig
71,enriched
72,nosig
73,nosig
74,enriched
75,nosig
76,nosig
77,enriched
78,nosig
79,nosig
80,nosig
81,nosig
82,nosig
83,nosig
84,nosig
85,nosig
86,nosig
87,nosig
88,nosig
89,nosig
90,nosig
91,nosig
92,nosig
93,nosig
94,nosig
95,nosig
96,enriched
97,enriched
98,enriched
99,enriched
100,enriched
101,enriched
102,nosig
103,nosig
104,nosig
105,nosig
106,nosig
107,nosig
108,nosig
109,nosig
110,nosig
111,nosig
112,enriched
113,nosig
114,nosig
115,nosig
116,nosig
117,nosig
118,nosig
119,nosig
120,nosig
121,nosig
122,nosig
123,nosig
124,nosig
125,enriched
126,enriched
127,nosig
128,enriched
129,depleted
130,nosig
131,nosig
132,nosig
133,nosig
134,nosig
135,enriched
136,nosig
137,nosig
138,nosig
139,nosig
140,nosig
141,nosig
142,nosig
143,nosig
144,nosig
145,nosig
146,nosig
147,nosig
148,nosig
149,nosig
150,nosig
151,nosig
152,nosig
153,depleted
154,nosig
155,nosig
156,nosig
157,nosig
158,nosig
159,nosig
160,nosig
161,nosig
162,nosig
163,nosig
164,nosig
165,nosig
166,nosig
167,nosig
168,nosig
169,nosig
170,enriched
171,nosig
172,nosig
173,nosig
