"","ID","i","index","Group"
"sample1","sample1",100,92,"Group1"
"sample10","sample10",100,94,"Group2"
"sample11","sample11",100,95,"Group2"
"sample12","sample12",100,92,"Group2"
"sample13","sample13",100,96,"Group3"
"sample14","sample14",100,95,"Group3"
"sample15","sample15",100,94,"Group3"
"sample16","sample16",100,97,"Group3"
"sample17","sample17",100,96,"Group3"
"sample18","sample18",100,98,"Group3"
"sample2","sample2",100,97,"Group1"
"sample3","sample3",100,96,"Group1"
"sample4","sample4",100,95,"Group1"
"sample5","sample5",100,94,"Group1"
"sample6","sample6",100,94,"Group1"
"sample7","sample7",100,91,"Group2"
"sample8","sample8",100,90,"Group2"
"sample9","sample9",100,80,"Group2"
"sample19","sample1",20021.7555555556,4686,"Group1"
"sample101","sample10",20021.7555555556,4344,"Group2"
"sample111","sample11",20021.7555555556,4152,"Group2"
"sample121","sample12",20021.7555555556,5045,"Group2"
"sample131","sample13",20021.7555555556,5397,"Group3"
"sample141","sample14",20021.7555555556,5572,"Group3"
"sample151","sample15",20021.7555555556,5284,"Group3"
"sample161","sample16",20021.7555555556,5383,"Group3"
"sample171","sample17",20021.7555555556,5449,"Group3"
"sample181","sample18",20021.7555555556,5369,"Group3"
"sample21","sample2",20021.7555555556,3930,"Group1"
"sample31","sample3",20021.7555555556,4281,"Group1"
"sample41","sample4",20021.7555555556,5097,"Group1"
"sample51","sample5",20021.7555555556,5445,"Group1"
"sample61","sample6",20021.7555555556,4125,"Group1"
"sample71","sample7",20021.7555555556,3462,"Group2"
"sample81","sample8",20021.7555555556,4646,"Group2"
"sample91","sample9",20021.7555555556,3437,"Group2"
"sample110","sample1",39943.5111111111,6104,"Group1"
"sample102","sample10",39943.5111111111,5614,"Group2"
"sample112","sample11",39943.5111111111,5359,"Group2"
"sample122","sample12",39943.5111111111,6693,"Group2"
"sample132","sample13",39943.5111111111,7312,"Group3"
"sample142","sample14",39943.5111111111,7575,"Group3"
"sample152","sample15",39943.5111111111,7180,"Group3"
"sample162","sample16",39943.5111111111,7302,"Group3"
"sample172","sample17",39943.5111111111,7505,"Group3"
"sample182","sample18",39943.5111111111,7459,"Group3"
"sample22","sample2",39943.5111111111,4720,"Group1"
"sample32","sample3",39943.5111111111,5194,"Group1"
"sample42","sample4",39943.5111111111,6698,"Group1"
"sample52","sample5",39943.5111111111,7353,"Group1"
"sample62","sample6",39943.5111111111,5054,"Group1"
"sample72","sample7",39943.5111111111,4047,"Group2"
"sample82","sample8",39943.5111111111,6082,"Group2"
"sample92","sample9",39943.5111111111,4309,"Group2"
"sample113","sample1",59865.2666666667,6886,"Group1"
"sample103","sample10",59865.2666666667,6271,"Group2"
"sample114","sample11",59865.2666666667,6047,"Group2"
"sample123","sample12",59865.2666666667,7580,"Group2"
"sample133","sample13",59865.2666666667,8424,"Group3"
"sample143","sample14",59865.2666666667,8847,"Group3"
"sample153","sample15",59865.2666666667,8403,"Group3"
"sample163","sample16",59865.2666666667,8577,"Group3"
"sample173","sample17",59865.2666666667,8832,"Group3"
"sample183","sample18",59865.2666666667,8642,"Group3"
"sample23","sample2",59865.2666666667,5096,"Group1"
"sample33","sample3",59865.2666666667,5650,"Group1"
"sample43","sample4",59865.2666666667,7632,"Group1"
"sample53","sample5",59865.2666666667,8502,"Group1"
"sample63","sample6",59865.2666666667,5493,"Group1"
"sample73","sample7",59865.2666666667,4295,"Group2"
"sample83","sample8",59865.2666666667,6866,"Group2"
"sample93","sample9",59865.2666666667,4764,"Group2"
"sample115","sample1",79787.0222222222,7330,"Group1"
"sample104","sample10",79787.0222222222,6699,"Group2"
"sample116","sample11",79787.0222222222,6433,"Group2"
"sample124","sample12",79787.0222222222,8261,"Group2"
"sample134","sample13",79787.0222222222,9187,"Group3"
"sample144","sample14",79787.0222222222,9737,"Group3"
"sample154","sample15",79787.0222222222,9244,"Group3"
"sample164","sample16",79787.0222222222,9408,"Group3"
"sample174","sample17",79787.0222222222,9689,"Group3"
"sample184","sample18",79787.0222222222,9465,"Group3"
"sample24","sample2",79787.0222222222,5310,"Group1"
"sample34","sample3",79787.0222222222,5880,"Group1"
"sample44","sample4",79787.0222222222,8267,"Group1"
"sample54","sample5",79787.0222222222,9228,"Group1"
"sample64","sample6",79787.0222222222,5757,"Group1"
"sample74","sample7",79787.0222222222,4459,"Group2"
"sample84","sample8",79787.0222222222,7423,"Group2"
"sample94","sample9",79787.0222222222,5031,"Group2"
"sample117","sample1",99708.7777777778,7707,"Group1"
"sample105","sample10",99708.7777777778,7006,"Group2"
"sample118","sample11",99708.7777777778,6735,"Group2"
"sample125","sample12",99708.7777777778,8612,"Group2"
"sample135","sample13",99708.7777777778,9811,"Group3"
"sample145","sample14",99708.7777777778,10463,"Group3"
"sample155","sample15",99708.7777777778,9726,"Group3"
"sample165","sample16",99708.7777777778,10059,"Group3"
"sample175","sample17",99708.7777777778,10384,"Group3"
"sample185","sample18",99708.7777777778,10203,"Group3"
"sample25","sample2",99708.7777777778,5442,"Group1"
"sample35","sample3",99708.7777777778,6052,"Group1"
"sample45","sample4",99708.7777777778,8614,"Group1"
"sample55","sample5",99708.7777777778,9864,"Group1"
"sample65","sample6",99708.7777777778,5950,"Group1"
"sample75","sample7",99708.7777777778,4571,"Group2"
"sample85","sample8",99708.7777777778,7760,"Group2"
"sample95","sample9",99708.7777777778,5231,"Group2"
"sample119","sample1",119630.533333333,8030,"Group1"
"sample106","sample10",119630.533333333,7186,"Group2"
"sample1110","sample11",119630.533333333,6962,"Group2"
"sample126","sample12",119630.533333333,8918,"Group2"
"sample136","sample13",119630.533333333,10272,"Group3"
"sample146","sample14",119630.533333333,10901,"Group3"
"sample156","sample15",119630.533333333,10277,"Group3"
"sample166","sample16",119630.533333333,10570,"Group3"
"sample176","sample17",119630.533333333,10837,"Group3"
"sample186","sample18",119630.533333333,10717,"Group3"
"sample26","sample2",119630.533333333,5540,"Group1"
"sample36","sample3",119630.533333333,6150,"Group1"
"sample46","sample4",119630.533333333,8928,"Group1"
"sample56","sample5",119630.533333333,10315,"Group1"
"sample66","sample6",119630.533333333,6042,"Group1"
"sample76","sample7",119630.533333333,4653,"Group2"
"sample86","sample8",119630.533333333,8009,"Group2"
"sample96","sample9",119630.533333333,5376,"Group2"
"sample120","sample1",139552.288888889,8229,"Group1"
"sample107","sample10",139552.288888889,7402,"Group2"
"sample1111","sample11",139552.288888889,7136,"Group2"
"sample127","sample12",139552.288888889,9222,"Group2"
"sample137","sample13",139552.288888889,10601,"Group3"
"sample147","sample14",139552.288888889,11418,"Group3"
"sample157","sample15",139552.288888889,10598,"Group3"
"sample167","sample16",139552.288888889,10982,"Group3"
"sample177","sample17",139552.288888889,11303,"Group3"
"sample187","sample18",139552.288888889,11154,"Group3"
"sample27","sample2",139552.288888889,5639,"Group1"
"sample37","sample3",139552.288888889,6261,"Group1"
"sample47","sample4",139552.288888889,9195,"Group1"
"sample57","sample5",139552.288888889,10619,"Group1"
"sample67","sample6",139552.288888889,6143,"Group1"
"sample77","sample7",139552.288888889,4723,"Group2"
"sample87","sample8",139552.288888889,8213,"Group2"
"sample97","sample9",139552.288888889,5502,"Group2"
"sample128","sample1",159474.044444444,8370,"Group1"
"sample108","sample10",159474.044444444,7530,"Group2"
"sample1112","sample11",159474.044444444,7263,"Group2"
"sample129","sample12",159474.044444444,9434,"Group2"
"sample138","sample13",159474.044444444,10855,"Group3"
"sample158","sample15",159474.044444444,10962,"Group3"
"sample178","sample17",159474.044444444,11646,"Group3"
"sample188","sample18",159474.044444444,11395,"Group3"
"sample28","sample2",159474.044444444,5722,"Group1"
"sample48","sample4",159474.044444444,9328,"Group1"
"sample58","sample5",159474.044444444,10956,"Group1"
"sample68","sample6",159474.044444444,6221,"Group1"
"sample78","sample7",159474.044444444,4785,"Group2"
"sample88","sample8",159474.044444444,8375,"Group2"
"sample98","sample9",159474.044444444,5586,"Group2"
"sample130","sample1",179395.8,8523,"Group1"
"sample1113","sample11",179395.8,7394,"Group2"
"sample1210","sample12",179395.8,9603,"Group2"
"sample139","sample13",179395.8,11129,"Group3"
"sample159","sample15",179395.8,11251,"Group3"
"sample179","sample17",179395.8,11953,"Group3"
"sample189","sample18",179395.8,11747,"Group3"
"sample29","sample2",179395.8,5764,"Group1"
"sample49","sample4",179395.8,9477,"Group1"
"sample59","sample5",179395.8,11193,"Group1"
"sample69","sample6",179395.8,6296,"Group1"
"sample89","sample8",179395.8,8485,"Group2"
"sample99","sample9",179395.8,5665,"Group2"
"sample1114","sample11",199317.555555556,7496,"Group2"
"sample1211","sample12",199317.555555556,9727,"Group2"
"sample1310","sample13",199317.555555556,11342,"Group3"
"sample1710","sample17",199317.555555556,12229,"Group3"
"sample1810","sample18",199317.555555556,11969,"Group3"
"sample210","sample2",199317.555555556,5827,"Group1"
"sample410","sample4",199317.555555556,9612,"Group1"
"sample510","sample5",199317.555555556,11382,"Group1"
"sample610","sample6",199317.555555556,6344,"Group1"
"sample810","sample8",199317.555555556,8604,"Group2"
"sample211","sample2",219239.311111111,5874,"Group1"
