source,target,correlation,direct,cor
ASV_20,ASV_1,0.998119023725085,undirected,+
ASV_154,ASV_1,0.990876793949582,undirected,+
ASV_62,ASV_3,0.994791556239167,undirected,+
ASV_687,ASV_7,0.991362170060497,undirected,+
ASV_545,ASV_11,0.993015270623209,undirected,+
ASV_877,ASV_11,0.991531071301731,undirected,+
ASV_559,ASV_19,0.99159913983448,undirected,+
ASV_894,ASV_16,0.992337124971882,undirected,+
ASV_322,ASV_25,0.99119350547837,undirected,+
ASV_649,ASV_25,0.996238114890127,undirected,+
ASV_705,ASV_25,0.997470356405618,undirected,+
ASV_913,ASV_25,0.994913235174871,undirected,+
ASV_385,ASV_25,0.990126377823873,undirected,+
ASV_767,ASV_25,0.990876628068691,undirected,+
ASV_1234,ASV_25,0.998018957298784,undirected,+
ASV_819,ASV_25,0.993312145542226,undirected,+
ASV_1373,ASV_25,0.996238114890127,undirected,+
ASV_1119,ASV_25,0.993822790307762,undirected,+
ASV_1479,ASV_25,0.996238114890127,undirected,+
ASV_1111,ASV_25,0.992984615936028,undirected,+
ASV_809,ASV_25,0.99494602352997,undirected,+
ASV_1481,ASV_25,0.996238114890127,undirected,+
ASV_679,ASV_18,0.992642197943924,undirected,+
ASV_60,ASV_39,0.98915875238066,undirected,+
ASV_143,ASV_39,0.989840067760997,undirected,+
ASV_1,ASV_20,0.998119023725085,undirected,+
ASV_173,ASV_69,0.999841517686346,undirected,+
ASV_206,ASV_69,0.999305737248087,undirected,+
ASV_444,ASV_69,0.992842699351897,undirected,+
ASV_744,ASV_69,0.999385205153198,undirected,+
ASV_945,ASV_69,0.993628684809612,undirected,+
ASV_654,ASV_69,0.999788607491378,undirected,+
ASV_488,ASV_69,0.9953615065584,undirected,+
ASV_808,ASV_69,0.997727075145149,undirected,+
ASV_1418,ASV_69,0.999586693785307,undirected,+
ASV_1238,ASV_44,-0.994980626151245,undirected,-
ASV_165,ASV_21,0.994193082196611,undirected,+
ASV_264,ASV_21,0.997845253986946,undirected,+
ASV_503,ASV_21,0.990340058959188,undirected,+
ASV_322,ASV_51,0.991162423612359,undirected,+
ASV_153,ASV_51,0.992780977935024,undirected,+
ASV_244,ASV_51,0.992672261706947,undirected,+
ASV_367,ASV_51,0.995881664712247,undirected,+
ASV_928,ASV_51,0.993104965711596,undirected,+
ASV_809,ASV_51,0.99527336787948,undirected,+
ASV_964,ASV_51,0.992655941597229,undirected,+
ASV_923,ASV_54,0.994375006293784,undirected,+
ASV_228,ASV_73,-0.993594664028664,undirected,-
ASV_3,ASV_62,0.994791556239167,undirected,+
ASV_39,ASV_60,0.98915875238066,undirected,+
ASV_420,ASV_60,0.991219976400668,undirected,+
ASV_675,ASV_52,0.991460421273577,undirected,+
ASV_304,ASV_63,-0.993413356195651,undirected,-
