"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_20",1,0.00319485567188629,0,1
"ASV_154",1,0.00319485567188629,0,1
"ASV_62",1,0.00318471337579618,0,1
"ASV_687",2,0.00319488817891374,1,2
"ASV_545",1,0.00321523653491706,0,1
"ASV_877",2,0.00321536823134267,4,2
"ASV_559",1,0.00318471337579618,0,1
"ASV_894",1,0.00318471337579618,0,1
"ASV_322",6,0.00348316102409371,15.4311801582901,6
"ASV_649",12,0.00348323830230959,1.44732285258601,12
"ASV_705",13,0.00348347015753273,12.8762018589687,13
"ASV_913",12,0.00348323830230959,7.92232285258601,12
"ASV_385",4,0.00348300647794835,13.1643381980339,4
"ASV_767",10,0.00348312238627162,24.5561682882335,10
"ASV_1234",13,0.00348347015753273,12.8762018589687,13
"ASV_819",12,0.00348331558395456,47.9155090110754,12
"ASV_1373",12,0.00348323830230959,1.44732285258601,12
"ASV_1119",14,0.00348362474483003,50.6880936698022,14
"ASV_1479",12,0.00348323830230959,1.44732285258601,12
"ASV_1111",12,0.00348343151285209,16.7622679430544,12
"ASV_809",11,0.00348343151285209,79.8475608211205,11
"ASV_1481",12,0.00348323830230959,1.44732285258601,12
"ASV_679",2,0.00322567389875082,4,2
"ASV_60",2,0.00339948249916096,38,2
"ASV_143",1,0.00339808451923597,0,1
"ASV_173",9,0.00331111860975198,0.714285714285714,9
"ASV_206",10,0.0033111535257458,3.71428571428571,10
"ASV_444",8,0.00331104877997343,3.33333333333333,8
"ASV_744",10,0.0033111535257458,3.71428571428571,10
"ASV_945",8,0.00331108369449453,12,8
"ASV_654",9,0.00331111860975198,0.714285714285714,9
"ASV_488",8,0.00331104877997343,3.83333333333333,8
"ASV_808",11,0.00331118844247601,11.3809523809524,11
"ASV_1418",10,0.0033111535257458,7.88095238095238,10
"ASV_1238",1,0.00318471337579618,0,1
"ASV_165",2,0.0032050954893895,0,2
"ASV_264",2,0.0032050954893895,0,2
"ASV_503",1,0.00320506277431867,0,1
"ASV_153",7,0.00348277468444287,14.593153954599,7
"ASV_244",7,0.00348319966277303,56.6058696205755,7
"ASV_367",8,0.00348281331455128,20.5593352228902,8
"ASV_928",5,0.00348254292178697,1.85375816993464,5
"ASV_964",6,0.0034826587992591,4.75072786690434,6
"ASV_923",1,0.00318471337579618,0,1
"ASV_228",1,0.00318471337579618,0,1
"ASV_420",4,0.00340007146647031,54.8611111111111,4
"ASV_675",1,0.00318471337579618,0,1
"ASV_304",1,0.00318471337579618,0,1
"ASV_468",2,0.00319488817891374,1,2
"ASV_1638",9,0.00330019128497257,28.9,9
"ASV_1849",4,0.00330001786633877,20.5,4
"ASV_349",1,0.00318471337579618,0,1
"ASV_375",3,0.00339962972185832,0,3
"ASV_293",8,0.0034004764998917,29.0623015873016,8
"ASV_901",6,0.00340007146647031,4.65277777777778,6
"ASV_711",8,0.00340032920384649,9.0484126984127,8
"ASV_2074",7,0.00340029238182901,14.8714285714286,7
"ASV_67",1,0.00318471337579618,0,1
"ASV_61",4,0.00340018192056135,56,4
"ASV_94",9,0.00340066063789462,78.3384920634921,9
"ASV_661",8,0.00340051332589697,22.4761904761905,8
"ASV_1098",5,0.00340014510173364,2.08333333333333,5
"ASV_411",2,0.00339951930363987,20,2
"ASV_975",1,0.00339944569547895,0,1
"ASV_90",3,0.00340018192056135,17.1805555555556,3
"ASV_330",2,0.00339985057981528,0,2
"ASV_1015",1,0.00318471337579618,0,1
"ASV_1758",2,0.00339996101955519,0,2
"ASV_239",2,0.00319488817891374,1,2
"ASV_588",1,0.00318471337579618,0,1
"ASV_747",1,0.00318471337579618,0,1
"ASV_217",1,0.00318471337579618,0,1
"ASV_277",2,0.0032050954893895,2,2
"ASV_224",1,0.00320506277431867,0,1
"ASV_1030",1,0.00320506277431867,0,1
"ASV_1409",1,0.00320506277431867,0,1
"ASV_2350",3,0.00331083930830873,0,3
"ASV_1013",2,0.0032050954893895,2,2
"ASV_774",1,0.00318471337579618,0,1
"ASV_416",7,0.00330005254860746,1.6,7
"ASV_879",7,0.00330005254860746,1.6,7
"ASV_2717",8,0.00330008723160517,5.7,8
"ASV_1321",7,0.00330005254860746,1.6,7
"ASV_546",1,0.00318471337579618,0,1
"ASV_527",1,0.00318471337579618,0,1
"ASV_853",2,0.00321533530622485,3,2
"ASV_576",1,0.00318471337579618,0,1
"ASV_485",1,0.00318471337579618,0,1
"ASV_962",1,0.00318471337579618,0,1
"ASV_822",2,0.00319488817891374,0,2
"ASV_620",2,0.00319488817891374,0,2
"ASV_779",2,0.00348242705202569,0,2
"ASV_121",1,0.00318471337579618,0,1
"ASV_840",1,0.00318471337579618,0,1
"ASV_757",1,0.00318471337579618,0,1
"ASV_1026",1,0.00318471337579618,0,1
"ASV_713",2,0.00348180921016156,0,2
"ASV_812",1,0.00318471337579618,0,1
"ASV_241",11,0.00348319966277303,18.6914236348447,11
"ASV_578",3,0.00320512820512821,2,3
"ASV_225",2,0.00319488817891374,0,2
"ASV_419",2,0.00319488817891374,0,2
"ASV_489",1,0.00318471337579618,0,1
"ASV_643",1,0.00318471337579618,0,1
"ASV_294",1,0.00318471337579618,0,1
