source,target,correlation,direct,cor
ASV_148,ASV_15,0.992895595671482,undirected,+
ASV_815,ASV_6,-0.991095241355087,undirected,-
ASV_622,ASV_28,0.995725642779878,undirected,+
ASV_525,ASV_22,0.998354332498497,undirected,+
ASV_259,ASV_32,0.991546591312151,undirected,+
ASV_418,ASV_30,0.990946937173234,undirected,+
ASV_399,ASV_36,0.992702004922293,undirected,+
ASV_125,ASV_29,0.994116323881921,undirected,+
ASV_376,ASV_29,-0.991476277944805,undirected,-
ASV_457,ASV_47,-0.99561064292724,undirected,-
ASV_2734,ASV_47,-0.991970374487519,undirected,-
ASV_505,ASV_24,-0.992389106336407,undirected,-
ASV_85,ASV_166,0.993835770302818,undirected,+
ASV_308,ASV_54,0.992259036254798,undirected,+
ASV_614,ASV_65,0.995027331656892,undirected,+
ASV_531,ASV_90,0.991086103379076,undirected,+
ASV_1731,ASV_80,0.991353153283826,undirected,+
ASV_1103,ASV_91,-0.992469715216045,undirected,-
ASV_258,ASV_106,0.995114690254166,undirected,+
ASV_1148,ASV_115,0.994179070675923,undirected,+
ASV_488,ASV_75,0.993924963542808,undirected,+
ASV_968,ASV_161,0.992582536293831,undirected,+
ASV_1995,ASV_161,0.99715375642532,undirected,+
ASV_1573,ASV_161,0.996811730167717,undirected,+
ASV_1159,ASV_161,0.990961131518995,undirected,+
ASV_2483,ASV_161,0.998021417179198,undirected,+
ASV_2084,ASV_161,0.998021417179198,undirected,+
ASV_228,ASV_71,0.993903416615175,undirected,+
ASV_390,ASV_70,0.9912112596237,undirected,+
ASV_364,ASV_113,-0.993278355032409,undirected,-
ASV_614,ASV_113,-0.994277466165644,undirected,-
ASV_1547,ASV_93,0.995165965940797,undirected,+
ASV_887,ASV_93,-0.991394049707519,undirected,-
ASV_29,ASV_125,0.994116323881921,undirected,+
ASV_166,ASV_85,0.993835770302818,undirected,+
ASV_337,ASV_217,-0.991383856615678,undirected,-
ASV_1246,ASV_217,-0.991871494635186,undirected,-
ASV_839,ASV_217,-0.99769668141222,undirected,-
ASV_405,ASV_107,0.992780008312589,undirected,+
ASV_1439,ASV_128,0.992715683242043,undirected,+
ASV_352,ASV_180,0.99483112746208,undirected,+
ASV_15,ASV_148,0.992895595671482,undirected,+
ASV_423,ASV_124,0.997470053976541,undirected,+
ASV_608,ASV_123,-0.994309509530508,undirected,-
ASV_1109,ASV_165,0.997356712437157,undirected,+
