"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_148",1,0.00561797752808989,0,1
"ASV_815",2,0.00564971751412429,1,2
"ASV_622",1,0.00561797752808989,0,1
"ASV_525",1,0.00561797752808989,0,1
"ASV_259",1,0.00561797752808989,0,1
"ASV_418",1,0.00561797752808989,0,1
"ASV_399",1,0.00561797752808989,0,1
"ASV_125",1,0.00564953819786079,0,1
"ASV_376",1,0.00564953819786079,0,1
"ASV_457",1,0.00564953819786079,0,1
"ASV_2734",1,0.00564953819786079,0,1
"ASV_505",1,0.00561797752808989,0,1
"ASV_85",1,0.00561797752808989,0,1
"ASV_308",1,0.00561797752808989,0,1
"ASV_614",3,0.00574656981436642,7,3
"ASV_531",3,0.00574656981436642,7,3
"ASV_1731",1,0.00561797752808989,0,1
"ASV_1103",1,0.00561797752808989,0,1
"ASV_258",2,0.00564971751412429,1,2
"ASV_1148",3,0.0057141022760104,3,3
"ASV_488",1,0.00561797752808989,0,1
"ASV_968",7,0.00584776109596242,0.333333333333333,7
"ASV_1995",7,0.00584776109596242,0.333333333333333,7
"ASV_1573",7,0.00584776109596242,0.333333333333333,7
"ASV_1159",7,0.00584776109596242,0.333333333333333,7
"ASV_2483",7,0.00584776109596242,0.333333333333333,7
"ASV_2084",7,0.00584776109596242,0.333333333333333,7
"ASV_228",1,0.00561797752808989,0,1
"ASV_390",1,0.00561797752808989,0,1
"ASV_364",2,0.00574619879265261,4,2
"ASV_1547",1,0.00564953819786079,0,1
"ASV_887",1,0.00564953819786079,0,1
"ASV_337",1,0.00568145547398659,0,1
"ASV_1246",2,0.0056816368221137,0,2
"ASV_839",2,0.0056816368221137,0,2
"ASV_405",1,0.00561797752808989,0,1
"ASV_1439",1,0.00561797752808989,0,1
"ASV_352",1,0.00561797752808989,0,1
"ASV_423",1,0.00561797752808989,0,1
"ASV_608",1,0.00561797752808989,0,1
"ASV_1109",1,0.00561797752808989,0,1
"ASV_1225",2,0.0058126244979264,6,2
"ASV_939",1,0.00561797752808989,0,1
"ASV_569",1,0.00561797752808989,0,1
"ASV_536",1,0.00561797752808989,0,1
"ASV_570",1,0.00561797752808989,0,1
"ASV_671",6,0.00581376359538818,6,6
"ASV_1038",5,0.00581357371480828,0,5
"ASV_1149",5,0.00581357371480828,0,5
"ASV_1802",6,0.00581376359538818,2.5,6
"ASV_1268",6,0.00581376359538818,2.5,6
"ASV_997",1,0.00561797752808989,0,1
"ASV_419",1,0.00574545689293438,0,1
"ASV_282",2,0.00574619879265261,4,2
"ASV_515",1,0.00561797752808989,0,1
"ASV_450",1,0.00561797752808989,0,1
"ASV_403",4,0.00581319399085565,8,4
"ASV_805",1,0.00561797752808989,0,1
"ASV_1127",1,0.00561797752808989,0,1
"ASV_1090",3,0.00581300414748049,2,3
"ASV_1896",4,0.00581338384663118,14,4
"ASV_1292",2,0.00581224489795918,0,2
"ASV_334",1,0.00564953819786079,0,1
"ASV_480",1,0.0058126244979264,0,1
"ASV_1574",1,0.00561797752808989,0,1
"ASV_931",7,0.00584776109596242,7,7
"ASV_501",3,0.00568181818181818,2,3
"ASV_1674",2,0.0056816368221137,0,2
"ASV_849",1,0.00561797752808989,0,1
"ASV_860",1,0.00561797752808989,0,1
"ASV_725",1,0.00561797752808989,0,1
"ASV_2045",1,0.00561797752808989,0,1
"ASV_446",2,0.00574656981436642,6,2
"ASV_654",1,0.00561797752808989,0,1
"ASV_408",1,0.00561797752808989,0,1
"ASV_1263",1,0.00561797752808989,0,1
"ASV_2234",1,0.00561797752808989,0,1
"ASV_528",1,0.00561797752808989,0,1
"ASV_1501",1,0.00561797752808989,0,1
"ASV_434",1,0.00564953819786079,0,1
"ASV_844",1,0.00561797752808989,0,1
"ASV_637",1,0.00561797752808989,0,1
"ASV_1854",2,0.00571391884951207,0,2
"ASV_1104",3,0.0057141022760104,3,3
"ASV_778",1,0.00561797752808989,0,1
"ASV_863",1,0.00561797752808989,0,1
"ASV_1069",1,0.00561797752808989,0,1
"ASV_2411",1,0.00561797752808989,0,1
"ASV_1607",1,0.00561797752808989,0,1
"ASV_1228",1,0.00561797752808989,0,1
"ASV_821",1,0.00561797752808989,0,1
"ASV_1083",1,0.00561797752808989,0,1
"ASV_919",1,0.00561797752808989,0,1
"ASV_681",1,0.00561797752808989,0,1
"ASV_1922",2,0.00581281431650447,0,2
"ASV_1758",1,0.00561797752808989,0,1
"ASV_529",1,0.00561797752808989,0,1
"ASV_941",1,0.00561797752808989,0,1
"ASV_701",1,0.00571355203184182,0,1
"ASV_652",1,0.00581224489795918,0,1
"ASV_726",1,0.00561797752808989,0,1
"ASV_1081",1,0.00561797752808989,0,1
"ASV_15",1,0.00561797752808989,0,1
"ASV_6",1,0.00564953819786079,0,1
"ASV_28",1,0.00561797752808989,0,1
"ASV_22",1,0.00561797752808989,0,1
"ASV_32",1,0.00561797752808989,0,1
"ASV_30",1,0.00561797752808989,0,1
"ASV_36",1,0.00561797752808989,0,1
"ASV_29",2,0.00564971751412429,1,2
"ASV_47",2,0.00564971751412429,1,2
"ASV_24",1,0.00561797752808989,0,1
"ASV_166",1,0.00561797752808989,0,1
"ASV_54",1,0.00561797752808989,0,1
"ASV_65",1,0.00574582781884502,0,1
"ASV_90",1,0.00574582781884502,0,1
"ASV_80",1,0.00561797752808989,0,1
"ASV_91",1,0.00561797752808989,0,1
"ASV_106",1,0.00564953819786079,0,1
"ASV_115",1,0.00571355203184182,0,1
"ASV_75",1,0.00561797752808989,0,1
"ASV_161",6,0.00584737689300614,0,6
"ASV_71",1,0.00561797752808989,0,1
"ASV_70",1,0.00561797752808989,0,1
"ASV_113",2,0.00574656981436642,6,2
"ASV_93",2,0.00564971751412429,1,2
"ASV_217",3,0.00568181818181818,2,3
"ASV_107",1,0.00561797752808989,0,1
"ASV_128",1,0.00561797752808989,0,1
"ASV_180",1,0.00561797752808989,0,1
"ASV_124",1,0.00561797752808989,0,1
"ASV_123",1,0.00561797752808989,0,1
"ASV_165",1,0.00561797752808989,0,1
"ASV_231",1,0.00581148584674655,0,1
"ASV_158",1,0.00561797752808989,0,1
"ASV_191",1,0.00561797752808989,0,1
"ASV_240",1,0.00561797752808989,0,1
"ASV_294",1,0.00561797752808989,0,1
"ASV_568",5,0.00581357371480828,0,5
"ASV_297",1,0.00561797752808989,0,1
"ASV_268",1,0.00574545689293438,0,1
"ASV_288",1,0.00561797752808989,0,1
"ASV_303",1,0.00561797752808989,0,1
"ASV_454",1,0.00581205511656762,0,1
"ASV_540",1,0.00574582781884502,0,1
"ASV_205",1,0.00561797752808989,0,1
"ASV_233",1,0.00561797752808989,0,1
"ASV_252",1,0.00561797752808989,0,1
"ASV_330",2,0.0056816368221137,0,2
"ASV_211",1,0.00561797752808989,0,1
"ASV_313",1,0.00561797752808989,0,1
"ASV_369",1,0.00561797752808989,0,1
"ASV_664",1,0.00561797752808989,0,1
"ASV_1145",1,0.00561797752808989,0,1
"ASV_416",1,0.00561797752808989,0,1
"ASV_317",1,0.00561797752808989,0,1
"ASV_503",1,0.00561797752808989,0,1
"ASV_1113",1,0.00561797752808989,0,1
"ASV_2916",1,0.00574582781884502,0,1
"ASV_801",1,0.00561797752808989,0,1
"ASV_438",1,0.00561797752808989,0,1
"ASV_692",1,0.00561797752808989,0,1
"ASV_357",1,0.00568145547398659,0,1
"ASV_576",1,0.00561797752808989,0,1
"ASV_451",1,0.00561797752808989,0,1
"ASV_492",1,0.00561797752808989,0,1
"ASV_493",1,0.00561797752808989,0,1
"ASV_539",1,0.00561797752808989,0,1
"ASV_1987",1,0.00561797752808989,0,1
"ASV_410",1,0.00561797752808989,0,1
"ASV_462",1,0.00561797752808989,0,1
"ASV_907",1,0.00584641660645077,0,1
"ASV_584",1,0.00561797752808989,0,1
"ASV_1099",1,0.00561797752808989,0,1
"ASV_1746",1,0.00561797752808989,0,1
"ASV_1611",1,0.00561797752808989,0,1
"ASV_952",1,0.00561797752808989,0,1
"ASV_1990",1,0.00561797752808989,0,1
"ASV_2460",1,0.00561797752808989,0,1
