ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
ASV_1018,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_anhuiense,8.16666666666667,ASV_1018
ASV_1031,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Leptospiraceae,Turneriella,Turneriella_parva,4.5,ASV_1031
ASV_1039,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Umezawaea,Umezawaea_tangerina,10.3333333333333,ASV_1039
ASV_1043,Bacteria,Acidobacteria,Acidobacteria_Gp10,Unassigned,Unassigned,Gp10,Unassigned,6.83333333333333,ASV_1043
ASV_1048,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Agromyces_indicus,5.83333333333333,ASV_1048
ASV_1061,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned,6.5,ASV_1061
ASV_1062,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pseudorhodoferax,Unassigned,9.16666666666667,ASV_1062
ASV_1069,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Unassigned,Unassigned,6.16666666666667,ASV_1069
ASV_108,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,Unassigned,45.5,ASV_108
ASV_1082,Bacteria,Proteobacteria,Betaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,4.5,ASV_1082
ASV_1101,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Unassigned,Unassigned,7.33333333333333,ASV_1101
ASV_1116,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unassigned,Unassigned,Unassigned,4.66666666666667,ASV_1116
ASV_1118,Bacteria,Actinobacteria,Actinobacteria,Unassigned,Unassigned,Unassigned,Unassigned,6,ASV_1118
ASV_1129,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Unassigned,Unassigned,5.5,ASV_1129
ASV_1156,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium,Unassigned,26.3333333333333,ASV_1156
ASV_1160,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium_wanjuense,5,ASV_1160
ASV_1168,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Unassigned,Unassigned,Unassigned,8.16666666666667,ASV_1168
ASV_117,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,Unassigned,39.5,ASV_117
ASV_1193,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Unassigned,Unassigned,6.66666666666667,ASV_1193
ASV_1209,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae_1,Shimazuella,Shimazuella_kribbensis,6.83333333333333,ASV_1209
ASV_1217,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unassigned,4.83333333333333,ASV_1217
ASV_124,Bacteria,Proteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,50.3333333333333,ASV_124
ASV_1247,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Steroidobacter,Unassigned,5.66666666666667,ASV_1247
ASV_129,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium_alvei,47.3333333333333,ASV_129
ASV_1304,Bacteria,Proteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,5.5,ASV_1304
ASV_1312,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Unassigned,6.16666666666667,ASV_1312
ASV_1313,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,5.5,ASV_1313
ASV_1320,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unassigned,6,ASV_1320
ASV_1348,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Unassigned,9.66666666666667,ASV_1348
ASV_1357,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Actinophytocola,Actinophytocola_timorensis,7.66666666666667,ASV_1357
ASV_1374,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Unassigned,Unassigned,6.16666666666667,ASV_1374
ASV_14,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Unassigned,Unassigned,405,ASV_14
ASV_143,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Unassigned,Unassigned,43.1666666666667,ASV_143
ASV_1441,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unassigned,5,ASV_1441
ASV_15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium_neotropicale,328.5,ASV_15
