"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_558",2,0.00581337408231738,0,2
"ASV_864",2,0.00581356720483689,3,2
"ASV_1312",2,0.00581337408231738,0,2
"ASV_532",1,0.00571428571428571,0,1
"ASV_348",1,0.00571428571428571,0,1
"ASV_353",1,0.00571428571428571,0,1
"ASV_243",1,0.00571428571428571,0,1
"ASV_587",2,0.00574712643678161,1,2
"ASV_392",2,0.00578015589906196,0,2
"ASV_433",3,0.00578034682080925,2,3
"ASV_1069",1,0.00571428571428571,0,1
"ASV_626",1,0.00571428571428571,0,1
"ASV_739",1,0.00571428571428571,0,1
"ASV_738",1,0.00571428571428571,0,1
"ASV_388",1,0.00571428571428571,0,1
"ASV_942",1,0.00571428571428571,0,1
"ASV_205",1,0.00571428571428571,0,1
"ASV_2682",1,0.00571428571428571,0,1
"ASV_548",1,0.00571428571428571,0,1
"ASV_281",1,0.00571428571428571,0,1
"ASV_1061",1,0.00571428571428571,0,1
"ASV_338",1,0.00571428571428571,0,1
"ASV_496",1,0.00571428571428571,0,1
"ASV_791",1,0.0057469377031953,0,1
"ASV_745",1,0.0057469377031953,0,1
"ASV_903",1,0.00571428571428571,0,1
"ASV_1193",1,0.00571428571428571,0,1
"ASV_284",4,0.00661150780157921,28.5,4
"ASV_430",6,0.00661200740544829,41.3333333333333,6
"ASV_769",2,0.0066017805945375,24,2
"ASV_350",1,0.00571428571428571,0,1
"ASV_641",1,0.00571428571428571,0,1
"ASV_533",6,0.00588235294117647,0.2,6
"ASV_407",6,0.00588235294117647,0.2,6
"ASV_1039",6,0.00588235294117647,0.2,6
"ASV_1374",6,0.00588235294117647,0.2,6
"ASV_2919",6,0.00588235294117647,0.2,6
"ASV_329",1,0.00571428571428571,0,1
"ASV_236",1,0.00571428571428571,0,1
"ASV_723",14,0.00661600695625874,11.6285714285714,14
"ASV_802",13,0.00661575684258279,8.1452380952381,13
"ASV_927",11,0.00661525667195887,4.5,11
"ASV_1348",11,0.00661525667195887,4.5,11
"ASV_716",11,0.00661725780836421,144.111111111111,11
"ASV_1168",15,0.00661625708884688,30.7952380952381,15
"ASV_1018",10,0.0066127569528416,1.74444444444444,10
"ASV_874",4,0.00661075853732245,0,4
"ASV_1357",14,0.00661600695625874,13.134126984127,14
"ASV_1043",12,0.00661550674781688,6.32857142857143,12
